metric,value
file_name,corrected_classified_genz_profinity.csv
total_non_empty_input_rows,2970
rows_changed_any_field,837
rows_unchanged_all_fields,2133
rows_with_removed_invalid_has_personal_direction_flag,0
corrected_G2_count_GENERIC_INTENT,2879
corrected_G2_count_UNSAFE_SEXUAL_CONTENT,62
corrected_G2_count_VIOLENCE,17
corrected_G2_count_SELF_HARM,6
corrected_G2_count_BULLYING,5
corrected_G2_count_VULN_EXPLOIT,1
corrected_G1_count_GENERIC,1845
corrected_G1_count_TECHNOLOGY,926
corrected_G1_count_SCIENCE,157
corrected_G1_count_BELIEF,23
corrected_G1_count_DEATH_GRIEF,11
corrected_G1_count_CIVIC_LAW,8
