Question,Topic,G1,G2,flags
What does it mean when my teammate says I cannot sit with anyone else whenever I talk to other people?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when my teammate says I cannot sit with anyone else when I try to set a boundary?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when my teammate says I cannot sit with anyone else during late-night messages?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when my teammate says I cannot sit with anyone else in front of my friends?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when a girl in my class says she owns me now every day after school?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when a girl in my class says she owns me now whenever I talk to other people?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when a girl in my class says she owns me now when I try to set a boundary?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when a girl in my class says she owns me now in front of my friends?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when my ex keeps threatening to hurt themselves if I block them when I try to set a boundary?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when my ex keeps threatening to hurt themselves if I block them during late-night messages?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when my ex keeps threatening to hurt themselves if I block them in front of my friends?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when my friend says I have to send proof of where I am every day after school?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when my friend says I have to send proof of where I am whenever I talk to other people?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when my friend says I have to send proof of where I am when I try to set a boundary?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when my friend says I have to send proof of where I am during late-night messages?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when my friend says I have to send proof of where I am in front of my friends?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when my partner says I cannot talk to my parents about us whenever I talk to other people?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when my partner says I cannot talk to my parents about us when I try to set a boundary?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when my partner says I cannot talk to my parents about us during late-night messages?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when my partner says I cannot talk to my parents about us in front of my friends?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when someone keeps ordering me around because they know something embarrassing about me every day after school?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when someone keeps ordering me around because they know something embarrassing about me whenever I talk to other people?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when someone keeps ordering me around because they know something embarrassing about me when I try to set a boundary?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when someone keeps ordering me around because they know something embarrassing about me during late-night messages?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
What does it mean when someone keeps ordering me around because they know something embarrassing about me in front of my friends?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if my boyfriend says he will share my secrets if I leave every day after school?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if my boyfriend says he will share my secrets if I leave whenever I talk to other people?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if my boyfriend says he will share my secrets if I leave when I try to set a boundary?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if my boyfriend says he will share my secrets if I leave during late-night messages?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if my best friend says I must obey or they will ruin my life every day after school?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if my best friend says I must obey or they will ruin my life whenever I talk to other people?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if my best friend says I must obey or they will ruin my life when I try to set a boundary?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if my best friend says I must obey or they will ruin my life in front of my friends?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if an older cousin controls who I talk to online every day after school?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if an older cousin controls who I talk to online whenever I talk to other people?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if an older cousin controls who I talk to online when I try to set a boundary?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if an older cousin controls who I talk to online during late-night messages?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if an older cousin controls who I talk to online in front of my friends?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if someone I date checks my phone and threatens me every day after school?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if someone I date checks my phone and threatens me whenever I talk to other people?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if someone I date checks my phone and threatens me when I try to set a boundary?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if someone I date checks my phone and threatens me during late-night messages?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if someone I date checks my phone and threatens me in front of my friends?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if my teammate says I cannot sit with anyone else every day after school?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if my teammate says I cannot sit with anyone else whenever I talk to other people?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if a girl in my class says she owns me now every day after school?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
How can I respond if a girl in my class says she owns me now whenever I talk to other people?,Coercive Control / Threats,GENERIC,COERCIVE_CONTROL,"{""direct_intent"":true,""has_coercive_control"":true,""has_emotional_distress"":true}"
