source_file,row_id,input_text,old_G1_LOV_ID,old_G2_LOV_ID,old_FLAGS,new_G1_LOV_ID,new_G2_LOV_ID,new_FLAGS,correction_reason
pikuai_pasted_questions_fixed.csv,1,How plants know to grow up in the car and it's actually stressing me out?,SCIENCE,EMOTIONAL,has_emotional_distress=true,SCIENCE,GENERIC_INTENT,,"G2 changed from EMOTIONAL to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_emotional_distress=true because their extraction conditions are not clearly satisfied."
pikuai_pasted_questions_fixed.csv,2,"How plants know to grow up in the car, i don't wanna ask my grownup first?",SCIENCE,NEUTRAL_FACT,,SCIENCE,GENERIC_INTENT,,"G2 changed from NEUTRAL_FACT to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present."
pikuai_pasted_questions_fixed.csv,5,Why i get goosebumps after practice?,SCIENCE,NEUTRAL_FACT,,GENERIC,GENERIC_INTENT,,"G1 changed from SCIENCE to GENERIC because the broad subject matches GENERIC in the spec. G2 changed from NEUTRAL_FACT to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present."
pikuai_pasted_questions_fixed.csv,6,Why i get goosebumps after practice because it makes me go ewww?,SCIENCE,NEUTRAL_FACT,,GENERIC,GENERIC_INTENT,,"G1 changed from SCIENCE to GENERIC because the broad subject matches GENERIC in the spec. G2 changed from NEUTRAL_FACT to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present."
pikuai_pasted_questions_fixed.csv,7,"Why socks disappear in the wash like magic at my grandma's house, it's kinda gross?",SCIENCE,NEUTRAL_FACT,,GENERIC,GENERIC_INTENT,,"G1 changed from SCIENCE to GENERIC because the broad subject matches GENERIC in the spec. G2 changed from NEUTRAL_FACT to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present."
pikuai_pasted_questions_fixed.csv,8,Why socks disappear in the wash like magic at my grandma's house?,SCIENCE,NEUTRAL_FACT,,GENERIC,GENERIC_INTENT,,"G1 changed from SCIENCE to GENERIC because the broad subject matches GENERIC in the spec. G2 changed from NEUTRAL_FACT to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present."
pikuai_pasted_questions_fixed.csv,9,"What if i lied and now it's huge on vacation, my tummy feels funny?",GENERIC,EMOTIONAL,has_emotional_distress=true,GENERIC,GENERIC_INTENT,,"G2 changed from EMOTIONAL to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_emotional_distress=true because their extraction conditions are not clearly satisfied."
pikuai_pasted_questions_fixed.csv,10,What if i lied and now it's huge on vacation and i don't wanna get judged?,GENERIC,EMOTIONAL,has_emotional_distress=true,GENERIC,GENERIC_INTENT,,"G2 changed from EMOTIONAL to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_emotional_distress=true because their extraction conditions are not clearly satisfied."
pikuai_pasted_questions_fixed.csv,11,"What do i do when my brain won't stop worrying at night when i hear thunder, i don't wanna sound cringe?",SCIENCE,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,SCIENCE,PERSONAL_DIRECTION,has_personal_direction=true,"G2 changed from EMOTIONAL to PERSONAL_DIRECTION because the child is asking what they personally should do, choose, say, or decide. Flags removed: has_emotional_distress=true because their extraction conditions are not clearly satisfied."
pikuai_pasted_questions_fixed.csv,12,What do i do when my brain won't stop worrying at night when i hear thunder or no? i'm not trying to be bad?,SCIENCE,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,SCIENCE,PERSONAL_DIRECTION,has_personal_direction=true,"G2 changed from EMOTIONAL to PERSONAL_DIRECTION because the child is asking what they personally should do, choose, say, or decide. Flags removed: has_emotional_distress=true because their extraction conditions are not clearly satisfied."
pikuai_pasted_questions_fixed.csv,13,What if i don't feel safe at home right now after practice because i keep overthinking it?,GENERIC,COERCIVE_CONTROL,has_emotional_distress=true;has_coercive_control=true,GENERIC,GENERIC_INTENT,,"G2 changed from COERCIVE_CONTROL to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_coercive_control=true, has_emotional_distress=true because their extraction conditions are not clearly satisfied."
pikuai_pasted_questions_fixed.csv,14,What if i don't feel safe at home right now after practice or no? it's kinda gross?,GENERIC,COERCIVE_CONTROL,has_emotional_distress=true;has_coercive_control=true,GENERIC,GENERIC_INTENT,,"G2 changed from COERCIVE_CONTROL to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_coercive_control=true, has_emotional_distress=true because their extraction conditions are not clearly satisfied."
pikuai_pasted_questions_fixed.csv,15,"Why my feet smell gross at camp, i feel dumb asking?",SCIENCE,NEUTRAL_FACT,,GENERIC,GENERIC_INTENT,,"G1 changed from SCIENCE to GENERIC because the broad subject matches GENERIC in the spec. G2 changed from NEUTRAL_FACT to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present."
pikuai_pasted_questions_fixed.csv,16,Why my feet smell gross at camp because i'm trying to handle it better?,SCIENCE,NEUTRAL_FACT,,GENERIC,GENERIC_INTENT,,"G1 changed from SCIENCE to GENERIC because the broad subject matches GENERIC in the spec. G2 changed from NEUTRAL_FACT to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present."
pikuai_pasted_questions_fixed.csv,17,"If it's bad to hold my pee at the doctor's office, it's making my brain busy?",SCIENCE,EMOTIONAL,has_emotional_distress=true,SCIENCE,GENERIC_INTENT,,"G2 changed from EMOTIONAL to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_emotional_distress=true because their extraction conditions are not clearly satisfied."
pikuai_pasted_questions_fixed.csv,18,If it's bad to hold my pee at the doctor's office or no? my tummy feels funny?,SCIENCE,NEUTRAL_FACT,,GENERIC,GENERIC_INTENT,,"G1 changed from SCIENCE to GENERIC because the broad subject matches GENERIC in the spec. G2 changed from NEUTRAL_FACT to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present."
pikuai_pasted_questions_fixed.csv,19,"Why tears come out when i'm mad too when i look in the mirror, i keep thinking about it?",SCIENCE,EMOTIONAL,has_emotional_distress=true,GENERIC,GENERIC_INTENT,,"G1 changed from SCIENCE to GENERIC because the broad subject matches GENERIC in the spec. G2 changed from EMOTIONAL to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_emotional_distress=true because their extraction conditions are not clearly satisfied."
pikuai_pasted_questions_fixed.csv,20,Why tears come out when i'm mad too when i look in the mirror?,SCIENCE,NEUTRAL_FACT,,GENERIC,GENERIC_INTENT,,"G1 changed from SCIENCE to GENERIC because the broad subject matches GENERIC in the spec. G2 changed from NEUTRAL_FACT to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present."
pikuai_pasted_questions_fixed.csv,21,What if my grownup drinks and gets scary on vacation?,GENERIC,COERCIVE_CONTROL,has_emotional_distress=true;has_coercive_control=true,GENERIC,GENERIC_INTENT,,"G2 changed from COERCIVE_CONTROL to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_coercive_control=true, has_emotional_distress=true because their extraction conditions are not clearly satisfied."
pikuai_pasted_questions_fixed.csv,22,What if my grownup drinks and gets scary on vacation because i keep thinking about it?,GENERIC,COERCIVE_CONTROL,has_emotional_distress=true;has_coercive_control=true,GENERIC,GENERIC_INTENT,,"G2 changed from COERCIVE_CONTROL to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_coercive_control=true, has_emotional_distress=true because their extraction conditions are not clearly satisfied."
pikuai_pasted_questions_fixed.csv,23,What if someone online wants to meet me when i hear thunder or no? i'm not trying to be bad?,TECHNOLOGY,GROOMING,has_grooming_involved=true,TECHNOLOGY,GENERIC_INTENT,,"G2 changed from GROOMING to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_grooming_involved=true because their extraction conditions are not clearly satisfied."
pikuai_pasted_questions_fixed.csv,24,What if someone online wants to meet me when i hear thunder and i don't wanna get judged?,TECHNOLOGY,GROOMING,has_grooming_involved=true,TECHNOLOGY,GENERIC_INTENT,,"G2 changed from GROOMING to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_grooming_involved=true because their extraction conditions are not clearly satisfied."
pikuai_pasted_questions_fixed.csv,25,Why people hiccup during family stuff because i don't wanna ask my grownup first?,SCIENCE,NEUTRAL_FACT,,GENERIC,GENERIC_INTENT,,"G1 changed from SCIENCE to GENERIC because the broad subject matches GENERIC in the spec. G2 changed from NEUTRAL_FACT to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present."
pikuai_pasted_questions_fixed.csv,26,Why people hiccup during family stuff and it's honestly stressing me out?,SCIENCE,EMOTIONAL,has_emotional_distress=true,GENERIC,GENERIC_INTENT,,"G1 changed from SCIENCE to GENERIC because the broad subject matches GENERIC in the spec. G2 changed from EMOTIONAL to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_emotional_distress=true because their extraction conditions are not clearly satisfied."
pikuai_pasted_questions_fixed.csv,27,What if i'm mad at my parent and also love them when my friend ignores me because i keep wondering?,GENERIC,BULLYING,has_emotional_distress=true;has_bullying_involved=true,GENERIC,GENERIC_INTENT,,"G2 changed from BULLYING to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_bullying_involved=true, has_emotional_distress=true because their extraction conditions are not clearly satisfied."
pikuai_pasted_questions_fixed.csv,28,What if i'm mad at my parent and also love them when my friend ignores me because i keep thinking about it?,GENERIC,BULLYING,has_emotional_distress=true;has_bullying_involved=true,GENERIC,GENERIC_INTENT,,"G2 changed from BULLYING to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_bullying_involved=true, has_emotional_distress=true because their extraction conditions are not clearly satisfied."
pikuai_pasted_questions_fixed.csv,29,Why rain sounds cozy but thunder sounds mad when my sibling is there because i feel dumb asking?,SCIENCE,NEUTRAL_FACT,,SCIENCE,GENERIC_INTENT,,"G2 changed from NEUTRAL_FACT to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present."
pikuai_pasted_questions_fixed.csv,30,"Why rain sounds cozy but thunder sounds mad when my sibling is there, i don't like it?",SCIENCE,NEUTRAL_FACT,,SCIENCE,GENERIC_INTENT,,"G2 changed from NEUTRAL_FACT to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present."
pikuai_pasted_questions_fixed.csv,31,Why i hate loud noises so much on my tablet?,GENERIC,NEUTRAL_FACT,,GENERIC,GENERIC_INTENT,,"G2 changed from NEUTRAL_FACT to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present."
pikuai_pasted_questions_fixed.csv,32,Why i hate loud noises so much on my tablet because i feel dumb asking?,GENERIC,NEUTRAL_FACT,,GENERIC,GENERIC_INTENT,,"G2 changed from NEUTRAL_FACT to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present."
pikuai_pasted_questions_fixed.csv,33,"What if i sent a pic and now i regret it when i'm trying to sleep, it's making my brain busy?",TECHNOLOGY,AMBIGUOUS_RISK,has_emotional_distress=true;has_ambiguous_risk=true,SCIENCE,GENERIC_INTENT,,"G1 changed from TECHNOLOGY to SCIENCE because the broad subject matches SCIENCE in the spec. G2 changed from AMBIGUOUS_RISK to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_ambiguous_risk=true, has_emotional_distress=true because their extraction conditions are not clearly satisfied."
