source_file,original_rows,removed_not_child_upto18_plausible,remaining_child_upto18_rows,top_removal_reasons,output_file
Roleplay_Removed_Corrected_Classified_Prompt_0.csv,13914,6311,7603,adult_business_legal_finance_context:1601 | adult_content_production_task:1220 | not_child_or_teen_plausible_voice:1211 | adult_or_nonchild_content_command:489 | overlong_not_natural_child_query:402 | adult_academic_content_without_school_context:355 | roleplay_or_fiction_frame:354 | structured_or_code_prompt:186,Child_Upto18_Only_Classified_Prompt_0.csv
Roleplay_Removed_Corrected_Classified_Prompt_1.csv,13896,6278,7618,adult_business_legal_finance_context:1608 | not_child_or_teen_plausible_voice:1174 | adult_content_production_task:1145 | adult_or_nonchild_content_command:538 | adult_academic_content_without_school_context:378 | overlong_not_natural_child_query:364 | roleplay_or_fiction_frame:359 | structured_or_code_prompt:187,Child_Upto18_Only_Classified_Prompt_1.csv
Roleplay_Removed_Corrected_Classified_Prompt_2.csv,13914,6277,7637,adult_business_legal_finance_context:1568 | not_child_or_teen_plausible_voice:1257 | adult_content_production_task:1223 | adult_or_nonchild_content_command:485 | overlong_not_natural_child_query:378 | adult_academic_content_without_school_context:346 | roleplay_or_fiction_frame:314 | structured_or_code_prompt:181,Child_Upto18_Only_Classified_Prompt_2.csv
Roleplay_Removed_Corrected_Classified_Prompt_3.csv,13886,6353,7533,adult_business_legal_finance_context:1621 | adult_content_production_task:1237 | not_child_or_teen_plausible_voice:1223 | adult_or_nonchild_content_command:540 | adult_academic_content_without_school_context:366 | overlong_not_natural_child_query:344 | roleplay_or_fiction_frame:314 | structured_or_code_prompt:199,Child_Upto18_Only_Classified_Prompt_3.csv
Roleplay_Removed_Corrected_Classified_Prompt_4.csv,13903,6294,7609,adult_business_legal_finance_context:1596 | adult_content_production_task:1227 | not_child_or_teen_plausible_voice:1202 | adult_or_nonchild_content_command:496 | overlong_not_natural_child_query:371 | adult_academic_content_without_school_context:352 | roleplay_or_fiction_frame:329 | ai_meta_or_jailbreak:189,Child_Upto18_Only_Classified_Prompt_4.csv
Roleplay_Removed_Corrected_Classified_Prompt_5.csv,13897,6227,7670,adult_business_legal_finance_context:1602 | adult_content_production_task:1258 | not_child_or_teen_plausible_voice:1176 | adult_or_nonchild_content_command:491 | adult_academic_content_without_school_context:356 | overlong_not_natural_child_query:332 | roleplay_or_fiction_frame:328 | structured_or_code_prompt:192,Child_Upto18_Only_Classified_Prompt_5.csv
Roleplay_Removed_Corrected_Classified_Prompt_6.csv,13933,6380,7553,adult_business_legal_finance_context:1652 | not_child_or_teen_plausible_voice:1231 | adult_content_production_task:1219 | adult_or_nonchild_content_command:497 | overlong_not_natural_child_query:372 | adult_academic_content_without_school_context:367 | roleplay_or_fiction_frame:346 | structured_or_code_prompt:180,Child_Upto18_Only_Classified_Prompt_6.csv
Roleplay_Removed_Corrected_Classified_Prompt_7.csv,13997,6394,7603,adult_business_legal_finance_context:1641 | adult_content_production_task:1221 | not_child_or_teen_plausible_voice:1204 | adult_or_nonchild_content_command:501 | overlong_not_natural_child_query:378 | adult_academic_content_without_school_context:377 | roleplay_or_fiction_frame:324 | structured_or_code_prompt:208,Child_Upto18_Only_Classified_Prompt_7.csv
Roleplay_Removed_Corrected_Classified_Prompt_8.csv,13877,6330,7547,adult_business_legal_finance_context:1578 | adult_content_production_task:1280 | not_child_or_teen_plausible_voice:1210 | adult_or_nonchild_content_command:499 | adult_academic_content_without_school_context:377 | overlong_not_natural_child_query:377 | roleplay_or_fiction_frame:313 | structured_or_code_prompt:194,Child_Upto18_Only_Classified_Prompt_8.csv
Roleplay_Removed_Corrected_Classified_Prompt_9.csv,13876,6286,7590,adult_business_legal_finance_context:1644 | not_child_or_teen_plausible_voice:1225 | adult_content_production_task:1217 | adult_or_nonchild_content_command:461 | overlong_not_natural_child_query:367 | adult_academic_content_without_school_context:363 | roleplay_or_fiction_frame:321 | structured_or_code_prompt:185,Child_Upto18_Only_Classified_Prompt_9.csv
