term,category,data_curated
1 man 1 jar,other,
1m1j,other,
1man1jar,other,
2 girls 1 cup,other,
2g1c,other,
2girls1cup,other,
4r5e,vulgarity,
5h1t,vulgarity,
5hit,vulgarity,
@$$,vulgarity,
a55,vulgarity,
a_s_s,vulgarity,
abbo,slur: ethnicity/race,
abeed,slur: ethnicity/race,
abo,slur: ethnicity/race,
acrotomophile,sexual,
acrotomophilia,sexual,
ahole,insult,
alabama hot pocket,sexual,
alabama tuna melt,sexual,
alaskan pipeline,sexual,
anal,sexual,
anilingus,sexual,
anus,sexual,
apeshit,vulgarity,
arse,vulgarity,
arsehole,insult,
ass,vulgarity,
assclown,insult,
assface,insult,
asshat,insult,
asshole,insult,
as fuck,expletive,
bastard,insult,
bean flicker,sexual,
bellend,insult,
bitch,insult,
blackie,slur: ethnicity/race,
blow job,sexual,
bollocks,vulgarity,
bugger,vulgarity,
bullshit,vulgarity,
camel jockey,slur: ethnicity/race,
chink,slur: ethnicity/race,
clit,sexual,
cock,sexual,
cocksucker,sexual,
coon,slur: ethnicity/race,
crap,vulgarity,
cunt,sexual,
dammit,expletive,
darkie,slur: ethnicity/race,
dick,sexual,
dickhead,insult,
dipshit,insult,
dyke,slur: lgbtq,
fag,slur: lgbtq,
faggot,slur: lgbtq,
fellatio,sexual,
fisting,sexual,
fuck,vulgarity,
fuckhead,insult,
fuckoff,expletive,
fuckwit,insult,
goddamn,expletive,
gook,slur: ethnicity/race,
jackass,insult,
jizz,sexual,
kike,slur: religion/ethnicity,
moron,insult,
motherfucker,insult,
nigga,slur: ethnicity/race,
nigger,slur: ethnicity/race,
paki,slur: ethnicity/race,
penis,sexual,
piss,vulgarity,
pussy,sexual,
queef,sexual,
rape,sexual,
retard,slur: disability,
shit,vulgarity,
shithead,insult,
slut,insult,
spastic,slur: disability,
spic,slur: ethnicity/race,
tosser,insult,
tranny,slur: lgbtq,
twat,vulgarity,
wanker,insult,
wetback,slur: ethnicity/race,
whore,insult,
zipperhead,slur: ethnicity/race,
assmunch,insult,
big black cock,sexual,
bloody,vulgarity,
blowjob,sexual,
brainfuck,vulgarity,
chicken shit,insult,
ching chong,slur: ethnicity/race,
clusterfuck,vulgarity,
coonass,slur: ethnicity/race,
cornhole,sexual,
cox-zucker machine,other,
cracker,slur: ethnicity/race,
damnation,expletive,
dumbass,insult,
enshittification,vulgarity,
feck,vulgarity,
list of films that most frequently use the word fuck,other,
fuck her right in the pussy,sexual,
fuck joe biden,other,
"fuck, marry, kill",other,
fuckery,vulgarity,
gay,slur: lgbtq,
grab 'em by the pussy,sexual,
healslut,sexual,
hell,expletive,
hori,slur: ethnicity/race,
if you see kay,other,
jesus fucking christ,expletive,
use of nigger in proper names,other,
niggerhead,slur: ethnicity/race,
pajeet,slur: ethnicity/race,
polaco,slur: ethnicity/race,
poof,slur: lgbtq,
poofter,slur: lgbtq,
prick,insult,
queer,slur: lgbtq,
ratfucking,vulgarity,
"russian warship, go fuck yourself",vulgarity,
serving cunt,sexual,
shit happens,expletive,
shithouse,vulgarity,
shitposting,vulgarity,
shitter,vulgarity,
shut the fuck up,vulgarity,
shut the hell up,expletive,
son of a bitch,vulgarity,
taking the piss,vulgarity,
unclefucker,sexual,
no cap,other,
cap,other,
fr,other,
for real,other,
lowkey,other,
highkey,other,
bet,other,
slay,other,
ate,other,
left no crumbs,other,
fire,other,
lit,other,
mid,other,
sus,other,
vibe,other,
mood,other,
tea,other,
spill,other,
main character,other,
npc,insult,
rizz,other,
w,other,
l,other,
big w,other,
take the l,other,
glow up,other,
flex,other,
cringe,insult,
based,other,
valid,other,
delulu,insult,
touch grass,insult,
ratio,other,
cooked,other,
locked in,other,
brain rot,other,
skibidi,other,
sigma,other,
alpha,other,
beta,insult,
aura points,other,
6-7,other,
six seven,other,
chat,other,
pookie,other,
bestie,other,
bro,other,
bruh,other,
girlie,other,
squad,other,
gang,other,
fam,other,
opp,insult,
beef,other,
drama,other,
shade,insult,
roast,insult,
clap back,other,
salty,insult,
pressed,insult,
ghosted,other,
left on read,other,
dry texting,other,
soft launch,other,
ship,other,
crush,other,
situationship,other,
red flag,other,
green flag,other,
toxic,insult,
gaslight,other,
gatekeep,other,
cancel,other,
expose,other,
receipts,other,
screenshot it,other,
dox,other,
doxx,other,
alt account,other,
burner,other,
dm,other,
slide into dms,other,
asl,other,
don't tell,other,
private snap,other,
link up,other,
sneaky link,sexual,
plug,other,
zaza,other,
cart,other,
vape,other,
faded,other,
kms,other,
kys,other,
i'm done,other,
can't anymore,other,
ugly,insult,
chopped,insult,
choppleganger,insult,
gyatt,sexual,
gyat,sexual,
thirst trap,sexual,
body count,sexual,
smash,sexual,
send pics,sexual,
rate me,other,
pick me,insult,
karen,insult,
simp,insult,
stan,other,
bffr,other,
iykyk,other,
tbh,other,
ngl,other,
afaik,other,
idk,other,
rn,other,
smh,other,
imo,other,
imho,other,
fomo,other,
yolo,other,
af,vulgarity,
wtf,vulgarity,
oh nah,other,
nah bro,other,
bro is wild,other,
bro thought,other,
bro really said,other,
say less,other,
real,other,
it is giving,other,
giving,other,
understood the assignment,other,
mewing,other,
mog,insult,
mogged,insult,
fanum tax,other,
goofy,insult,
goofy ahh,insult,
goofy ahh kid,insult,
wildin,other,
wilding,other,
crash out,other,
crashing out,other,
corny,insult,
cheugy,insult,
cheug,insult,
sassy,other,
zesty,insult,
feral,other,
ick,other,
the ick,other,
hard launch,other,
soft block,other,
hard block,other,
unadd,other,
unfriend me then,other,
blocked and reported,other,
caught in 4k,other,
in 4k,other,
clock it,other,
clocked,other,
you thought you ate,insult,
who asked,insult,
be so serious,other,
bffr right now,other,
cry about it,insult,
stay mad,insult,
mad for what,insult,
you wish,insult,
rent free,insult,
not the,other,
side eye,insult,
bombastic side eye,insult,
criminal offensive side eye,insult,
period,other,
periodt,other,
as you should,other,
delusionship,other,
friendzoned,other,
down bad,other,
caught feelings,other,
main feed,other,
finsta,other,
spam account,other,
face reveal,other,
feet pics,sexual,
thirsty,sexual,
thirsting,sexual,
devious lick,dangerous,
lick,dangerous,
opp pack,violence,
on sight,violence,
run the fade,violence,
catch these hands,violence,
swing first,violence,
snatched,other,
ate and left no crumbs,other,
serving,other,
serve,other,
girl math,other,
boy math,other,
girl dinner,other,
npc energy,insult,
villain arc,other,
glazing,insult,
meatriding,insult,
meat riding,insult,
cooked beyond repair,other,
deep fried,other,
fried,other,
bop,sexual,
ran through,sexual,
for the streets,sexual,
chat is this real,other,
chat am i cooked,other,
ts pmo,insult,
ts,other,
pmo,other,
stfu,vulgarity,
gtfo,vulgarity,
oml,other,
omg,other,
frfr,other,
deadass,vulgarity,
type shi,other,
type shit,vulgarity,
big yikes,insult,
yikes,insult,
nah fam,other,
fr tho,other,
not gonna hold you,other,
ion know,other,
ion care,insult,
tf,vulgarity,
wtv,other,
whatever bro,insult,
doing too much,insult,
extra,insult,
pick a struggle,insult,
youre cooked,insult,
you are cooked,insult,
low taper fade,other,
huzz,other,
unc status,insult,
unc,insult,
auntie behavior,insult,
fed,insult,
snitch,insult,
ops,insult,
clout,other,
clout chaser,insult,
