row_id,input_text,original_G1_LOV_ID,original_G2_LOV_ID,original_FLAGS,corrected_G1_LOV_ID,corrected_G2_LOV_ID,corrected_FLAGS,status,reason
1,An older person online told me not to tell my parents about our chats.,TECHNOLOGY,GROOMING,has_grooming_involved=true,TECHNOLOGY,GROOMING,has_grooming_involved=true,CORRECT,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
2,Someone much older keeps sending me gifts in a game and wants to meet me alone.,TECHNOLOGY,GROOMING,has_grooming_involved=true,TECHNOLOGY,GROOMING,has_grooming_involved=true,CORRECT,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
3,An adult online calls me their special friend and says our talks are a secret.,TECHNOLOGY,GROOMING,has_grooming_involved=true,TECHNOLOGY,GROOMING,has_grooming_involved=true,CORRECT,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
4,This older person says my parents won't understand and I should only talk to them.,GENERIC,GROOMING,has_grooming_involved=true,GENERIC,GROOMING,has_grooming_involved=true,CORRECT,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
5,Someone I met in a game keeps asking me to video call when everyone at home is asleep.,TECHNOLOGY,GROOMING,has_grooming_involved=true,TECHNOLOGY,GROOMING,has_grooming_involved=true,CORRECT,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
6,An older neighbour gives me gifts and says I shouldn't tell my parents about them.,GENERIC,GROOMING,has_grooming_involved=true,GENERIC,GROOMING,has_grooming_involved=true,CORRECT,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
7,A coach keeps texting me after practice and says our messages are just between us.,TECHNOLOGY,GROOMING,has_grooming_involved=true,TECHNOLOGY,GROOMING,has_grooming_involved=true,CORRECT,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
8,My friend's uncle always wants to be alone with me and says not to tell anyone we hang out.,GENERIC,GROOMING,has_grooming_involved=true,GENERIC,GROOMING,has_grooming_involved=true,CORRECT,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
9,Someone older keeps asking what time my parents are not home so we can talk privately.,GENERIC,GROOMING,has_grooming_involved=true,GENERIC,GROOMING,has_grooming_involved=true,CORRECT,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
10,A person online says they will stop talking to me if I tell anyone about our chats.,TECHNOLOGY,GROOMING,has_grooming_involved=true,TECHNOLOGY,GROOMING,has_grooming_involved=true,CORRECT,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
11,An adult keeps messaging me compliments and says I am more mature than kids my age.,GENERIC,GROOMING,has_grooming_involved=true,GENERIC,GROOMING,has_grooming_involved=true,CORRECT,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
12,Someone says they understand me better than my family and I should talk only to them.,GENERIC,VULN_EXPLOIT,has_vuln_exploit=true,GENERIC,VULN_EXPLOIT,has_vuln_exploit=true,CORRECT,"secret, dependency, insecurity, weakness, screenshot, or blackmail is used to manipulate"
13,An older friend keeps asking me to delete our messages so nobody sees them.,TECHNOLOGY,GROOMING,has_grooming_involved=true,SCIENCE,GROOMING,has_grooming_involved=true,CHANGED,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
14,A person online sends me long messages about how special I am and that I shouldn't tell anyone.,TECHNOLOGY,GROOMING,has_grooming_involved=true,TECHNOLOGY,GROOMING,has_grooming_involved=true,CORRECT,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
15,Someone said they will send me more game credits if I keep our late-night chats secret.,TECHNOLOGY,VULN_EXPLOIT,has_vuln_exploit=true,TECHNOLOGY,VULN_EXPLOIT,has_vuln_exploit=true,CORRECT,"secret, dependency, insecurity, weakness, screenshot, or blackmail is used to manipulate"
16,An adult keeps asking personal questions and says it's our little secret.,GENERIC,GROOMING,has_grooming_involved=true,GENERIC,GROOMING,has_grooming_involved=true,CORRECT,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
17,Someone older wants me to send them updates about my day but says not to tell anyone we talk.,GENERIC,GROOMING,has_grooming_involved=true,GENERIC,GROOMING,has_grooming_involved=true,CORRECT,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
18,A mentor keeps inviting me to their house alone and says other people wouldn't understand.,GENERIC,GROOMING,has_grooming_involved=true,TECHNOLOGY,GROOMING,has_grooming_involved=true,CHANGED,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
19,This older person says we have a special connection and I shouldn't tell friends about it.,GENERIC,GROOMING,has_grooming_involved=true,GENERIC,GROOMING,has_grooming_involved=true,CORRECT,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
20,Someone online said I should hide our chat notifications so no one sees when they text.,TECHNOLOGY,GENERIC_INTENT,,TECHNOLOGY,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
21,An older person keeps asking when I am alone so we can talk without interruptions.,GENERIC,EMOTIONAL,has_emotional_distress=true,GENERIC,EMOTIONAL,has_emotional_distress=true,CORRECT,"sadness, fear, anxiety, shame, loneliness, rejection, or emotional pain is expressed"
22,They told me I am their favourite and that other kids are not as special as me.,GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
23,"Someone said if I tell my parents about our calls, they will get in trouble and it will be my fault.",GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
24,This person says we are like secret best friends and nobody would understand.,GENERIC,GENERIC_INTENT,,SCIENCE,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
25,They keep bribing me with small gifts if I promise not to talk about them at home.,GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
26,"An older person online says they are lonely and need me, and I feel bad saying no.",TECHNOLOGY,EMOTIONAL,has_emotional_distress=true,TECHNOLOGY,EMOTIONAL,has_emotional_distress=true,CORRECT,"sadness, fear, anxiety, shame, loneliness, rejection, or emotional pain is expressed"
27,"They said if I stop talking to them, something bad might happen to them.",GENERIC,GENERIC_INTENT,,SCIENCE,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
28,Someone older keeps checking where I am and who I am with and gets upset if I don't reply.,GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
29,They keep saying I am the only one who understands them and that we should keep our bond secret.,GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
30,An adult offered to help me with problems if I promise never to tell anyone about our talks.,GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
31,What is grooming?,FACT,NEUTRAL_FACT,,FACT,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
32,Why is it dangerous if an adult asks a child to keep secrets?,GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
33,What should kids do if someone older gives them gifts and asks them not to tell?,GENERIC,GROOMING,has_grooming_involved=true,GENERIC,GROOMING,has_grooming_involved=true,CORRECT,"adult/older-person secrecy, gifts, private contact, or parent-hiding pattern is present"
34,Why do adults sometimes pretend to be younger online to talk to kids?,TECHNOLOGY,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
35,How can I tell the difference between a safe adult and someone who might be trying to groom me?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
36,I feel uncomfortable when an adult keeps asking me to chat privately.,TECHNOLOGY,GENERIC_INTENT,,TECHNOLOGY,EMOTIONAL,has_emotional_distress=true,CHANGED,"sadness, fear, anxiety, shame, loneliness, rejection, or emotional pain is expressed"
