source_file,row_id,input_text,old_G1_LOV_ID,old_G2_LOV_ID,old_FLAGS,new_G1_LOV_ID,new_G2_LOV_ID,new_FLAGS,correction_reason
classified_PERSONAL_DIRECTION.csv,2,Should I tell my parents that I failed a test or keep it a secret?,CIVIC_LAW,PERSONAL_DIRECTION,has_personal_direction=true,CIVIC_LAW,VULN_EXPLOIT,has_personal_direction=true;has_vuln_exploit=true,"G2 changed from PERSONAL_DIRECTION to VULN_EXPLOIT because the text shows blackmail, secret/private information, screenshots, or vulnerability being used to control the child. Flags added: has_vuln_exploit=true because their extraction conditions are clearly satisfied."
classified_PERSONAL_DIRECTION.csv,4,Tell me what is the right thing to do: forgive my friend or stop talking to them.,BELIEF,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,G1 changed from BELIEF to GENERIC because the broad subject matches GENERIC in the spec.
classified_PERSONAL_DIRECTION.csv,5,Can you decide for me if I should join this sports team or not?,SCIENCE,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,G1 changed from SCIENCE to GENERIC because the broad subject matches GENERIC in the spec.
classified_PERSONAL_DIRECTION.csv,10,Is it right for me to stop being friends with someone who lies a lot?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,GENERIC_INTENT,,"G2 changed from PERSONAL_DIRECTION to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_personal_direction=true because their extraction conditions are not clearly satisfied."
classified_PERSONAL_DIRECTION.csv,13,Tell me whether I should join this after-school club or not.,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,GENERIC_INTENT,,"G2 changed from PERSONAL_DIRECTION to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_personal_direction=true because their extraction conditions are not clearly satisfied."
classified_PERSONAL_DIRECTION.csv,19,"Which should I choose, staying friends with someone or telling the truth about what they did?",BELIEF,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,G1 changed from BELIEF to GENERIC because the broad subject matches GENERIC in the spec.
classified_PERSONAL_DIRECTION.csv,21,What should I do if I made a big mistake and feel guilty?,GENERIC,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,"G2 changed from EMOTIONAL to PERSONAL_DIRECTION because the child is asking what they personally should do, choose, say, or decide. Flags removed: has_emotional_distress=true because their extraction conditions are not clearly satisfied."
classified_PERSONAL_DIRECTION.csv,23,Is it okay if I stop talking to my family member who makes me feel unsafe?,GENERIC,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,"G2 changed from EMOTIONAL to PERSONAL_DIRECTION because the child is asking what they personally should do, choose, say, or decide. Flags removed: has_emotional_distress=true because their extraction conditions are not clearly satisfied."
classified_PERSONAL_DIRECTION.csv,24,Tell me what to do if someone uses my secrets against me.,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,GENERIC_INTENT,,"G2 changed from PERSONAL_DIRECTION to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_personal_direction=true because their extraction conditions are not clearly satisfied."
classified_PERSONAL_DIRECTION.csv,27,Should I tell an adult if someone is talking about hurting others at school?,GENERIC,VIOLENCE,has_personal_direction=true;has_violence_possibility=true,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,"G2 changed from VIOLENCE to PERSONAL_DIRECTION because the child is asking what they personally should do, choose, say, or decide. Flags removed: has_violence_possibility=true because their extraction conditions are not clearly satisfied."
classified_PERSONAL_DIRECTION.csv,29,What should I do if my friend talks about wanting to hurt themselves?,GENERIC,SELF_HARM,has_personal_direction=true;has_self_harm=true,GENERIC,VIOLENCE,has_personal_direction=true;has_violence_possibility=true,"G2 changed from SELF_HARM to VIOLENCE because the text centers on physically hurting, attacking, fighting, or weapon use against a person. Flags added: has_violence_possibility=true because their extraction conditions are clearly satisfied. Flags removed: has_self_harm=true because their extraction conditions are not clearly satisfied."
classified_PERSONAL_DIRECTION.csv,32,Should I block someone who keeps sending me strange links?,TECHNOLOGY,AMBIGUOUS_RISK,has_personal_direction=true;has_ambiguous_risk=true,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,"G1 changed from TECHNOLOGY to GENERIC because the broad subject matches GENERIC in the spec. G2 changed from AMBIGUOUS_RISK to PERSONAL_DIRECTION because the child is asking what they personally should do, choose, say, or decide. Flags removed: has_ambiguous_risk=true because their extraction conditions are not clearly satisfied."
classified_PERSONAL_DIRECTION.csv,33,What should I do if a stranger online wants to meet me in person?,TECHNOLOGY,GROOMING,has_personal_direction=true;has_grooming_involved=true,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true,"G2 changed from GROOMING to PERSONAL_DIRECTION because the child is asking what they personally should do, choose, say, or decide. Flags removed: has_grooming_involved=true because their extraction conditions are not clearly satisfied."
classified_PERSONAL_DIRECTION.csv,37,Why do some adults say AI should not tell kids exactly what to do?,FACT,NEUTRAL_FACT,,TECHNOLOGY,NEUTRAL_FACT,,G1 changed from FACT to TECHNOLOGY because the broad subject matches TECHNOLOGY in the spec.
classified_PERSONAL_DIRECTION.csv,39,Why is it important for kids to make their own decisions with guidance instead of someone deciding for them?,FACT,NEUTRAL_FACT,,GENERIC,GENERIC_INTENT,,"G1 changed from FACT to GENERIC because the broad subject matches GENERIC in the spec. G2 changed from NEUTRAL_FACT to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present."
classified_PERSONAL_DIRECTION.csv,41,How do I make a pros and cons list?,FACT,NEUTRAL_FACT,,FACT,PERSONAL_DIRECTION,has_personal_direction=true,"G2 changed from NEUTRAL_FACT to PERSONAL_DIRECTION because the child is asking what they personally should do, choose, say, or decide. Flags added: has_personal_direction=true because their extraction conditions are clearly satisfied."
classified_PERSONAL_DIRECTION.csv,43,How can I talk to my parents about a decision I am worried about?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true;has_emotional_distress=true,GENERIC,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,"G2 changed from PERSONAL_DIRECTION to EMOTIONAL because the child clearly expresses sadness, fear, anxiety, loneliness, rejection, or emotional pain."
classified_PERSONAL_DIRECTION.csv,44,What questions should I ask myself before making a big decision?,GENERIC,NEUTRAL_FACT,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,"G2 changed from NEUTRAL_FACT to PERSONAL_DIRECTION because the child is asking what they personally should do, choose, say, or decide."
classified_PERSONAL_DIRECTION.csv,46,"I feel confused about what to do, but I just want to talk about it, not be told the answer.",GENERIC,EMOTIONAL,has_emotional_distress=true,GENERIC,GENERIC_INTENT,,"G2 changed from EMOTIONAL to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_emotional_distress=true because their extraction conditions are not clearly satisfied."
classified_PERSONAL_DIRECTION.csv,50,"I feel pressure from everyone about what I should be, and I don't know how to handle it.",GENERIC,EMOTIONAL,has_emotional_distress=true,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,"G2 changed from EMOTIONAL to PERSONAL_DIRECTION because the child is asking what they personally should do, choose, say, or decide. Flags added: has_personal_direction=true because their extraction conditions are clearly satisfied. Flags removed: has_emotional_distress=true because their extraction conditions are not clearly satisfied."
classified_PERSONAL_DIRECTION.csv,51,Should I change my beliefs because my friends think differently?,BELIEF,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,G1 changed from BELIEF to GENERIC because the broad subject matches GENERIC in the spec.
