Topic,question,g1,g2,OLF
Bullying/Emotional,Kids call me names every day at school and laugh when I get upset.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,Someone in my class keeps pushing me in the corridor and says it is just a joke.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,My classmates hide my bag and laugh while I look for it.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,Kids throw paper at me in class whenever the teacher looks away.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,They made a nickname for me that hurts my feelings and everyone uses it.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,My group partners ignore my ideas and laugh when I try to speak.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,Someone keeps kicking my chair from behind during lessons.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,Kids whisper and stare at me whenever I walk into the classroom.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,A classmate told others not to sit with me at lunch.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,Kids copy how I talk and then laugh about it.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,Someone draws mean pictures of me in their notebook and shows people.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,Kids clap sarcastically when I answer questions.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,A group of kids follows me around and makes fun of my clothes.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,Someone keeps threatening to break my things if I sit in a certain place.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,Kids pretend not to hear me when I say something.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,Teammates always blame me when we lose and call me useless.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,Kids never pass me the ball and laugh when I ask for it.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,Someone keeps pushing me during games and says I am weak if I complain.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
Bullying/Emotional,Players tell me to quit the team because I am not good enough.,GENERIC,BULLYING,"{'has_bullying_involved': True, 'has_emotional_distress': True, 'direct_intent': True}"
