term,example
1 man 1 jar,They kept saying 1 man 1 jar in the chat.
1m1j,I saw 1m1j in the comments again.
1man1jar,Someone posted 1man1jar just to get a reaction.
2 girls 1 cup,That thread turned into 2 girls 1 cup real fast.
2g1c,He dropped 2g1c into the conversation for no reason.
2girls1cup,The whole table cracked up after somebody said 2girls1cup.
4r5e,The whole chat was 4r5e tonight.
5h1t,I heard 5h1t from the back seat.
5hit,This is 5hit.
@$$,"Well, @$$."
a55,That turned into a55 fast.
a_s_s,What the a_s_s.
abbo,The comment under the video just said abbo.
abeed,He muttered abeed when that student walked in.
abo,Someone spray-painted abo on the fence.
acrotomophile,He thought typing acrotomophile was funny.
acrotomophilia,That comment said acrotomophilia and got deleted fast.
ahole,Don't act like ahole.
alabama hot pocket,The DM turned weird when he wrote alabama hot pocket.
alabama tuna melt,They kept joking about alabama tuna melt at lunch.
alaskan pipeline,Her phone screen flashed a message with alaskan pipeline.
anal,The older kids were whispering about anal.
anilingus,That thread got explicit the second anilingus showed up.
anus,He thought typing anus was funny.
apeshit,This is apeshit.
arse,"Well, arse."
arsehole,Only an arsehole would say that.
ass,What the ass.
assclown,"Quit it, assclown."
assface,"Wow, what an assface."
asshat,He's being an asshat again.
asshole,They called him asshole after the game.
as fuck,"as fuck, I forgot my homework."
bastard,Don't act like bastard.
bean flicker,The DM turned weird when he wrote bean flicker.
bellend,"Move, bellend."
bitch,"Quit it, bitch."
blackie,He muttered blackie when that student walked in.
blow job,That thread got explicit the second blow job showed up.
bollocks,I heard bollocks from the back seat.
bugger,This is bugger.
bullshit,"Well, bullshit."
camel jockey,A kid shouted camel jockey during recess.
chink,They got reported for saying chink on the bus.
clit,Her phone screen flashed a message with clit.
cock,The older kids were whispering about cock.
cocksucker,That thread got explicit the second cocksucker showed up.
coon,The voice note had coon in it.
crap,This is crap.
cunt,Someone dropped cunt in the group chat.
dammit,He yelled dammit when the controller died.
darkie,They got reported for saying darkie on the bus.
dick,Her phone screen flashed a message with dick.
dickhead,"Wow, what a dickhead."
dipshit,He's being a dipshit again.
dyke,The message called him dyke and then got deleted.
fag,He called another kid fag.
faggot,Someone wrote faggot under the post.
fellatio,The DM turned weird when he wrote fellatio.
fisting,They kept joking about fisting at lunch.
fuck,Everything went fuck after that.
fuckhead,"Wow, what a fuckhead."
fuckoff,I dropped my notebook and just went fuckoff.
fuckwit,They called him fuckwit after the game.
goddamn,"goddamn, I forgot my homework."
gook,Someone typed gook into the class chat.
jackass,Only a jackass would say that.
jizz,They kept joking about jizz at lunch.
kike,That reply was just kike and a laughing emoji.
moron,"Wow, what a moron."
motherfucker,He's being a motherfucker again.
nigga,The voice note had nigga in it.
nigger,He called me nigger in the hallway.
paki,Someone typed paki into the class chat.
penis,The DM turned weird when he wrote penis.
piss,What the piss.
pussy,Her phone screen flashed a message with pussy.
queef,The older kids were whispering about queef.
rape,That thread got explicit the second rape showed up.
retard,He whispered retard and pointed at him.
shit,This is shit.
shithead,Don't act like shithead.
slut,Only a slut would say that.
spastic,They wrote spastic in the group chat.
spic,The comment under the video just said spic.
tosser,"Wow, what a tosser."
tranny,Somebody muttered tranny when he walked by.
twat,I heard twat from the back seat.
wanker,You're such wanker.
wetback,Someone typed wetback into the class chat.
whore,Only a whore would say that.
zipperhead,They got reported for saying zipperhead on the bus.
assmunch,"Quit it, assmunch."
big black cock,The older kids were whispering about big black cock.
bloody,The whole chat was bloody tonight.
blowjob,He thought typing blowjob was funny.
brainfuck,This is brainfuck.
chicken shit,Don't act like chicken shit.
ching chong,A kid shouted ching chong during recess.
clusterfuck,What the clusterfuck.
coonass,The comment under the video just said coonass.
cornhole,The older kids were whispering about cornhole.
cox-zucker machine,Her caption ended with cox-zucker machine.
cracker,The voice note had cracker in it.
damnation,"damnation, I forgot my homework."
dumbass,Don't act like dumbass.
enshittification,That turned into enshittification fast.
feck,What the feck.
list of films that most frequently use the word fuck,He dropped list of films that most frequently use the word fuck into the conversation for no reason.
fuck her right in the pussy,The older kids were whispering about fuck her right in the pussy.
fuck joe biden,Her caption ended with fuck joe biden.
"fuck, marry, kill","He sent fuck, marry, kill and then went offline."
fuckery,This is fuckery.
gay,Someone wrote gay under the post.
grab 'em by the pussy,The DM turned weird when he wrote grab 'em by the pussy.
healslut,They kept joking about healslut at lunch.
hell,All I heard was hell from the hallway.
hori,He muttered hori when that student walked in.
if you see kay,Her caption ended with if you see kay.
jesus fucking christ,Her first reaction was jesus fucking christ.
use of nigger in proper names,They kept saying use of nigger in proper names in the chat.
niggerhead,Someone typed niggerhead into the class chat.
pajeet,A kid shouted pajeet during recess.
polaco,They got reported for saying polaco on the bus.
poof,That comment thread was full of poof.
poofter,He thought saying poofter made him look cool.
prick,He's being a prick again.
queer,The message called him queer and then got deleted.
ratfucking,This is ratfucking.
"russian warship, go fuck yourself","Well, russian warship, go fuck yourself."
serving cunt,The DM turned weird when he wrote serving cunt.
shit happens,She whispered shit happens under her breath.
shithouse,Everything went shithouse after that.
shitposting,He just muttered shitposting and left.
shitter,The whole chat was shitter tonight.
shut the fuck up,I heard shut the fuck up from the back seat.
shut the hell up,"shut the hell up, I forgot my homework."
son of a bitch,"Well, son of a bitch."
taking the piss,That turned into taking the piss fast.
unclefucker,They kept joking about unclefucker at lunch.
no cap,He dropped no cap into the conversation for no reason.
cap,The whole table cracked up after somebody said cap.
fr,Her caption ended with fr.
for real,He sent for real and then went offline.
lowkey,They kept saying lowkey in the chat.
highkey,I saw highkey in the comments again.
bet,Someone posted bet just to get a reaction.
slay,That thread turned into slay real fast.
ate,He dropped ate into the conversation for no reason.
left no crumbs,The whole table cracked up after somebody said left no crumbs.
fire,Her caption ended with fire.
lit,He sent lit and then went offline.
mid,They kept saying mid in the chat.
sus,I saw sus in the comments again.
vibe,Someone posted vibe just to get a reaction.
mood,That thread turned into mood real fast.
tea,He dropped tea into the conversation for no reason.
spill,The whole table cracked up after somebody said spill.
main character,Her caption ended with main character.
npc,They called him npc after the game.
rizz,They kept saying rizz in the chat.
w,I saw w in the comments again.
l,Someone posted l just to get a reaction.
big w,That thread turned into big w real fast.
take the l,He dropped take the l into the conversation for no reason.
glow up,The whole table cracked up after somebody said glow up.
flex,Her caption ended with flex.
cringe,They called him cringe after the game.
based,They kept saying based in the chat.
valid,I saw valid in the comments again.
delulu,Only a delulu would say that.
touch grass,"Move, touch grass."
ratio,He dropped ratio into the conversation for no reason.
cooked,The whole table cracked up after somebody said cooked.
locked in,Her caption ended with locked in.
brain rot,He sent brain rot and then went offline.
skibidi,They kept saying skibidi in the chat.
