metric,value
file_name,corrected_classified_genz.csv
total_non_empty_input_rows,3000
rows_changed_any_field,1791
rows_unchanged_all_fields,1209
rows_with_removed_invalid_has_personal_direction_flag,1141
corrected_G2_count_PERSONAL_DIRECTION,1189
corrected_G2_count_GENERIC_INTENT,752
corrected_G2_count_NEUTRAL_FACT,276
corrected_G2_count_EMOTIONAL,148
corrected_G2_count_VIOLENCE,143
corrected_G2_count_GROOMING,110
corrected_G2_count_COERCIVE_CONTROL,90
corrected_G2_count_SAFETY_HAZARD,80
corrected_G2_count_BULLYING,63
corrected_G2_count_DANGEROUS,40
corrected_G2_count_VULN_EXPLOIT,40
corrected_G2_count_UNSAFE_SEXUAL_CONTENT,40
corrected_G2_count_SELF_HARM,24
corrected_G2_count_HATE_GROUP,5
corrected_G1_count_GENERIC,1611
corrected_G1_count_TECHNOLOGY,589
corrected_G1_count_CIVIC_LAW,304
corrected_G1_count_SCIENCE,231
corrected_G1_count_FACT,214
corrected_G1_count_BELIEF,51
