file,rows,G2_LOV_ID,g2_count,flag_has_coercive_control_count,flag_has_vuln_exploit_count,flag_has_self_harm_count,flag_has_grooming_involved_count,flag_has_unsafe_sexual_content_count,flag_has_bullying_involved_count,flag_has_emotional_distress_count,flag_has_dangerous_context_count,flag_has_safety_hazard_count,flag_has_violence_possibility_count,flag_has_ambiguous_risk_count
Child_Upto18_Only_Classified_Prompt_0.csv,7603,NEUTRAL_FACT,3539,2,104,130,14,174,52,10,257,68,275,257
Child_Upto18_Only_Classified_Prompt_0.csv,7603,GENERIC_INTENT,2671,2,104,130,14,174,52,10,257,68,275,257
Child_Upto18_Only_Classified_Prompt_0.csv,7603,DANGEROUS,232,2,104,130,14,174,52,10,257,68,275,257
Child_Upto18_Only_Classified_Prompt_0.csv,7603,VIOLENCE,221,2,104,130,14,174,52,10,257,68,275,257
Child_Upto18_Only_Classified_Prompt_0.csv,7603,AMBIGUOUS_RISK,197,2,104,130,14,174,52,10,257,68,275,257
Child_Upto18_Only_Classified_Prompt_0.csv,7603,UNSAFE_SEXUAL_CONTENT,172,2,104,130,14,174,52,10,257,68,275,257
Child_Upto18_Only_Classified_Prompt_0.csv,7603,PERSONAL_DIRECTION,138,2,104,130,14,174,52,10,257,68,275,257
Child_Upto18_Only_Classified_Prompt_0.csv,7603,SELF_HARM,130,2,104,130,14,174,52,10,257,68,275,257
Child_Upto18_Only_Classified_Prompt_0.csv,7603,VULN_EXPLOIT,103,2,104,130,14,174,52,10,257,68,275,257
Child_Upto18_Only_Classified_Prompt_0.csv,7603,HATE_GROUP,77,2,104,130,14,174,52,10,257,68,275,257
Child_Upto18_Only_Classified_Prompt_0.csv,7603,SAFETY_HAZARD,61,2,104,130,14,174,52,10,257,68,275,257
Child_Upto18_Only_Classified_Prompt_0.csv,7603,BULLYING,40,2,104,130,14,174,52,10,257,68,275,257
Child_Upto18_Only_Classified_Prompt_0.csv,7603,GROOMING,13,2,104,130,14,174,52,10,257,68,275,257
Child_Upto18_Only_Classified_Prompt_0.csv,7603,EMOTIONAL,7,2,104,130,14,174,52,10,257,68,275,257
Child_Upto18_Only_Classified_Prompt_0.csv,7603,COERCIVE_CONTROL,2,2,104,130,14,174,52,10,257,68,275,257
Child_Upto18_Only_Classified_Prompt_1.csv,7618,NEUTRAL_FACT,3524,0,102,119,24,182,53,11,264,64,321,252
Child_Upto18_Only_Classified_Prompt_1.csv,7618,GENERIC_INTENT,2706,0,102,119,24,182,53,11,264,64,321,252
Child_Upto18_Only_Classified_Prompt_1.csv,7618,VIOLENCE,250,0,102,119,24,182,53,11,264,64,321,252
Child_Upto18_Only_Classified_Prompt_1.csv,7618,DANGEROUS,230,0,102,119,24,182,53,11,264,64,321,252
Child_Upto18_Only_Classified_Prompt_1.csv,7618,AMBIGUOUS_RISK,208,0,102,119,24,182,53,11,264,64,321,252
Child_Upto18_Only_Classified_Prompt_1.csv,7618,UNSAFE_SEXUAL_CONTENT,182,0,102,119,24,182,53,11,264,64,321,252
Child_Upto18_Only_Classified_Prompt_1.csv,7618,PERSONAL_DIRECTION,122,0,102,119,24,182,53,11,264,64,321,252
Child_Upto18_Only_Classified_Prompt_1.csv,7618,SELF_HARM,119,0,102,119,24,182,53,11,264,64,321,252
Child_Upto18_Only_Classified_Prompt_1.csv,7618,VULN_EXPLOIT,102,0,102,119,24,182,53,11,264,64,321,252
Child_Upto18_Only_Classified_Prompt_1.csv,7618,HATE_GROUP,53,0,102,119,24,182,53,11,264,64,321,252
Child_Upto18_Only_Classified_Prompt_1.csv,7618,SAFETY_HAZARD,51,0,102,119,24,182,53,11,264,64,321,252
Child_Upto18_Only_Classified_Prompt_1.csv,7618,BULLYING,39,0,102,119,24,182,53,11,264,64,321,252
Child_Upto18_Only_Classified_Prompt_1.csv,7618,GROOMING,24,0,102,119,24,182,53,11,264,64,321,252
Child_Upto18_Only_Classified_Prompt_1.csv,7618,EMOTIONAL,8,0,102,119,24,182,53,11,264,64,321,252
Child_Upto18_Only_Classified_Prompt_2.csv,7637,NEUTRAL_FACT,3557,0,76,115,20,173,69,6,245,66,294,237
Child_Upto18_Only_Classified_Prompt_2.csv,7637,GENERIC_INTENT,2725,0,76,115,20,173,69,6,245,66,294,237
Child_Upto18_Only_Classified_Prompt_2.csv,7637,VIOLENCE,227,0,76,115,20,173,69,6,245,66,294,237
Child_Upto18_Only_Classified_Prompt_2.csv,7637,DANGEROUS,220,0,76,115,20,173,69,6,245,66,294,237
Child_Upto18_Only_Classified_Prompt_2.csv,7637,AMBIGUOUS_RISK,210,0,76,115,20,173,69,6,245,66,294,237
Child_Upto18_Only_Classified_Prompt_2.csv,7637,UNSAFE_SEXUAL_CONTENT,171,0,76,115,20,173,69,6,245,66,294,237
Child_Upto18_Only_Classified_Prompt_2.csv,7637,PERSONAL_DIRECTION,126,0,76,115,20,173,69,6,245,66,294,237
Child_Upto18_Only_Classified_Prompt_2.csv,7637,SELF_HARM,115,0,76,115,20,173,69,6,245,66,294,237
Child_Upto18_Only_Classified_Prompt_2.csv,7637,VULN_EXPLOIT,74,0,76,115,20,173,69,6,245,66,294,237
Child_Upto18_Only_Classified_Prompt_2.csv,7637,HATE_GROUP,70,0,76,115,20,173,69,6,245,66,294,237
Child_Upto18_Only_Classified_Prompt_2.csv,7637,BULLYING,62,0,76,115,20,173,69,6,245,66,294,237
Child_Upto18_Only_Classified_Prompt_2.csv,7637,SAFETY_HAZARD,57,0,76,115,20,173,69,6,245,66,294,237
Child_Upto18_Only_Classified_Prompt_2.csv,7637,GROOMING,19,0,76,115,20,173,69,6,245,66,294,237
Child_Upto18_Only_Classified_Prompt_2.csv,7637,EMOTIONAL,4,0,76,115,20,173,69,6,245,66,294,237
Child_Upto18_Only_Classified_Prompt_3.csv,7533,NEUTRAL_FACT,3469,0,86,105,15,161,49,9,236,79,296,239
Child_Upto18_Only_Classified_Prompt_3.csv,7533,GENERIC_INTENT,2751,0,86,105,15,161,49,9,236,79,296,239
Child_Upto18_Only_Classified_Prompt_3.csv,7533,VIOLENCE,221,0,86,105,15,161,49,9,236,79,296,239
Child_Upto18_Only_Classified_Prompt_3.csv,7533,DANGEROUS,215,0,86,105,15,161,49,9,236,79,296,239
Child_Upto18_Only_Classified_Prompt_3.csv,7533,AMBIGUOUS_RISK,203,0,86,105,15,161,49,9,236,79,296,239
