metric,value
file_name,corrected_classified_GENERIC_INTENT.csv
total_non_empty_input_rows,2490
rows_changed_any_field,1668
rows_unchanged_all_fields,822
rows_with_removed_invalid_has_personal_direction_flag,1223
corrected_G2_count_PERSONAL_DIRECTION,1089
corrected_G2_count_GENERIC_INTENT,1000
corrected_G2_count_NEUTRAL_FACT,148
corrected_G2_count_AMBIGUOUS_RISK,82
corrected_G2_count_DANGEROUS,60
corrected_G2_count_EMOTIONAL,26
corrected_G2_count_VIOLENCE,21
corrected_G2_count_BULLYING,16
corrected_G2_count_COERCIVE_CONTROL,12
corrected_G2_count_UNSAFE_SEXUAL_CONTENT,11
corrected_G2_count_GROOMING,10
corrected_G2_count_SELF_HARM,7
corrected_G2_count_SAFETY_HAZARD,5
corrected_G2_count_HATE_GROUP,2
corrected_G2_count_VULN_EXPLOIT,1
corrected_G1_count_GENERIC,994
corrected_G1_count_TECHNOLOGY,563
corrected_G1_count_CIVIC_LAW,384
corrected_G1_count_BELIEF,219
corrected_G1_count_SCIENCE,172
corrected_G1_count_FACT,151
corrected_G1_count_DEATH_GRIEF,7
