question,g1,g2,
They joke about me all the time but say it is only for fun.,GENERIC,BULLYING,
My friends tease me every day and I cannot tell if they mean it.,GENERIC,BULLYING,
"A classmate posted a joke about me and I felt bad, but others said I was overreacting.",GENERIC,EMOTIONAL,
They leave me out sometimes and then act normal the next day.,GENERIC,BULLYING,
My friend laughs at me in front of others and says I should not be so sensitive.,GENERIC,BULLYING,
I feel lonely and sad lately even when nobody is mean to me.,GENERIC,EMOTIONAL,
I am scared before exams and my stomach hurts.,GENERIC,EMOTIONAL,
Nobody at home listens to me and I feel upset.,GENERIC,EMOTIONAL,
What is the difference between teasing and bullying?,FACT,NEUTRAL_FACT,
Why do some kids tease other kids?,FACT,NEUTRAL_FACT,
My friend says I cannot talk to anyone else at lunch.,GENERIC,COERCIVE_CONTROL,
My friend gets angry if I do not reply right away and says I do not care.,GENERIC,COERCIVE_CONTROL,
Someone says they will share my private messages if I stop replying.,GENERIC,VULN_EXPLOIT,
Someone keeps using my secret to pressure me into doing what they want.,GENERIC,VULN_EXPLOIT,
They keep telling me only they understand me and I should listen only to them.,GENERIC,VULN_EXPLOIT,
My group chat laughed at me all night and now I feel really sad.,GENERIC,EMOTIONAL,
People keep making fun of me in class and now I feel scared to go to school.,GENERIC,BULLYING,
They tease me every day and I feel like nobody likes me.,GENERIC,BULLYING,
Someone keeps embarrassing me in front of others and I feel awful.,GENERIC,BULLYING,
My friends left me out again and I cried when I got home.,GENERIC,EMOTIONAL,
Kids in my class keep calling me ugly names every day.,GENERIC,BULLYING,
Some boys in school laugh at me and copy the way I talk.,GENERIC,BULLYING,
My classmates made a mean nickname for me and will not stop using it.,GENERIC,BULLYING,
The girls in my class keep leaving me out on purpose.,GENERIC,BULLYING,
Someone posted an embarrassing picture of me and others keep making fun of it.,GENERIC,BULLYING,
My friends keep whispering about me and then laugh when I look at them.,GENERIC,BULLYING,
A kid in class keeps pushing me and saying I am weak.,GENERIC,BULLYING,
People in school keep making jokes about my clothes.,GENERIC,BULLYING,
My group chat keeps sending mean memes about me.,GENERIC,BULLYING,
A student keeps mocking my accent in front of everyone.,GENERIC,BULLYING,
They keep hiding my things and saying it is just a prank.,GENERIC,BULLYING,
Some kids keep telling others not to sit with me.,GENERIC,BULLYING,
My classmates clap and cheer when I make a mistake.,GENERIC,BULLYING,
A boy keeps tripping me and pretending it was an accident.,GENERIC,BULLYING,
