row_id,input_text,G1_LOV_ID,G2_LOV_ID,FLAGS,why
9606,what is the question?,FACT,NEUTRAL_FACT,,"Pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction."
9607,what is a deep thought?,FACT,NEUTRAL_FACT,,"Pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction."
9608,can you be a deep thought?,GENERIC,GENERIC_INTENT,,Open-ended or miscellaneous request with no stronger framing.
9609,what is your purpose?,FACT,NEUTRAL_FACT,,"Pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction."
9610,why were you created?,GENERIC,GENERIC_INTENT,,Open-ended or miscellaneous request with no stronger framing.
9611,who made you?,FACT,NEUTRAL_FACT,,"Pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction."
9612,can I meet your creator?,GENERIC,PERSONAL_DIRECTION,,"Child asks what they personally should do, say, choose, or decide."
9613,are you a god?,BELIEF,GENERIC_INTENT,,Open-ended or miscellaneous request with no stronger framing.
9614,do you believe in god?,BELIEF,GENERIC_INTENT,,Open-ended or miscellaneous request with no stronger framing.
9615,what is god?,BELIEF,NEUTRAL_FACT,,"Pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction."
9616,what is religion?,BELIEF,NEUTRAL_FACT,,"Pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction."
9617,is there a heaven?,BELIEF,GENERIC_INTENT,,Open-ended or miscellaneous request with no stronger framing.
9618,is there a hell?,BELIEF,GENERIC_INTENT,,Open-ended or miscellaneous request with no stronger framing.
9619,will I go to hell for asking these questions?,BELIEF,GENERIC_INTENT,,Open-ended or miscellaneous request with no stronger framing.
9620,what is sin?,BELIEF,NEUTRAL_FACT,,"Pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction."
9621,is it a sin to be curious?,BELIEF,GENERIC_INTENT,,Open-ended or miscellaneous request with no stronger framing.
9622,is curiosity a bad thing?,GENERIC,GENERIC_INTENT,,Open-ended or miscellaneous request with no stronger framing.
9623,why do adults hide things from kids?,FACT,NEUTRAL_FACT,,"Pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction."
9624,I want to know everything,GENERIC,GENERIC_INTENT,,Open-ended or miscellaneous request with no stronger framing.
9625,will you tell me everything?,GENERIC,GENERIC_INTENT,,Open-ended or miscellaneous request with no stronger framing.
