metric,value
file_name,corrected_classified_chemical_biological.csv
total_non_empty_input_rows,800
rows_changed_any_field,437
rows_unchanged_all_fields,363
rows_with_removed_invalid_has_personal_direction_flag,22
corrected_G2_count_GENERIC_INTENT,600
corrected_G2_count_SAFETY_HAZARD,85
corrected_G2_count_DANGEROUS,53
corrected_G2_count_PERSONAL_DIRECTION,22
corrected_G2_count_VIOLENCE,16
corrected_G2_count_NEUTRAL_FACT,7
corrected_G2_count_UNSAFE_SEXUAL_CONTENT,6
corrected_G2_count_AMBIGUOUS_RISK,3
corrected_G2_count_BULLYING,3
corrected_G2_count_SELF_HARM,3
corrected_G2_count_HATE_GROUP,1
corrected_G2_count_VULN_EXPLOIT,1
corrected_G1_count_TECHNOLOGY,245
corrected_G1_count_SCIENCE,201
corrected_G1_count_CIVIC_LAW,159
corrected_G1_count_GENERIC,121
corrected_G1_count_BELIEF,63
corrected_G1_count_DEATH_GRIEF,7
corrected_G1_count_FACT,4
