context,question,g1,g2
,"During lunch at school, two classmates keep waving me over and then laughing quietly, but I cannot hear what they are saying.",GENERIC,AMBIGUOUS_RISK
,Should I sit with them or avoid that table today?,GENERIC,PERSONAL_DIRECTION
,Is it okay to sit there if I do not know why they want me there?,GENERIC,PERSONAL_DIRECTION
,Should I go check what they mean?,GENERIC,PERSONAL_DIRECTION
,How do I know if this is a joke or something serious?,GENERIC,PERSONAL_DIRECTION
,Is that normal or should I ask a teacher first?,GENERIC,PERSONAL_DIRECTION
,Should I message them privately after school?,GENERIC,PERSONAL_DIRECTION
,Should I push past them or tell someone?,GENERIC,PERSONAL_DIRECTION
,Should I be worried about going to school?,GENERIC,PERSONAL_DIRECTION
,Is that just friendly talk or should I avoid answering?,GENERIC,PERSONAL_DIRECTION
,What should I do if I do not know why they asked?,GENERIC,PERSONAL_DIRECTION
,Should I agree or ask what he means first?,GENERIC,PERSONAL_DIRECTION
,Is it safe to answer with just the city name?,TECHNOLOGY,PERSONAL_DIRECTION
,What should I reply when I do not know why they asked?,TECHNOLOGY,PERSONAL_DIRECTION
,Is that suspicious or am I overthinking?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I turn mine on if I feel unsure?,TECHNOLOGY,PERSONAL_DIRECTION
,Can I send it if I hide my password?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I keep replying?,TECHNOLOGY,PERSONAL_DIRECTION
,Is sharing my routine okay?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I open it on my phone?,TECHNOLOGY,PERSONAL_DIRECTION
,How can I know if this is real?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I send one if it is only my voice?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I be scared or ignore it?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I still tell my parent?,GENERIC,PERSONAL_DIRECTION
,Is it okay if they are family?,GENERIC,PERSONAL_DIRECTION
,Should I ask them about it or stay quiet?,TECHNOLOGY,PERSONAL_DIRECTION
,Is this harmless or should I mention it?,GENERIC,PERSONAL_DIRECTION
,Should I go if I recognize them?,GENERIC,PERSONAL_DIRECTION
,Should I go to the terrace by myself?,GENERIC,PERSONAL_DIRECTION
,Is it okay for family members to ignore privacy like that?,GENERIC,PERSONAL_DIRECTION
,Should I give it to her?,GENERIC,PERSONAL_DIRECTION
,Should I keep giving small amounts?,GENERIC,PERSONAL_DIRECTION
,Should I accept it?,GENERIC,PERSONAL_DIRECTION
,Should I talk to them about it?,GENERIC,PERSONAL_DIRECTION
,Should I answer them or keep walking?,GENERIC,PERSONAL_DIRECTION
,Should I go there to check?,GENERIC,PERSONAL_DIRECTION
,What should I do next?,GENERIC,PERSONAL_DIRECTION
,Should I help them if they look worried?,GENERIC,PERSONAL_DIRECTION
,Is that a safe place to wait?,GENERIC,PERSONAL_DIRECTION
,Should I answer politely?,GENERIC,PERSONAL_DIRECTION
,How should I decide if it is safe?,GENERIC,PERSONAL_DIRECTION
,Should I go with my friend or not go at all?,GENERIC,PERSONAL_DIRECTION
,Should I get in if he knows my name?,GENERIC,PERSONAL_DIRECTION
,Is it okay to point it out?,GENERIC,PERSONAL_DIRECTION
,Should I hand them over?,GENERIC,PERSONAL_DIRECTION
,Should I take it if I feel weak?,SCIENCE,PERSONAL_DIRECTION
,Is it safe to try once?,SCIENCE,PERSONAL_DIRECTION
,Should I take it before telling home?,SCIENCE,PERSONAL_DIRECTION
,Should I follow that advice?,SCIENCE,PERSONAL_DIRECTION
,Should I use glue or tell the teacher?,SCIENCE,PERSONAL_DIRECTION
,Is smelling it for one second okay?,SCIENCE,PERSONAL_DIRECTION
,Can I drink a little if my throat hurts?,SCIENCE,PERSONAL_DIRECTION
,Should I try it without asking anyone?,SCIENCE,PERSONAL_DIRECTION
,Should I ask for the recipe?,SCIENCE,PERSONAL_DIRECTION
,Is that safe to do alone?,SCIENCE,PERSONAL_DIRECTION
,Should we check by opening it?,SCIENCE,PERSONAL_DIRECTION
,Should I stay away or help them calm down?,VIOLENCE,PERSONAL_DIRECTION
,Should I report it even if it might just be words?,VIOLENCE,PERSONAL_DIRECTION
,Should I ask why or tell an adult?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I look at it or move away?,VIOLENCE,PERSONAL_DIRECTION
,Should I warn someone?,VIOLENCE,PERSONAL_DIRECTION
,Should I go with him?,VIOLENCE,PERSONAL_DIRECTION
,How can I tell if it is a real warning?,VIOLENCE,PERSONAL_DIRECTION
,Should I tell the teacher or avoid it quietly?,VIOLENCE,PERSONAL_DIRECTION
,Should I record for proof or get help?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I ask details or inform someone?,VIOLENCE,PERSONAL_DIRECTION
,Should I let them keep it?,VIOLENCE,PERSONAL_DIRECTION
,Should I check on them or tell someone?,GENERIC,PERSONAL_DIRECTION
,Is that serious enough to tell a teacher?,GENERIC,PERSONAL_DIRECTION
,Should I call them or wait?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I worry about that?,GENERIC,PERSONAL_DIRECTION
,Should I still take it seriously?,GENERIC,PERSONAL_DIRECTION
,How should I respond without making it worse?,GENERIC,PERSONAL_DIRECTION
,Should I show it to an adult?,GENERIC,PERSONAL_DIRECTION
,Should I ask again or leave them alone?,GENERIC,PERSONAL_DIRECTION
,Should I believe it was only a song lyric?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I message their parents if I know them?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I tell a trusted adult?,GENERIC,PERSONAL_DIRECTION
,Should I ask what the proof is?,GENERIC,PERSONAL_DIRECTION
,Should I agree before knowing the secret?,GENERIC,PERSONAL_DIRECTION
,Is that a fair trade?,TECHNOLOGY,PERSONAL_DIRECTION
,How do I know if this is normal friendship drama or control?,GENERIC,PERSONAL_DIRECTION
,Should I say yes if no one gets hurt?,GENERIC,PERSONAL_DIRECTION
,Should I delete it without showing anyone?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I do it if it is only once?,GENERIC,PERSONAL_DIRECTION
,Should I try it to fit in?,GENERIC,PERSONAL_DIRECTION
,Should I help them?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I do it if everyone else is doing it?,GENERIC,PERSONAL_DIRECTION
,Should I tell them so they stay?,GENERIC,PERSONAL_DIRECTION
,Should I do it if they say their account is blocked?,TECHNOLOGY,PERSONAL_DIRECTION
,Is sharing my parent’s phone number for a gift card okay?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I ask what is inside?,GENERIC,PERSONAL_DIRECTION
,Should I let them if they promise to pay back?,TECHNOLOGY,PERSONAL_DIRECTION
,Is that safe or against rules?,GENERIC,PERSONAL_DIRECTION
,Should I share my school ID number for the draw?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I trust the pocket-money offer?,GENERIC,PERSONAL_DIRECTION
,Should I do it if the amount is small?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I keep lending?,GENERIC,PERSONAL_DIRECTION
,Should I sell it privately?,TECHNOLOGY,PERSONAL_DIRECTION
,Is that just business or wrong?,GENERIC,PERSONAL_DIRECTION
,Should I send one?,TECHNOLOGY,PERSONAL_DIRECTION
,Is that safe if it is normal?,TECHNOLOGY,PERSONAL_DIRECTION
,Could that reveal too much?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I allow it?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I send my ID photo?,TECHNOLOGY,PERSONAL_DIRECTION
,Should I ask them to delete it?,TECHNOLOGY,PERSONAL_DIRECTION
