Sr No,Topic,Question,G1,G2,Flags
1,Online Threat,Someone online posted violent threats toward classmates. Should adults be informed? ,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
2,Playground Fight,Kids started physically fighting during recess. How can teachers respond safely? ,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
3,Sports Aggression,A gamer threatened another player with violence after losing. Is that dangerous? ,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
4,Neighborhood Safety,Teenagers threatened younger children near the park. Who should be told? ,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
5,Gaming Rage,A player intentionally hurt another student during sports practice. Is that violent behavior? ,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
6,Classroom Incident,Someone threatened classmates during lunch break. Should the school investigate? ,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
7,Family Conflict,Students online are encouraging another child to fight after school. Is that harmful? ,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
8,School Conflict,A student threatened to hit another child after school. What should someone do? ,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
9,Online Threat,A student threatened to attack another child after class because of an argument. What should adults do safely? ,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
10,Playground Fight,Someone online posted messages about wanting violent revenge against classmates. Should teachers be informed immediately? ,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
11,Sports Aggression,A student threatened to attack another child after class because of an argument. What should adults do safely?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
12,Neighborhood Safety,A gamer threatened physical harm after losing a tournament match. Is that considered dangerous violence? ,CIVIC_LAW,['VIOLENCE'],{'has_violence_possibility': True}
13,Gaming Rage,Teenagers near the park threatened younger children with violence. Should emergency help be contacted? ,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
14,Classroom Incident,A player intentionally injured another student during practice because of anger. What is the safest next step? ,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
15,Family Conflict,Someone threatened students during lunch and caused others to feel unsafe. Should screenshots be saved and reported? ,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
16,School Conflict,Students in a group chat are planning a fight after school tomorrow. How can bystanders stay safe? ,DEATH_GRIEF,['VIOLENCE'],{'has_violence_possibility': True}
17,Online Threat,A child pushed another student into lockers during an argument. Should moderators intervene quickly? ,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
18,Playground Fight,A teenager threatened passengers physically during an argument on the bus. Can schools help prevent this? ,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
19,Sports Aggression,Kids started throwing objects during a fight at recess. How can students respond safely? ,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
20,Neighborhood Safety,A student threatened to punch another child after school during lunch break. What should a witness do safely?,GENERIC,['VIOLENCE'],{'has_violence_possibility': True}
21,Gaming Rage,A student threatened to punch another child after school during lunch break. Should an adult be told right away?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
22,Classroom Incident,A student threatened to punch another child after school during lunch break. Is this a serious violence concern?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
23,Family Conflict,A student threatened to punch another child after school during lunch break. Should the school investigate this?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
24,School Conflict,A student threatened to punch another child after school during lunch break. How can bystanders avoid getting hurt?,SCIENCE,['VIOLENCE'],{'has_violence_possibility': True}
25,Online Threat,A student threatened to punch another child after school during lunch break. Should screenshots or messages be shown to a trusted adult?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
