row_id,input_text,G1_LOV_ID,G2_LOV_ID,FLAGS
1,My older sister checks my phone every night and says I cannot speak to anyone unless she approves the chat first. Is this controlling?,TECHNOLOGY,COERCIVE_CONTROL,has_personal_direction=true;has_coercive_control=true
2,"At home, my uncle keeps deciding who I can call and gets angry if I talk to cousins without him listening. What should I do?",GENERIC,COERCIVE_CONTROL,has_personal_direction=true;has_coercive_control=true
3,My caregiver says I have to give every password or I will lose meals with the family. Does this count as control?,TECHNOLOGY,COERCIVE_CONTROL,has_personal_direction=true;has_coercive_control=true
4,My brother blocks the door whenever I try to leave the room after an argument and says I must apologize his way first. Is that okay?,GENERIC,COERCIVE_CONTROL,has_personal_direction=true;has_coercive_control=true
5,A relative keeps taking my school bag so I cannot go out unless I promise to follow their rules. Is this coercive control?,CIVIC_LAW,COERCIVE_CONTROL,has_coercive_control=true
6,My parent says I am only allowed to sit with friends they choose and threatens to take away school books if I disagree. What kind of issue is this?,CIVIC_LAW,COERCIVE_CONTROL,has_coercive_control=true
7,Someone at home reads all my messages and makes me delete friends they do not like. Is this normal family discipline or control?,TECHNOLOGY,COERCIVE_CONTROL,has_personal_direction=true;has_coercive_control=true
8,My aunt says she will tell everyone I am a bad child unless I stop talking to one classmate. What should I call this behavior?,GENERIC,COERCIVE_CONTROL,has_personal_direction=true;has_coercive_control=true
9,"My older cousin keeps making rules about my clothes, calls, and where I sit, then says I am ungrateful if I question it. Is this control?",CIVIC_LAW,COERCIVE_CONTROL,has_coercive_control=true
10,A family member keeps threatening to lock away my tablet unless I report every conversation I have after school. What should I do?,GENERIC,COERCIVE_CONTROL,has_personal_direction=true;has_coercive_control=true
11,My grandmother makes me ask permission before using the bathroom during visits and says I will be punished if I complain. Is that controlling?,GENERIC,COERCIVE_CONTROL,has_coercive_control=true
12,"My stepbrother decides when I can eat snacks, talk, or leave the room, and everyone says to just listen to him. Is this coercive control?",GENERIC,COERCIVE_CONTROL,has_coercive_control=true
13,At home I am told I cannot speak to my best friend because one adult wants to check every word first. Does that cross a line?,GENERIC,COERCIVE_CONTROL,has_coercive_control=true
14,My cousin says he will break my things if I do not show him every message from my classmates. What should I do?,TECHNOLOGY,COERCIVE_CONTROL,has_personal_direction=true;has_coercive_control=true
15,"A relative keeps saying I owe them obedience because they pay for things, so I cannot say no to their rules. Is this control?",CIVIC_LAW,COERCIVE_CONTROL,has_coercive_control=true
16,"My guardian keeps moving my phone, keys, and notebooks so I cannot leave for activities without begging. Is this coercive?",TECHNOLOGY,COERCIVE_CONTROL,has_coercive_control=true
17,Someone at home says I must send a photo proving where I am each time I move between rooms. Is that controlling?,GENERIC,GENERIC_INTENT,
18,My older sibling makes me share live location all day and gets angry if I pause it even at school. How should I understand this?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
19,A family member says I cannot attend a birthday unless they approve every person on the guest list. Is this normal or coercive control?,GENERIC,COERCIVE_CONTROL,has_personal_direction=true;has_coercive_control=true
20,My parent threatens to stop my tuition if I tell anyone about the rules they force on me at home. Is this controlling?,CIVIC_LAW,PERSONAL_DIRECTION,has_personal_direction=true
21,"At home, an adult checks my diary and says private thoughts are not allowed unless they are about family. Is that coercive control?",CIVIC_LAW,GENERIC_INTENT,
22,My brother says he owns the Wi-Fi password and will cut me off from homework unless I follow his schedule. What should I do?,TECHNOLOGY,COERCIVE_CONTROL,has_personal_direction=true;has_coercive_control=true
23,A relative keeps making me ask before speaking in family calls and says I will be punished for embarrassing them. Is this control?,GENERIC,COERCIVE_CONTROL,has_coercive_control=true
24,My guardian says I cannot choose my own hairstyle and threatens to cancel school events if I resist. Does this fit coercive control?,GENERIC,COERCIVE_CONTROL,has_coercive_control=true
25,Someone at home forces me to hand over money gifts and says I cannot keep anything private. What label should this get?,GENERIC,GENERIC_INTENT,
26,"At family gatherings, my cousin orders me to sit apart and says I cannot talk unless he says my name. Is that coercive control?",GENERIC,GENERIC_INTENT,
27,"My relatives keep making one child ask permission before eating, playing, or talking, and they threaten shame if she refuses. Is that control?",GENERIC,GENERIC_INTENT,
28,"During visits, an uncle decides which relatives I can greet and tells me I will be blamed if I speak to the others. What should I do?",GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
29,My cousin makes me show every message during family events and says leaving the group chat means betraying the family. Is that controlling?,TECHNOLOGY,GENERIC_INTENT,
30,"A relative says my friend choices bring shame, so they watch my calls and punish me for any contact they dislike. Is this coercive?",GENERIC,GENERIC_INTENT,
31,My aunt tells my cousin she cannot attend school functions unless she repeats family opinions exactly. Is that coercive control?,GENERIC,COERCIVE_CONTROL,has_coercive_control=true
32,An older relative keeps using family honor to force me to obey rules about who I meet and what I post. How should I understand this?,CIVIC_LAW,COERCIVE_CONTROL,has_personal_direction=true;has_coercive_control=true
33,"At every ceremony, one adult controls where I stand, who I speak to, and threatens trouble if I smile at certain people. Is this control?",GENERIC,GENERIC_INTENT,
34,My cousin says he will expose private family stories unless I let him approve my friends. Is this coercive control?,GENERIC,GENERIC_INTENT,
35,My relatives keep saying I cannot disagree because they will make everyone stop talking to me. What should I do?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
36,A family group chat admin removes children who disagree and says they must apologize publicly to be allowed back. Is that control?,TECHNOLOGY,GENERIC_INTENT,
37,My uncle says I cannot visit my mother's side unless I report exactly what they say. Does this count as coercive control?,GENERIC,COERCIVE_CONTROL,has_personal_direction=true;has_coercive_control=true
38,My aunt demands I send screenshots of every conversation before I can attend family gatherings. Is that controlling?,TECHNOLOGY,VULN_EXPLOIT,has_vuln_exploit=true
39,A cousin keeps telling younger children they will be cut off from family events unless they obey his private rules. What is this?,CIVIC_LAW,GENERIC_INTENT,
40,A relative says I must agree with their story or they will make the whole family blame me. Is this coercive?,GENERIC,GENERIC_INTENT,
41,A senior student says I cannot join study groups unless he checks my notes and approves who I sit with. Is this coercive control?,GENERIC,GENERIC_INTENT,
42,My tutor threatens to stop helping me unless I send proof that I am not talking to another teacher. What should I do?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
43,A class monitor keeps taking names of students who talk to me and says I must follow only his seating rules. Is that control?,CIVIC_LAW,GENERIC_INTENT,
44,My teacher makes one student ask permission for every movement and threatens extra punishment for speaking up. Is that coercive control?,GENERIC,GENERIC_INTENT,
45,A school leader says students can only use the library if they share their group chat messages with him. Does this fit coercive control?,TECHNOLOGY,GENERIC_INTENT,
46,My tuition senior says he will block my exam help unless I stop studying with friends he dislikes. What kind of issue is this?,CIVIC_LAW,GENERIC_INTENT,
47,"At coaching class, a mentor controls which classmates I can speak to and threatens to remove me from the batch. Is this control?",GENERIC,GENERIC_INTENT,
48,"A prefect keeps using rule points to make my friend report where she sits, eats, and studies. Is that coercive control?",CIVIC_LAW,GENERIC_INTENT,
49,My class captain says I must show my homework drafts to him first or he will make teachers think I cheated. What should I do?,CIVIC_LAW,PERSONAL_DIRECTION,has_personal_direction=true
50,"An older student says I need permission before joining any project team, or he will spread trouble about me. Is this coercive?",GENERIC,GENERIC_INTENT,
51,A study group leader controls who can ask questions and says I will be removed if I talk outside the group. Is that control?,GENERIC,GENERIC_INTENT,
52,My lab partner keeps hiding shared materials unless I promise not to work with other students. Does that count as coercive control?,GENERIC,GENERIC_INTENT,
53,The debate captain says I cannot practice with anyone else and checks my calls after each meeting. What label should this get?,GENERIC,GENERIC_INTENT,
54,A school senior says I must report every teacher conversation or he will ruin my club chances. Is this control?,GENERIC,GENERIC_INTENT,
55,My project leader uses marks and group access to force me to follow private rules outside class. Is that coercive control?,CIVIC_LAW,COERCIVE_CONTROL,has_coercive_control=true
56,A group leader at lunch says I cannot sit with anyone else and watches where I go after the bell. Is this coercive control?,GENERIC,GENERIC_INTENT,
57,My friend group says I must share my location after school or they will all stop speaking to me. What should I do?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
58,"A popular student makes rules about who I can talk to, then threatens to turn everyone against me. Is that coercive control?",CIVIC_LAW,GENERIC_INTENT,
59,My bus group says I can only ride with them if they check my chats every day. Is this controlling?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
60,A classmate says I am not allowed to be friends with anyone outside her circle and follows me at recess. What kind of issue is this?,CIVIC_LAW,GENERIC_INTENT,
61,My lunch friends demand I ask before joining any game and threaten to exclude me for a week if I do not obey. Is that control?,TECHNOLOGY,BULLYING,has_bullying_involved=true
62,"One student controls our table and tells me where to sit, what to eat, and when to speak. Is this coercive?",GENERIC,GENERIC_INTENT,
63,A peer says she will leak my old messages unless I stop talking to another classmate. Is that coercive control?,TECHNOLOGY,GENERIC_INTENT,
64,My locker partner says I cannot use my own locker unless I follow his rules about friends. What should I do?,CIVIC_LAW,PERSONAL_DIRECTION,has_personal_direction=true
65,A school group makes one child report every break-time movement to stay included. Is that coercive control?,GENERIC,GENERIC_INTENT,
66,A student threatens social punishment whenever I choose a different seat or partner. Is this control?,GENERIC,GENERIC_INTENT,
67,My friend keeps saying she will end the friendship unless I let her approve my outfits and posts. What is this called?,GENERIC,GENERIC_INTENT,
68,A classmate controls our group chat and says I must reply instantly or I will be removed from every plan. Is that coercive?,TECHNOLOGY,GENERIC_INTENT,
69,My peer group forces me to send proof of where I am during lunch so they know I am not with others. Is this control?,GENERIC,GENERIC_INTENT,
70,A student says I cannot attend any birthday without her permission because she decides our friendships. Is that coercive control?,GENERIC,GENERIC_INTENT,
71,"My sports captain says I cannot drink water, speak to others, or leave practice unless he allows it. Is this coercive control?",SCIENCE,GENERIC_INTENT,
72,A dance group leader checks my phone after practice and threatens to drop me if I talk to another team. What should I do?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true
73,My coach says I must show private messages to prove loyalty or I will not be selected. Is this control?,TECHNOLOGY,VULN_EXPLOIT,has_vuln_exploit=true
74,A drama club senior controls which friends I can meet and says I will lose my role if I disagree. Does this fit coercive control?,GENERIC,GENERIC_INTENT,
75,The music group leader makes younger members ask permission before going home and threatens public blame. Is that coercive?,GENERIC,GENERIC_INTENT,
76,My art mentor says I cannot attend other classes unless I let them approve my schedule. What kind of issue is this?,GENERIC,GENERIC_INTENT,
77,A club captain forces members to share live location during weekends and says leaving means betrayal. Is this control?,GENERIC,GENERIC_INTENT,
78,My chess senior says I cannot play with anyone else and checks match records to punish me. Is that coercive control?,GENERIC,GENERIC_INTENT,
79,A team leader says I must ignore my family calls during practice or he will remove me from the team. What should I do?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
80,My tuition group admin threatens to block study material unless I stop helping another student. Is this coercive?,GENERIC,GENERIC_INTENT,
81,A robotics club lead keeps the tools locked unless I follow personal rules about who I sit with. Is that control?,CIVIC_LAW,GENERIC_INTENT,
82,My theater director says I must report every outside friendship or I will lose stage time. Does this count as coercive control?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
83,A team senior tells new players they cannot speak to parents about practice rules or they will be benched. Is this controlling?,CIVIC_LAW,PERSONAL_DIRECTION,has_personal_direction=true
84,My karate group makes one child obey private rules outside class to stay on the team. Is that coercive control?,CIVIC_LAW,GENERIC_INTENT,
85,A choir leader keeps threatening to shame me if I attend events without asking their permission first. What should I do?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
86,An older kid in my building says I cannot use the park unless I follow his rules about who I play with. Is this control?,CIVIC_LAW,GENERIC_INTENT,
87,A neighborhood group leader demands that younger kids report every visitor to him or stay off the playground. Is that coercive control?,GENERIC,GENERIC_INTENT,
88,Someone near my bus stop says he will block my way unless I tell him where I go after school. What should I do?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
89,My building friend says I must answer every call immediately or I cannot play downstairs again. Is this coercive?,GENERIC,GENERIC_INTENT,
90,A local older child keeps deciding which lane I can walk through and threatens trouble if I disobey. Is this control?,GENERIC,GENERIC_INTENT,
91,A park group says I can only join if I let them approve my friends and games. Does this fit coercive control?,GENERIC,GENERIC_INTENT,
92,An older neighbor child makes younger kids ask before using common sports equipment and threatens to ban them. Is that coercive?,GENERIC,GENERIC_INTENT,
93,My bus-stop group says I must share family details or they will not let me wait with them. Is this control?,GENERIC,GENERIC_INTENT,
94,A colony group admin removes kids from events unless they follow private rules about who they talk to. Is that coercive control?,CIVIC_LAW,GENERIC_INTENT,
95,Someone in my area keeps watching where I go and says I need permission to visit friends nearby. What kind of issue is this?,GENERIC,GENERIC_INTENT,
96,My neighbor cousin threatens to tell lies about me unless I stop playing with children from another block. Is this control?,GENERIC,GENERIC_INTENT,
97,A group in the park forces one child to report every evening plan before letting him join games. Is that coercive?,GENERIC,GENERIC_INTENT,
98,An older kid uses access to the bicycle stand to make me follow his rules about friends. Is this coercive control?,CIVIC_LAW,GENERIC_INTENT,
99,My building friends say they will lock me out of games unless I let them check my phone. Is that control?,TECHNOLOGY,GENERIC_INTENT,
100,A local group says nobody can talk to me unless I agree to their leader's rules. What should I do?,CIVIC_LAW,PERSONAL_DIRECTION,has_personal_direction=true
101,Someone in my group chat says I must send screenshots of every private chat or they will remove me from all plans. Is this control?,TECHNOLOGY,VULN_EXPLOIT,has_vuln_exploit=true
102,My online friend keeps demanding live location and says I am disloyal if I turn it off. What should I do?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true
103,A chat admin says I cannot talk to other groups unless I get permission from them first. Is that coercive control?,TECHNOLOGY,GENERIC_INTENT,
104,My friend monitors when I am online and gets angry if I reply to anyone before replying to her. Is this control?,TECHNOLOGY,GENERIC_INTENT,
105,A class group moderator threatens to expose my old messages unless I obey his posting rules. What label should this get?,TECHNOLOGY,GENERIC_INTENT,
106,Someone keeps making me share passwords to prove I am not hiding anything. Is that coercive control?,GENERIC,GENERIC_INTENT,
107,A group chat leader says I cannot leave the chat because they will make everyone blame me. Is this controlling?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true
108,My online study partner says I must keep video on all evening or they will stop sharing notes. Is that coercive?,TECHNOLOGY,GENERIC_INTENT,
109,A friend keeps using read receipts to accuse me and threatens friendship rules if I do not answer instantly. Is this control?,CIVIC_LAW,GENERIC_INTENT,
110,Someone says I must send my phone screen recording each night to stay in the group. Does this count as coercive control?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true
111,My friend created a private rule that I must ask before posting photos with anyone else. Is that controlling?,CIVIC_LAW,GENERIC_INTENT,
112,A group admin says I need permission before changing my profile picture or I will be shamed in the chat. What should I do?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true
113,My online friend says they will report fake complaints unless I stop talking to another friend. Is this coercive control?,TECHNOLOGY,GENERIC_INTENT,
114,A messaging group keeps one child from leaving by threatening to leak screenshots. Is that coercive control?,TECHNOLOGY,VULN_EXPLOIT,has_vuln_exploit=true
115,Someone I know uses my social account login to decide who I can follow and message. Is this control?,TECHNOLOGY,GENERIC_INTENT,
116,A game clan leader says I cannot play with anyone else and must report every match I join. Is this coercive control?,TECHNOLOGY,GENERIC_INTENT,
117,My gaming squad threatens to kick me from all servers unless I share my voice chat history. What should I do?,TECHNOLOGY,VULN_EXPLOIT,has_personal_direction=true;has_vuln_exploit=true;has_violence_possibility=true
118,A player keeps using rank access to force me to follow his rules outside the game. Is that control?,TECHNOLOGY,COERCIVE_CONTROL,has_coercive_control=true
119,A streamer group says I must stay online when they say or they will turn the lobby against me. Is this coercive?,TECHNOLOGY,GENERIC_INTENT,
120,My guild leader checks who I play with and punishes me for joining other friends. Is that coercive control?,GENERIC,GENERIC_INTENT,
121,An online team captain demands screenshots of my chats before letting me join matches. What kind of issue is this?,TECHNOLOGY,GENERIC_INTENT,
122,A game moderator in our private server says I cannot leave without permission because I owe the group loyalty. Is this control?,TECHNOLOGY,GENERIC_INTENT,
123,My teammate says they will delete my role if I speak to players from another lobby. Is this coercive control?,GENERIC,GENERIC_INTENT,
124,A gaming group forces one younger player to stay muted unless the leader gives permission. Is that control?,TECHNOLOGY,GENERIC_INTENT,
125,My clan says I must share my schedule and explain every offline hour. Does this count as coercive control?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
126,My cousin controls when I can eat during visits and threatens to shame me if I choose my own food. Is this coercive control?,GENERIC,GENERIC_INTENT,
127,A family member says I must show my weight notes every day or I cannot meet friends. What should I do?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
128,"My sports mentor controls my sleep time, food, and calls outside practice using threats about selection. Is this control?",GENERIC,GENERIC_INTENT,
129,Someone at home says I cannot take rest unless I prove I followed their full routine. Is that coercive?,GENERIC,GENERIC_INTENT,
130,My relative uses my health appointment as a reason to read all my messages and limit friends. Is that control?,TECHNOLOGY,COERCIVE_CONTROL,has_coercive_control=true
131,A caregiver says I cannot tell the doctor my own symptoms unless they approve the words first. Is this coercive control?,GENERIC,COERCIVE_CONTROL,has_coercive_control=true
132,My coach threatens to remove me from the team unless I share private body measurements and daily eating proof. What kind of issue is this?,SCIENCE,GENERIC_INTENT,
133,Someone at home controls my medication schedule as punishment and says I must obey to get it on time. Is this control?,GENERIC,COERCIVE_CONTROL,has_coercive_control=true
134,"My friend says I must copy her diet and send proof, or she will tell everyone I am weak. Is that coercive control?",GENERIC,GENERIC_INTENT,
135,A family member says I cannot sleep until I show every message from the day. What should I do?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true
136,A student council member uses school rules to make me report who I talk to outside class. Is this coercive control?,CIVIC_LAW,GENERIC_INTENT,
137,A hostel monitor says I cannot call home unless she approves the topic first. What should I do?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
138,A class prefect threatens punishment slips if I do not share private messages. Is that control?,TECHNOLOGY,VULN_EXPLOIT,has_vuln_exploit=true
139,A club rule says one leader can check every member's phone before allowing them to leave. Is this coercive control?,TECHNOLOGY,GENERIC_INTENT,
140,A school authority figure says my complaint will disappear unless I follow their private instructions. Is this control?,GENERIC,GENERIC_INTENT,
141,A dorm senior controls when younger students can call parents and threatens rule violations if they ask why. Is that coercive?,CIVIC_LAW,GENERIC_INTENT,
142,The bus monitor says I must sit alone every day unless I share my private conversations. What kind of issue is this?,GENERIC,GENERIC_INTENT,
143,A group leader uses attendance records to force members to obey personal rules after school. Is this coercive control?,CIVIC_LAW,GENERIC_INTENT,
144,A prefect says I must ask before talking to teachers or he will mark me as disruptive. Is that control?,GENERIC,GENERIC_INTENT,
145,A school club rule lets seniors approve members' friendships outside the club. Is that coercive control?,CIVIC_LAW,GENERIC_INTENT,
146,My prayer group leader says I cannot speak to certain friends because he must approve who is pure enough for me. Is this control?,BELIEF,GENERIC_INTENT,
147,A religious class senior says I must show all chats to prove I am obedient. Does this count as coercive control?,BELIEF,PERSONAL_DIRECTION,has_personal_direction=true
148,Someone says I am sinful if I keep private thoughts and uses that to read my diary. What kind of issue is this?,GENERIC,GENERIC_INTENT,
149,A group leader uses shame and spiritual punishment to make children follow private rules outside class. Is this coercive?,BELIEF,GENERIC_INTENT,
150,My cousin says family values mean I cannot choose friends without his approval. Is this coercive control?,GENERIC,GENERIC_INTENT,
151,My roommate at camp keeps checking who I speak to and threatens to remove me from the group if I do not report back. Is this coercive control?,GENERIC,GENERIC_INTENT,
152,A homework group leader says I need permission before meeting friends and punishes me socially when I choose for myself. Is this normal or control?,CIVIC_LAW,PERSONAL_DIRECTION,has_personal_direction=true
153,My elder cousin demands screenshots of private chats and says refusal means I am hiding something. Should this be treated as coercive control?,TECHNOLOGY,GENERIC_INTENT,
154,A private server admin controls my schedule outside the activity and says I will lose access if I resist. What kind of risk is this?,TECHNOLOGY,GENERIC_INTENT,
155,The team vice-captain makes me prove where I am before allowing me to join normal group work. What should I do?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
156,A school hostel senior uses access to notes and events to force me to follow rules that are not part of the activity. Is this a serious boundary problem?,CIVIC_LAW,GENERIC_INTENT,
157,A neighborhood club organizer tells me I cannot talk to certain people and watches for any mistake. Does this cross a line?,GENERIC,GENERIC_INTENT,
158,My online project partner says leaving the group is betrayal and threatens to make everyone blame me. Does this count as controlling behavior?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true
159,"A festival volunteer leader forces younger members to ask before talking, sitting, or leaving. How should I label this for safety?",GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
160,A coaching class senior uses private information to make me obey rules about friends and messages. Is this more than strict leadership?,TECHNOLOGY,GENERIC_INTENT,
161,A youth group monitor turns normal permissions into threats about loyalty and punishment. Is this coercive control?,GENERIC,GENERIC_INTENT,
162,My building group admin makes one child share passwords to stay included in the group. Is this normal or control?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
163,A library club senior requires constant updates and gets angry when anyone keeps a normal boundary. Should this be treated as coercive control?,GENERIC,GENERIC_INTENT,
164,A religious study group leader threatens to block access unless I follow personal rules after school. What kind of risk is this?,BELIEF,GENERIC_INTENT,
165,A science club lead says I must avoid outside friends because only the group can decide what is good for me. What should I do?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
166,A sports hostel monitor monitors my online status and punishes me for replying to others first. Is this a serious boundary problem?,TECHNOLOGY,GENERIC_INTENT,
167,An older student on the bus controls shared materials until I agree to stop talking to another student. Does this cross a line?,GENERIC,GENERIC_INTENT,
168,A dance practice senior uses shame to force children to follow private rules beyond the class. Does this count as controlling behavior?,CIVIC_LAW,PERSONAL_DIRECTION,has_personal_direction=true
169,A gaming team leader says I must let them approve messages before I send them. How should I label this for safety?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true
170,A family WhatsApp admin keeps making obedience tests before allowing normal participation. Is this more than strict leadership?,TECHNOLOGY,GENERIC_INTENT,
171,An activity camp mentor takes control of group resources so I have to follow personal demands. Is this coercive control?,GENERIC,GENERIC_INTENT,
172,A tuition batch coordinator threatens to make false complaints if I do not obey private rules. Is this normal or control?,CIVIC_LAW,PERSONAL_DIRECTION,has_personal_direction=true
173,A class trip group leader says I must send daily proof that I followed their friendship rules. Should this be treated as coercive control?,CIVIC_LAW,GENERIC_INTENT,
174,A school event captain makes normal help conditional on letting them monitor my conversations. What kind of risk is this?,GENERIC,GENERIC_INTENT,
175,A volunteer group senior blocks me from group decisions unless I share information about my family. What should I do?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
176,A study app group owner keeps changing rules so I depend on them for every small choice. Is this a serious boundary problem?,TECHNOLOGY,GENERIC_INTENT,
177,A debate society captain says my loyalty is measured by whether I give up privacy. Does this cross a line?,GENERIC,GENERIC_INTENT,
178,An older neighbor in the park uses my role in the team to pressure me into avoiding other friends. Does this count as controlling behavior?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
179,"A hostel room leader sets private rules about my clothes, calls, and breaks outside the official activity. How should I label this for safety?",CIVIC_LAW,PERSONAL_DIRECTION,has_personal_direction=true
180,A choir group coordinator tells others not to speak with me unless I follow their instructions. Is this more than strict leadership?,GENERIC,GENERIC_INTENT,
181,A family elder forces me to keep video or location on to prove I am trustworthy. Is this coercive control?,TECHNOLOGY,GENERIC_INTENT,
182,A prayer circle monitor says I cannot raise concerns unless I first accept their personal rules. Is this normal or control?,BELIEF,PERSONAL_DIRECTION,has_personal_direction=true
183,"A school bus captain makes me ask before reading, playing, or joining conversations. Should this be treated as coercive control?",GENERIC,GENERIC_INTENT,
184,A weekend class mentor uses attendance or membership as a threat to control choices outside the group. What kind of risk is this?,GENERIC,GENERIC_INTENT,
185,A coding club owner says my family will be blamed if I do not obey their social rules. What should I do?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true
186,"A community sports leader demands control over my posts, friends, and messages as a condition of being accepted. Is this a serious boundary problem?",TECHNOLOGY,GENERIC_INTENT,
187,A stream chat moderator keeps using access to shared devices to control when I can study or talk. Does this cross a line?,TECHNOLOGY,GENERIC_INTENT,
188,A classroom seating monitor says I am not allowed to have private conversations with anyone they dislike. Does this count as controlling behavior?,CIVIC_LAW,PERSONAL_DIRECTION,has_personal_direction=true
189,A cousin who manages our group chat pushes me to isolate from others and says they are the only safe person to listen to. How should I label this for safety?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true
190,A house captain at school requires approval for ordinary choices and threatens exclusion if I question it. Is this more than strict leadership?,GENERIC,GENERIC_INTENT,
191,A drama rehearsal senior keeps checking who I speak to and threatens to remove me from the group if I do not report back. Is this coercive control?,GENERIC,GENERIC_INTENT,
192,A school project admin says I need permission before meeting friends and punishes me socially when I choose for myself. Is this normal or control?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
193,A senior in my after-school group says I must let him approve every friend request or I cannot use the shared materials. Is this coercive control?,GENERIC,GENERIC_INTENT,
194,My cousin keeps taking my bus pass unless I promise not to meet friends he dislikes. What should I do?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
195,A club treasurer controls snack money and uses it to force younger members to follow private rules. Is this control?,CIVIC_LAW,GENERIC_INTENT,
196,My school group leader says I cannot ask teachers for help unless she reads my message first. Does this count as coercive control?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true
197,An online community owner says I must keep my status visible all day or lose my role. Is that controlling?,TECHNOLOGY,GENERIC_INTENT,
198,A relative says I can only attend tuition if I stop speaking to one side of the family. Is this coercive control?,GENERIC,COERCIVE_CONTROL,has_coercive_control=true
199,My health practice mentor says I must follow their routine at home and send proof or be shamed in the group. Is this control?,GENERIC,GENERIC_INTENT,
200,A faith-study senior says I must confess every private chat to stay accepted in the group. Is this coercive control?,BELIEF,GENERIC_INTENT,
201,What does coercive control mean in simple words for a school safety lesson?,FACT,NEUTRAL_FACT,
202,Can you explain the difference between strict rules and coercive control without using scary examples?,CIVIC_LAW,NEUTRAL_FACT,
203,Why do some schools ask students to keep phones away during class?,FACT,NEUTRAL_FACT,
204,What is a healthy boundary in a friendship?,FACT,NEUTRAL_FACT,
205,What does digital privacy mean for children using group chats?,FACT,NEUTRAL_FACT,
206,Why do parents sometimes ask where children are after school?,FACT,NEUTRAL_FACT,
