metric,value
file_name,classified_SELF_HARM_corrected.csv
total_non_empty_input_rows,236
rows_changed_any_field,174
rows_unchanged_all_fields,62
rows_with_removed_invalid_has_personal_direction_flag,52
corrected_G2_count_SELF_HARM,138
corrected_G2_count_EMOTIONAL,58
corrected_G2_count_PERSONAL_DIRECTION,29
corrected_G2_count_AMBIGUOUS_RISK,6
corrected_G2_count_SAFETY_HAZARD,2
corrected_G2_count_COERCIVE_CONTROL,2
corrected_G2_count_VIOLENCE,1
corrected_G1_count_GENERIC,169
corrected_G1_count_TECHNOLOGY,34
corrected_G1_count_SCIENCE,22
corrected_G1_count_CIVIC_LAW,4
corrected_G1_count_BELIEF,4
corrected_G1_count_DEATH_GRIEF,3
