id,Topic,Question,G1,G2,G2_all,risk_signal,flags
GRM-0001,ONLINE_STRANGERS_GROOMING_RISK,Why do I feel uncomfortable when someone I met during an online quiz on Facebook Messenger told me not to tell my teacher about our messages?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0002,ONLINE_STRANGERS_GROOMING_RISK,What should I do if a senior student at school on Minecraft server chat asked me to keep our chats secret from my parents?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0003,ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a stranger who messaged me after seeing my profile on Telegram said adults would not understand our friendship?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0004,ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that someone I met during an online quiz on Minecraft server chat said adults would not understand our friendship?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0005,ONLINE_STRANGERS_GROOMING_RISK,Can a nice person still be unsafe if they said adults would not understand our friendship on Facebook Messenger?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0006,ONLINE_STRANGERS_GROOMING_RISK,How do I say no when someone who says they are a talent scout on Roblox chat said adults would not understand our friendship?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0007,ONLINE_STRANGERS_GROOMING_RISK,Is it safe if someone I met in an online game on a text message said adults would not understand our friendship?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0008,ONLINE_STRANGERS_GROOMING_RISK,What should I save as proof if a person who follows me on social media on Facebook Messenger told me not to tell my teacher about our messages?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0009,ONLINE_STRANGERS_GROOMING_RISK,Is it safe if someone who says they know my school on Facebook Messenger said our friendship should be only between us?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0010,ONLINE_STRANGERS_GROOMING_RISK,Why do I feel uncomfortable when a stranger who says they are also a kid on Instagram said our friendship should be only between us?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0011,ONLINE_STRANGERS_GROOMING_RISK,What are safe steps if someone who says they understand me better than my family on Instagram asked me to hide their name in my phone?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0012,ONLINE_STRANGERS_GROOMING_RISK,Is it okay to keep chatting when a person from a local community group on my email asked me to hide their name in my phone?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0013,ONLINE_STRANGERS_GROOMING_RISK,How can I stay safe when a stranger who says they are also a kid on a private message asked me to keep our chats secret from my parents?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0014,ONLINE_STRANGERS_GROOMING_RISK,Is it safe if a senior student at school on a new app they asked me to install said adults would not understand our friendship?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0015,ONLINE_STRANGERS_GROOMING_RISK,Is this grooming if someone from a homework help group on WhatsApp asked me to hide their name in my phone?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0016,ONLINE_STRANGERS_GROOMING_RISK,Is it okay to keep chatting when a person who joined my class chat on a school group chat said adults would not understand our friendship?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0017,ONLINE_STRANGERS_GROOMING_RISK,Should I tell an adult if someone who says they know my school on WhatsApp said our friendship should be only between us?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0018,ONLINE_STRANGERS_GROOMING_RISK,How do I say no when a stranger who says they are also a kid on a video calling app said adults would not understand our friendship?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0019,ONLINE_STRANGERS_GROOMING_RISK,Should I block someone from a fan group on my email if they said adults would not understand our friendship?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0020,ONLINE_STRANGERS_GROOMING_RISK,How can I stay safe when a person from my sports practice on Facebook Messenger said adults would not understand our friendship?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0021,ONLINE_STRANGERS_GROOMING_RISK,Who should I talk to if someone I met in an online game on a text message said adults would not understand our friendship?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0022,ONLINE_STRANGERS_GROOMING_RISK,How do I say no when someone I met through a drawing community on Instagram said adults would not understand our friendship?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0023,ONLINE_STRANGERS_GROOMING_RISK,Is this grooming if someone from a fan group on a gaming app said our friendship should be only between us?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0024,ONLINE_STRANGERS_GROOMING_RISK,Can a nice person still be unsafe if they said our friendship should be only between us on YouTube comments?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0025,ONLINE_STRANGERS_GROOMING_RISK,Why do I feel uncomfortable when a person from my tuition class on Instagram asked me to keep our chats secret from my parents?,TECHNOLOGY,GROOMING,"[""GROOMING""]",secrecy,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0026,ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that someone I met through a drawing community on a school group chat asked me to create a secret account to talk?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0027,ONLINE_STRANGERS_GROOMING_RISK,How do I say no when someone I met in an online game on a new app they asked me to install wants me to leave the school chat and message somewhere else?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0028,ONLINE_STRANGERS_GROOMING_RISK,Can a nice person still be unsafe if they sent me a link to a private chat room on a fan club chat?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0029,ONLINE_STRANGERS_GROOMING_RISK,How do I explain to my parents that a neighbour I barely know on a new app they asked me to install wants me to leave the school chat and message somewhere else?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
GRM-0030,ONLINE_STRANGERS_GROOMING_RISK,Why do I feel uncomfortable when a person who says they can help me become popular on a school group chat sent me a link to a private chat room?,TECHNOLOGY,GROOMING,"[""GROOMING""]",off_platform,"{""grooming_risk"": true, ""child_perspective"": true, ""contains_explicit_sexual_detail"": false, ""needs_trusted_adult_guidance"": true, ""g2_confidence_threshold"": "">80%""}"
