row_id,input_text,original_G1_LOV_ID,original_G2_LOV_ID,original_FLAGS,corrected_G1_LOV_ID,corrected_G2_LOV_ID,corrected_FLAGS,status,reason
3142,"My cousins keep sharing edited photos of me to make fun of my face in the family chat, and I want to know what to do. How do I make it stop without making things worse? I am 14 and it is affecting my day.",TECHNOLOGY,BULLYING,has_personal_direction=true;has_emotional_distress=true;has_bullying_involved=true,TECHNOLOGY,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
3143,"My sister keeps saying I am too sensitive when I ask her to stop teasing at home, and I am not sure if it is serious. Is this just teasing or something more? I am 10 and I want a safe answer.",GENERIC,PERSONAL_DIRECTION,has_personal_direction=true;has_emotional_distress=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
3144,"My cousins keep sharing edited photos of me to make fun of my face in the family chat, and I want to know what to do. Is this bullying? I am 14 and it is affecting my day.",TECHNOLOGY,BULLYING,has_personal_direction=true;has_emotional_distress=true;has_bullying_involved=true,TECHNOLOGY,BULLYING,has_bullying_involved=true,CHANGED,"peer meanness, exclusion, humiliation, rumours, teasing, or social targeting is described"
3145,"My brother keeps threatening to tell everyone my marks and laughing at me before exams, and I do not know what to do. Does this count as repeated targeting? I am 13 and I feel nervous saying anything.",GENERIC,BULLYING,has_personal_direction=true;has_emotional_distress=true;has_bullying_involved=true,CIVIC_LAW,VULN_EXPLOIT,has_emotional_distress=true;has_vuln_exploit=true,CHANGED,"secret, dependency, weakness, screenshot, or blackmail is used to manipulate"
3146,"I want to know whether schools have rules about bullying at school, and for understanding policies. What is the best next step? I am 12 and I do not want more trouble.",GENERIC,BULLYING,has_personal_direction=true;has_emotional_distress=true;has_bullying_involved=true,CIVIC_LAW,BULLYING,has_bullying_involved=true,CHANGED,"peer meanness, exclusion, humiliation, rumours, teasing, or social targeting is described"
3147,"My sibling keeps tearing my notes and saying I am too dumb to pass during tuition at home, and I feel upset. Is this normal family teasing or bullying? I am asking because it keeps bothering me.",GENERIC,BULLYING,has_emotional_distress=true;has_bullying_involved=true,GENERIC,EMOTIONAL,has_emotional_distress=true;has_bullying_involved=true,CHANGED,"sadness, fear, anxiety, shame, loneliness, rejection, or emotional pain is expressed"
3148,"Older relatives keep laughing at my stammer and telling me to speak for entertainment at a family function, and I want help. How do I make it stop without making things worse? I want to handle it without being mean back.",GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
3149,"Two students keep taking my work and calling it theirs while laughing at me during assignments, and I need advice. Who can I talk to about this? I am 12 and I do not want more trouble.",GENERIC,BULLYING,has_personal_direction=true;has_emotional_distress=true;has_bullying_involved=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
3150,"Two students keep taking my work and calling it theirs while laughing at me during assignments, and I need advice. What should I do? I feel confused about what counts.",GENERIC,BULLYING,has_personal_direction=true;has_bullying_involved=true,GENERIC,EMOTIONAL,has_emotional_distress=true,CHANGED,"sadness, fear, anxiety, shame, loneliness, rejection, or emotional pain is expressed"
3151,"An aunt asked why my marks were lower this term at a gathering, and I felt embarrassed. Is that bullying? I am 12 and I do not want more trouble.",GENERIC,PERSONAL_DIRECTION,has_personal_direction=true;has_emotional_distress=true,GENERIC,EMOTIONAL,has_emotional_distress=true;has_bullying_involved=true,CHANGED,"sadness, fear, anxiety, shame, loneliness, rejection, or emotional pain is expressed"
