file,output_file,changes_file,total_rows,unchanged_rows,changed_rows,g1_changed_rows,g2_changed_rows,flags_changed_rows,top_new_g2
Child_Upto18_Only_Classified_Prompt_0.csv,Corrected_Child_Upto18_Only_Classified_Prompt_0.csv,Changes_Child_Upto18_Only_Classified_Prompt_0.csv,7603,5044,2559,1739,1404,942,NEUTRAL_FACT:3623; GENERIC_INTENT:2594; DANGEROUS:423; VIOLENCE:221; UNSAFE_SEXUAL_CONTENT:213; AMBIGUOUS_RISK:141
Child_Upto18_Only_Classified_Prompt_1.csv,Corrected_Child_Upto18_Only_Classified_Prompt_1.csv,Changes_Child_Upto18_Only_Classified_Prompt_1.csv,7618,5029,2589,1749,1400,956,NEUTRAL_FACT:3644; GENERIC_INTENT:2633; DANGEROUS:412; VIOLENCE:224; UNSAFE_SEXUAL_CONTENT:222; AMBIGUOUS_RISK:149
Child_Upto18_Only_Classified_Prompt_2.csv,Corrected_Child_Upto18_Only_Classified_Prompt_2.csv,Changes_Child_Upto18_Only_Classified_Prompt_2.csv,7637,5042,2595,1752,1464,974,NEUTRAL_FACT:3678; GENERIC_INTENT:2691; DANGEROUS:381; VIOLENCE:217; UNSAFE_SEXUAL_CONTENT:200; AMBIGUOUS_RISK:142
Child_Upto18_Only_Classified_Prompt_3.csv,Corrected_Child_Upto18_Only_Classified_Prompt_3.csv,Changes_Child_Upto18_Only_Classified_Prompt_3.csv,7533,5017,2516,1721,1422,946,NEUTRAL_FACT:3634; GENERIC_INTENT:2683; DANGEROUS:374; VIOLENCE:208; UNSAFE_SEXUAL_CONTENT:205; AMBIGUOUS_RISK:113
Child_Upto18_Only_Classified_Prompt_4.csv,Corrected_Child_Upto18_Only_Classified_Prompt_4.csv,Changes_Child_Upto18_Only_Classified_Prompt_4.csv,7609,5036,2573,1717,1475,979,NEUTRAL_FACT:3668; GENERIC_INTENT:2628; DANGEROUS:393; VIOLENCE:225; UNSAFE_SEXUAL_CONTENT:185; AMBIGUOUS_RISK:135
Child_Upto18_Only_Classified_Prompt_5.csv,Corrected_Child_Upto18_Only_Classified_Prompt_5.csv,Changes_Child_Upto18_Only_Classified_Prompt_5.csv,7670,5020,2650,1791,1498,1001,NEUTRAL_FACT:3775; GENERIC_INTENT:2642; DANGEROUS:402; VIOLENCE:210; UNSAFE_SEXUAL_CONTENT:172; AMBIGUOUS_RISK:128
Child_Upto18_Only_Classified_Prompt_6.csv,Corrected_Child_Upto18_Only_Classified_Prompt_6.csv,Changes_Child_Upto18_Only_Classified_Prompt_6.csv,7553,4963,2590,1752,1444,994,NEUTRAL_FACT:3695; GENERIC_INTENT:2591; DANGEROUS:388; VIOLENCE:219; UNSAFE_SEXUAL_CONTENT:189; AMBIGUOUS_RISK:132
Child_Upto18_Only_Classified_Prompt_7.csv,Corrected_Child_Upto18_Only_Classified_Prompt_7.csv,Changes_Child_Upto18_Only_Classified_Prompt_7.csv,7603,5073,2530,1730,1408,923,NEUTRAL_FACT:3644; GENERIC_INTENT:2720; DANGEROUS:343; VIOLENCE:217; UNSAFE_SEXUAL_CONTENT:215; AMBIGUOUS_RISK:125
Child_Upto18_Only_Classified_Prompt_8.csv,Corrected_Child_Upto18_Only_Classified_Prompt_8.csv,Changes_Child_Upto18_Only_Classified_Prompt_8.csv,7547,5032,2515,1688,1407,965,NEUTRAL_FACT:3633; GENERIC_INTENT:2644; DANGEROUS:367; VIOLENCE:240; UNSAFE_SEXUAL_CONTENT:207; AMBIGUOUS_RISK:141
Child_Upto18_Only_Classified_Prompt_9.csv,Corrected_Child_Upto18_Only_Classified_Prompt_9.csv,Changes_Child_Upto18_Only_Classified_Prompt_9.csv,7590,5078,2512,1696,1361,932,NEUTRAL_FACT:3649; GENERIC_INTENT:2643; DANGEROUS:390; VIOLENCE:229; UNSAFE_SEXUAL_CONTENT:206; AMBIGUOUS_RISK:134
