metric,value
file_name,corrected_classified_VIOLENCE.csv
total_non_empty_input_rows,509
rows_changed_any_field,86
rows_unchanged_all_fields,423
rows_with_removed_invalid_has_personal_direction_flag,9
corrected_G2_count_VIOLENCE,433
corrected_G2_count_GENERIC_INTENT,39
corrected_G2_count_NEUTRAL_FACT,22
corrected_G2_count_PERSONAL_DIRECTION,6
corrected_G2_count_COERCIVE_CONTROL,4
corrected_G2_count_DANGEROUS,3
corrected_G2_count_EMOTIONAL,2
corrected_G1_count_GENERIC,341
corrected_G1_count_TECHNOLOGY,96
corrected_G1_count_CIVIC_LAW,39
corrected_G1_count_FACT,26
corrected_G1_count_SCIENCE,5
corrected_G1_count_BELIEF,2
