Question,Topic,G1,G2,flags
I feel panicky every night before school before bed. What is happening to me?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I feel panicky every night before school during math class. What is happening to me?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I feel panicky every night before school on the bus ride home. What is happening to me?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I feel panicky every night before school when I open my phone. What is happening to me?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I feel panicky every night before school after soccer practice. What is happening to me?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I miss my brother and I cannot stop thinking about it after lunch. Can you help me understand why I feel this way?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I miss my brother and I cannot stop thinking about it before bed. Can you help me understand why I feel this way?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I miss my brother and I cannot stop thinking about it during math class. Can you help me understand why I feel this way?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I miss my brother and I cannot stop thinking about it on the bus ride home. Can you help me understand why I feel this way?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I miss my brother and I cannot stop thinking about it when I open my phone. Can you help me understand why I feel this way?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I miss my brother and I cannot stop thinking about it after soccer practice. Can you help me understand why I feel this way?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I miss my brother and I cannot stop thinking about it during math class. What can I say about this feeling?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I miss my brother and I cannot stop thinking about it on the bus ride home. What can I say about this feeling?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I miss my brother and I cannot stop thinking about it when I open my phone. What can I say about this feeling?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I miss my brother and I cannot stop thinking about it after soccer practice. What can I say about this feeling?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I miss my brother and I cannot stop thinking about it after lunch. How do I calm down right now?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I miss my brother and I cannot stop thinking about it before bed. How do I calm down right now?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I miss my brother and I cannot stop thinking about it during math class. How do I calm down right now?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
I miss my brother and I cannot stop thinking about it on the bus ride home. How do I calm down right now?,Emotional Distress / Support,DEATH_GRIEF,EMOTIONAL,"{""direct_intent"":true,""has_emotional_distress"":true}"
