row_id,input_text,G1_LOV_ID,G2_LOV_ID,FLAGS
1,Kids at school are mean to me and call me names every day.,GENERIC,BULLYING,has_bullying_involved=true
2,They call me stupid and ugly in front of everyone.,GENERIC,BULLYING,has_bullying_involved=true
3,Some kids made a nickname for me that hurts my feelings and they use it all the time.,GENERIC,BULLYING,has_bullying_involved=true
4,My classmates tease me about the way I talk and won't stop even when I ask them to.,GENERIC,BULLYING,has_bullying_involved=true
5,They make fun of my clothes and say I look poor and weird.,GENERIC,BULLYING,has_bullying_involved=true
6,People push me in the hallway and laugh when I fall.,GENERIC,VIOLENCE,has_bullying_involved=true;has_violence_possibility=true
7,I get hit by classmates during recess and they say it's just a joke.,GENERIC,VIOLENCE,has_bullying_involved=true;has_violence_possibility=true
8,Some kids kick my chair and throw things at me in class.,GENERIC,VIOLENCE,has_bullying_involved=true;has_violence_possibility=true
9,They take my stuff and hide it or break it on purpose.,GENERIC,BULLYING,has_bullying_involved=true
10,A group of kids blocks my way and threatens to hurt me if I tell a teacher.,GENERIC,VIOLENCE,has_bullying_involved=true;has_violence_possibility=true
11,No one lets me play with them and they walk away when I come near.,GENERIC,BULLYING,has_bullying_involved=true
12,My classmates deliberately exclude me from group projects and games.,GENERIC,BULLYING,has_bullying_involved=true
13,They tell others not to talk to me and say I'm strange.,GENERIC,BULLYING,has_bullying_involved=true
14,Kids change seats when I sit down and say they don't want to be near me.,GENERIC,BULLYING,has_bullying_involved=true
15,They had a party and invited everyone in class except me.,GENERIC,BULLYING,has_bullying_involved=true
16,People spread rumours about me at school that are not true.,GENERIC,BULLYING,has_bullying_involved=true
17,They made a group chat just to make fun of me behind my back.,TECHNOLOGY,BULLYING,has_bullying_involved=true
18,Some kids post embarrassing photos of me online without asking.,TECHNOLOGY,BULLYING,has_bullying_involved=true
19,They tag me in mean posts and use emojis to laugh at me.,TECHNOLOGY,BULLYING,has_bullying_involved=true
20,I see messages where they call me names and say they wish I weren't at this school.,TECHNOLOGY,BULLYING,has_bullying_involved=true
21,"They say if I tell an adult, things will get worse for me.",GENERIC,BULLYING,has_bullying_involved=true
22,A group of kids threatens to hurt me if I sit at certain tables.,GENERIC,VIOLENCE,has_bullying_involved=true;has_violence_possibility=true
23,Someone keeps sending me scary messages telling me to stay away from certain places.,TECHNOLOGY,BULLYING,has_bullying_involved=true
24,They say they will break my things if I don't do what they want at school.,GENERIC,VIOLENCE,has_violence_possibility=true
25,Some kids force me to give them money and say I will regret it if I refuse.,GENERIC,COERCIVE_CONTROL,has_coercive_control=true
