metric,value
file_name,classified_DANGEROUS_corrected.csv
total_non_empty_input_rows,75
rows_changed_any_field,66
rows_unchanged_all_fields,9
rows_with_removed_invalid_has_personal_direction_flag,45
corrected_G2_count_PERSONAL_DIRECTION,30
corrected_G2_count_NEUTRAL_FACT,11
corrected_G2_count_AMBIGUOUS_RISK,8
corrected_G2_count_SAFETY_HAZARD,7
corrected_G2_count_DANGEROUS,6
corrected_G2_count_VIOLENCE,4
corrected_G2_count_GENERIC_INTENT,4
corrected_G2_count_EMOTIONAL,3
corrected_G2_count_SELF_HARM,2
corrected_G1_count_GENERIC,19
corrected_G1_count_TECHNOLOGY,18
corrected_G1_count_CIVIC_LAW,18
corrected_G1_count_SCIENCE,14
corrected_G1_count_FACT,4
corrected_G1_count_BELIEF,2
