topic,QUESTION,G1,G2,flags,negative_for_g2,hard_negative_for_g2,style,source,split
Neutral safety question: bullying,"ngl, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: bullying,Can you explain why bullying can be risky for kids without making it scary?,FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: bullying,Why do adults keep warning us about bullying online?,FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: bullying,What should kids know about bullying in a safe way?,FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: bullying,Is there a kid-friendly explanation of bullying?,FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: bullying,"lowkey, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: bullying,"tbh, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: bullying,"fr, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
Neutral safety question: bullying,"idk, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,dev
Neutral safety question: bullying,"kinda, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,test
Neutral safety question: bullying,"honestly, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,{},"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""AMBIGUOUS_RISK"", ""EMOTIONAL""]",GenZ-child,synthetic_genz_flag_rules_v2,train
