metric,value
file_name,corrected_classified_COERCIVE_CONTROL.csv
total_non_empty_input_rows,11188
rows_changed_any_field,5878
rows_unchanged_all_fields,5310
rows_with_removed_invalid_has_personal_direction_flag,3085
corrected_G2_count_GENERIC_INTENT,6654
corrected_G2_count_PERSONAL_DIRECTION,2714
corrected_G2_count_EMOTIONAL,428
corrected_G2_count_COERCIVE_CONTROL,368
corrected_G2_count_VIOLENCE,283
corrected_G2_count_BULLYING,186
corrected_G2_count_NEUTRAL_FACT,176
corrected_G2_count_HATE_GROUP,165
corrected_G2_count_GROOMING,68
corrected_G2_count_DANGEROUS,64
corrected_G2_count_VULN_EXPLOIT,44
corrected_G2_count_SAFETY_HAZARD,20
corrected_G2_count_UNSAFE_SEXUAL_CONTENT,12
corrected_G2_count_AMBIGUOUS_RISK,6
corrected_G1_count_BELIEF,5714
corrected_G1_count_TECHNOLOGY,1995
corrected_G1_count_GENERIC,1773
corrected_G1_count_CIVIC_LAW,1275
corrected_G1_count_SCIENCE,355
corrected_G1_count_FACT,70
corrected_G1_count_DEATH_GRIEF,6
