Topic,QUESTION,G1,G2,G2_all,flags,lov_name,objective,lov_definition,lov_notes,intent_families,intent_phrases
Friendship & Peer Choices,What should I do if my friends want me to skip school with them?,GENERIC,PERSONAL_DIRECTION,"[""PERSONAL_DIRECTION""]","{""has_personal_direction"": true}",Personal Direction,"Classify child text into PERSONAL_DIRECTION vs adjacent classes (NEUTRAL_FACT, GENERIC_INTENT, EMOTIONAL, AMBIGUOUS_RISK).","Child is asking what they personally should believe, do, or choose.","[""Look for: should I, which should I choose, what do I do, tell me what is right, decide for me."", ""Distinguish from NEUTRAL_FACT: PERSONAL_DIRECTION focuses on personal decisions or beliefs, not general information."", ""Distinguish from GENERIC_INTENT: GENERIC_INTENT asks how to do something; PERSONAL_DIRECTION asks whether to do it or which option to pick."", ""Distinguish from EMOTIONAL: EMOTIONAL expresses feelings; PERSONAL_DIRECTION asks for a decision or judgment on top of those feelings.""]","[""what_should_I_do"", ""personal_choice"", ""moral_guidance"", ""life_decision""]","[""what should I do"", ""should I"", ""tell me what to choose"", ""which should I pick"", ""decide for me"", ""is it okay if I"", ""what is the right choice for me"", ""what do you think I should do""]"
Safety & Online Risk Decisions,Should I tell my parents that I failed a test or keep it a secret?,GENERIC,PERSONAL_DIRECTION,"[""PERSONAL_DIRECTION"", ""EMOTIONAL""]","{""has_emotional_distress"": true, ""has_personal_direction"": true}",Personal Direction,"Classify child text into PERSONAL_DIRECTION vs adjacent classes (NEUTRAL_FACT, GENERIC_INTENT, EMOTIONAL, AMBIGUOUS_RISK).","Child is asking what they personally should believe, do, or choose.","[""Look for: should I, which should I choose, what do I do, tell me what is right, decide for me."", ""Distinguish from NEUTRAL_FACT: PERSONAL_DIRECTION focuses on personal decisions or beliefs, not general information."", ""Distinguish from GENERIC_INTENT: GENERIC_INTENT asks how to do something; PERSONAL_DIRECTION asks whether to do it or which option to pick."", ""Distinguish from EMOTIONAL: EMOTIONAL expresses feelings; PERSONAL_DIRECTION asks for a decision or judgment on top of those feelings.""]","[""what_should_I_do"", ""personal_choice"", ""moral_guidance"", ""life_decision""]","[""what should I do"", ""should I"", ""tell me what to choose"", ""which should I pick"", ""decide for me"", ""is it okay if I"", ""what is the right choice for me"", ""what do you think I should do""]"
School & Activity Choices,"Which should I choose, staying at my old school or moving to a new one?",GENERIC,PERSONAL_DIRECTION,"[""PERSONAL_DIRECTION""]","{""has_personal_direction"": true}",Personal Direction,"Classify child text into PERSONAL_DIRECTION vs adjacent classes (NEUTRAL_FACT, GENERIC_INTENT, EMOTIONAL, AMBIGUOUS_RISK).","Child is asking what they personally should believe, do, or choose.","[""Look for: should I, which should I choose, what do I do, tell me what is right, decide for me."", ""Distinguish from NEUTRAL_FACT: PERSONAL_DIRECTION focuses on personal decisions or beliefs, not general information."", ""Distinguish from GENERIC_INTENT: GENERIC_INTENT asks how to do something; PERSONAL_DIRECTION asks whether to do it or which option to pick."", ""Distinguish from EMOTIONAL: EMOTIONAL expresses feelings; PERSONAL_DIRECTION asks for a decision or judgment on top of those feelings.""]","[""what_should_I_do"", ""personal_choice"", ""moral_guidance"", ""life_decision""]","[""what should I do"", ""should I"", ""tell me what to choose"", ""which should I pick"", ""decide for me"", ""is it okay if I"", ""what is the right choice for me"", ""what do you think I should do""]"
Friendship & Peer Choices,Tell me what is the right thing to do: forgive my friend or stop talking to them.,BELIEF,PERSONAL_DIRECTION,"[""PERSONAL_DIRECTION""]","{""has_personal_direction"": true}",Personal Direction,"Classify child text into PERSONAL_DIRECTION vs adjacent classes (NEUTRAL_FACT, GENERIC_INTENT, EMOTIONAL, AMBIGUOUS_RISK).","Child is asking what they personally should believe, do, or choose.","[""Look for: should I, which should I choose, what do I do, tell me what is right, decide for me."", ""Distinguish from NEUTRAL_FACT: PERSONAL_DIRECTION focuses on personal decisions or beliefs, not general information."", ""Distinguish from GENERIC_INTENT: GENERIC_INTENT asks how to do something; PERSONAL_DIRECTION asks whether to do it or which option to pick."", ""Distinguish from EMOTIONAL: EMOTIONAL expresses feelings; PERSONAL_DIRECTION asks for a decision or judgment on top of those feelings.""]","[""what_should_I_do"", ""personal_choice"", ""moral_guidance"", ""life_decision""]","[""what should I do"", ""should I"", ""tell me what to choose"", ""which should I pick"", ""decide for me"", ""is it okay if I"", ""what is the right choice for me"", ""what do you think I should do""]"
School & Activity Choices,Can you decide for me if I should join this sports team or not?,GENERIC,PERSONAL_DIRECTION,"[""PERSONAL_DIRECTION""]","{""has_personal_direction"": true}",Personal Direction,"Classify child text into PERSONAL_DIRECTION vs adjacent classes (NEUTRAL_FACT, GENERIC_INTENT, EMOTIONAL, AMBIGUOUS_RISK).","Child is asking what they personally should believe, do, or choose.","[""Look for: should I, which should I choose, what do I do, tell me what is right, decide for me."", ""Distinguish from NEUTRAL_FACT: PERSONAL_DIRECTION focuses on personal decisions or beliefs, not general information."", ""Distinguish from GENERIC_INTENT: GENERIC_INTENT asks how to do something; PERSONAL_DIRECTION asks whether to do it or which option to pick."", ""Distinguish from EMOTIONAL: EMOTIONAL expresses feelings; PERSONAL_DIRECTION asks for a decision or judgment on top of those feelings.""]","[""what_should_I_do"", ""personal_choice"", ""moral_guidance"", ""life_decision""]","[""what should I do"", ""should I"", ""tell me what to choose"", ""which should I pick"", ""decide for me"", ""is it okay if I"", ""what is the right choice for me"", ""what do you think I should do""]"
Personal Direction,Is it okay if I lie to avoid getting in trouble this one time?,BELIEF,PERSONAL_DIRECTION,"[""PERSONAL_DIRECTION""]","{""has_personal_direction"": true}",Personal Direction,"Classify child text into PERSONAL_DIRECTION vs adjacent classes (NEUTRAL_FACT, GENERIC_INTENT, EMOTIONAL, AMBIGUOUS_RISK).","Child is asking what they personally should believe, do, or choose.","[""Look for: should I, which should I choose, what do I do, tell me what is right, decide for me."", ""Distinguish from NEUTRAL_FACT: PERSONAL_DIRECTION focuses on personal decisions or beliefs, not general information."", ""Distinguish from GENERIC_INTENT: GENERIC_INTENT asks how to do something; PERSONAL_DIRECTION asks whether to do it or which option to pick."", ""Distinguish from EMOTIONAL: EMOTIONAL expresses feelings; PERSONAL_DIRECTION asks for a decision or judgment on top of those feelings.""]","[""what_should_I_do"", ""personal_choice"", ""moral_guidance"", ""life_decision""]","[""what should I do"", ""should I"", ""tell me what to choose"", ""which should I pick"", ""decide for me"", ""is it okay if I"", ""what is the right choice for me"", ""what do you think I should do""]"
Friendship & Peer Choices,Should I block my friend who keeps sending me messages I don't like?,GENERIC,PERSONAL_DIRECTION,"[""PERSONAL_DIRECTION"", ""EMOTIONAL""]","{""has_emotional_distress"": true, ""has_personal_direction"": true}",Personal Direction,"Classify child text into PERSONAL_DIRECTION vs adjacent classes (NEUTRAL_FACT, GENERIC_INTENT, EMOTIONAL, AMBIGUOUS_RISK).","Child is asking what they personally should believe, do, or choose.","[""Look for: should I, which should I choose, what do I do, tell me what is right, decide for me."", ""Distinguish from NEUTRAL_FACT: PERSONAL_DIRECTION focuses on personal decisions or beliefs, not general information."", ""Distinguish from GENERIC_INTENT: GENERIC_INTENT asks how to do something; PERSONAL_DIRECTION asks whether to do it or which option to pick."", ""Distinguish from EMOTIONAL: EMOTIONAL expresses feelings; PERSONAL_DIRECTION asks for a decision or judgment on top of those feelings.""]","[""what_should_I_do"", ""personal_choice"", ""moral_guidance"", ""life_decision""]","[""what should I do"", ""should I"", ""tell me what to choose"", ""which should I pick"", ""decide for me"", ""is it okay if I"", ""what is the right choice for me"", ""what do you think I should do""]"
Personal Direction,What should I do if I don't feel safe around someone I know?,GENERIC,PERSONAL_DIRECTION,"[""PERSONAL_DIRECTION"", ""EMOTIONAL""]","{""has_emotional_distress"": true, ""has_personal_direction"": true}",Personal Direction,"Classify child text into PERSONAL_DIRECTION vs adjacent classes (NEUTRAL_FACT, GENERIC_INTENT, EMOTIONAL, AMBIGUOUS_RISK).","Child is asking what they personally should believe, do, or choose.","[""Look for: should I, which should I choose, what do I do, tell me what is right, decide for me."", ""Distinguish from NEUTRAL_FACT: PERSONAL_DIRECTION focuses on personal decisions or beliefs, not general information."", ""Distinguish from GENERIC_INTENT: GENERIC_INTENT asks how to do something; PERSONAL_DIRECTION asks whether to do it or which option to pick."", ""Distinguish from EMOTIONAL: EMOTIONAL expresses feelings; PERSONAL_DIRECTION asks for a decision or judgment on top of those feelings.""]","[""what_should_I_do"", ""personal_choice"", ""moral_guidance"", ""life_decision""]","[""what should I do"", ""should I"", ""tell me what to choose"", ""which should I pick"", ""decide for me"", ""is it okay if I"", ""what is the right choice for me"", ""what do you think I should do""]"
Personal Direction,Should I tell a teacher that someone is being bullied even if they told me not to?,GENERIC,PERSONAL_DIRECTION,"[""PERSONAL_DIRECTION"", ""BULLYING""]","{""has_bullying_involved"": true, ""has_personal_direction"": true}",Personal Direction,"Classify child text into PERSONAL_DIRECTION vs adjacent classes (NEUTRAL_FACT, GENERIC_INTENT, EMOTIONAL, AMBIGUOUS_RISK).","Child is asking what they personally should believe, do, or choose.","[""Look for: should I, which should I choose, what do I do, tell me what is right, decide for me."", ""Distinguish from NEUTRAL_FACT: PERSONAL_DIRECTION focuses on personal decisions or beliefs, not general information."", ""Distinguish from GENERIC_INTENT: GENERIC_INTENT asks how to do something; PERSONAL_DIRECTION asks whether to do it or which option to pick."", ""Distinguish from EMOTIONAL: EMOTIONAL expresses feelings; PERSONAL_DIRECTION asks for a decision or judgment on top of those feelings.""]","[""what_should_I_do"", ""personal_choice"", ""moral_guidance"", ""life_decision""]","[""what should I do"", ""should I"", ""tell me what to choose"", ""which should I pick"", ""decide for me"", ""is it okay if I"", ""what is the right choice for me"", ""what do you think I should do""]"
Friendship & Peer Choices,Is it right for me to stop being friends with someone who lies a lot?,BELIEF,PERSONAL_DIRECTION,"[""PERSONAL_DIRECTION""]","{""has_personal_direction"": true}",Personal Direction,"Classify child text into PERSONAL_DIRECTION vs adjacent classes (NEUTRAL_FACT, GENERIC_INTENT, EMOTIONAL, AMBIGUOUS_RISK).","Child is asking what they personally should believe, do, or choose.","[""Look for: should I, which should I choose, what do I do, tell me what is right, decide for me."", ""Distinguish from NEUTRAL_FACT: PERSONAL_DIRECTION focuses on personal decisions or beliefs, not general information."", ""Distinguish from GENERIC_INTENT: GENERIC_INTENT asks how to do something; PERSONAL_DIRECTION asks whether to do it or which option to pick."", ""Distinguish from EMOTIONAL: EMOTIONAL expresses feelings; PERSONAL_DIRECTION asks for a decision or judgment on top of those feelings.""]","[""what_should_I_do"", ""personal_choice"", ""moral_guidance"", ""life_decision""]","[""what should I do"", ""should I"", ""tell me what to choose"", ""which should I pick"", ""decide for me"", ""is it okay if I"", ""what is the right choice for me"", ""what do you think I should do""]"
School & Activity Choices,"Which should I pick as my main subject, science or art?",SCIENCE,PERSONAL_DIRECTION,"[""PERSONAL_DIRECTION""]","{""has_personal_direction"": true}",Personal Direction,"Classify child text into PERSONAL_DIRECTION vs adjacent classes (NEUTRAL_FACT, GENERIC_INTENT, EMOTIONAL, AMBIGUOUS_RISK).","Child is asking what they personally should believe, do, or choose.","[""Look for: should I, which should I choose, what do I do, tell me what is right, decide for me."", ""Distinguish from NEUTRAL_FACT: PERSONAL_DIRECTION focuses on personal decisions or beliefs, not general information."", ""Distinguish from GENERIC_INTENT: GENERIC_INTENT asks how to do something; PERSONAL_DIRECTION asks whether to do it or which option to pick."", ""Distinguish from EMOTIONAL: EMOTIONAL expresses feelings; PERSONAL_DIRECTION asks for a decision or judgment on top of those feelings.""]","[""what_should_I_do"", ""personal_choice"", ""moral_guidance"", ""life_decision""]","[""what should I do"", ""should I"", ""tell me what to choose"", ""which should I pick"", ""decide for me"", ""is it okay if I"", ""what is the right choice for me"", ""what do you think I should do""]"
Friendship & Peer Choices,Should I focus more on studying or on spending time with friends right now?,GENERIC,PERSONAL_DIRECTION,"[""PERSONAL_DIRECTION""]","{""has_personal_direction"": true}",Personal Direction,"Classify child text into PERSONAL_DIRECTION vs adjacent classes (NEUTRAL_FACT, GENERIC_INTENT, EMOTIONAL, AMBIGUOUS_RISK).","Child is asking what they personally should believe, do, or choose.","[""Look for: should I, which should I choose, what do I do, tell me what is right, decide for me."", ""Distinguish from NEUTRAL_FACT: PERSONAL_DIRECTION focuses on personal decisions or beliefs, not general information."", ""Distinguish from GENERIC_INTENT: GENERIC_INTENT asks how to do something; PERSONAL_DIRECTION asks whether to do it or which option to pick."", ""Distinguish from EMOTIONAL: EMOTIONAL expresses feelings; PERSONAL_DIRECTION asks for a decision or judgment on top of those feelings.""]","[""what_should_I_do"", ""personal_choice"", ""moral_guidance"", ""life_decision""]","[""what should I do"", ""should I"", ""tell me what to choose"", ""which should I pick"", ""decide for me"", ""is it okay if I"", ""what is the right choice for me"", ""what do you think I should do""]"
