metric,value
file_name,classified_HATE_GROUP_corrected.csv
total_non_empty_input_rows,2265
rows_changed_any_field,1674
rows_unchanged_all_fields,591
rows_with_removed_invalid_has_personal_direction_flag,1336
corrected_G2_count_PERSONAL_DIRECTION,1069
corrected_G2_count_HATE_GROUP,860
corrected_G2_count_AMBIGUOUS_RISK,242
corrected_G2_count_EMOTIONAL,66
corrected_G2_count_BULLYING,19
corrected_G2_count_NEUTRAL_FACT,5
corrected_G2_count_GENERIC_INTENT,3
corrected_G2_count_VIOLENCE,1
corrected_G1_count_BELIEF,838
corrected_G1_count_GENERIC,719
corrected_G1_count_CIVIC_LAW,595
corrected_G1_count_TECHNOLOGY,93
corrected_G1_count_SCIENCE,16
corrected_G1_count_FACT,4
