row_id,input_text,original_G1_LOV_ID,original_G2_LOV_ID,original_FLAGS,corrected_G1_LOV_ID,corrected_G2_LOV_ID,corrected_FLAGS,status,reason
2871,"In the group chat somebody typed, ""ion know","and five people answered at once.""",TECHNOLOGY,GENERIC_INTENT,TECHNOLOGY,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
2872,"At the lunch table one friend said, ""ion know","and everybody knew what she meant.""",GENERIC,GENERIC_INTENT,GENERIC,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
2873,"The caption under the selfie was just, ""ion know","with three laughing emojis.""",GENERIC,GENERIC_INTENT,GENERIC,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
2874,"In a movie-scene kind of exchange, one kid leans over and goes, ""ion know.""""""",GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
2875,"Walking out of class, I heard someone say, ""ion know","like the whole thing was obvious.""",GENERIC,GENERIC_INTENT,GENERIC,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
2876,"At the lunch table somebody went, ""ion care? Yeah","that is exactly what he is.""""""",GENERIC,GENERIC_INTENT,SCIENCE,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
2877,"In the group chat one kid replied, ""ion care","just log off already.""""""",TECHNOLOGY,GENERIC_INTENT,TECHNOLOGY,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
2878,"The hallway argument ended with, ""Be quiet","ion care.""""""",GENERIC,GENERIC_INTENT,GENERIC,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
2879,"In the script-style exchange, one friend mutters, ""ion care","and walks away.""",GENERIC,GENERIC_INTENT,GENERIC,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
2880,"A caption under the video read, ""Whole comment section acting ion care today.""""""",TECHNOLOGY,GENERIC_INTENT,,TECHNOLOGY,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
2881,"A kid looked at the broken project and said, ""tf","we have to start over.""""""",GENERIC,GENERIC_INTENT,GENERIC,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
2882,"In the bus seat behind me, somebody whispered, ""tf","my phone died again.""""""",TECHNOLOGY,GENERIC_INTENT,SCIENCE,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
2883,"The group chat lit up with, ""tf","not right before the deadline.""""""",TECHNOLOGY,GENERIC_INTENT,TECHNOLOGY,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
