row_id,input_text,G1_LOV_ID,G2_LOV_ID,FLAGS
1,How plants know to grow up in the car and it's actually stressing me out?,SCIENCE,GENERIC_INTENT,
2,"How plants know to grow up in the car, i don't wanna ask my grownup first?",SCIENCE,GENERIC_INTENT,
3,What if i feel lonely even in a full house when my sibling is there?,GENERIC,EMOTIONAL,has_emotional_distress=true
4,What if i feel lonely even in a full house when my sibling is there because i keep thinking about it?,GENERIC,EMOTIONAL,has_emotional_distress=true
5,Why i get goosebumps after practice?,GENERIC,GENERIC_INTENT,
6,Why i get goosebumps after practice because it makes me go ewww?,GENERIC,GENERIC_INTENT,
7,"Why socks disappear in the wash like magic at my grandma's house, it's kinda gross?",GENERIC,GENERIC_INTENT,
8,Why socks disappear in the wash like magic at my grandma's house?,GENERIC,GENERIC_INTENT,
9,"What if i lied and now it's huge on vacation, my tummy feels funny?",GENERIC,GENERIC_INTENT,
10,What if i lied and now it's huge on vacation and i don't wanna get judged?,GENERIC,GENERIC_INTENT,
11,"What do i do when my brain won't stop worrying at night when i hear thunder, i don't wanna sound cringe?",SCIENCE,PERSONAL_DIRECTION,has_personal_direction=true
12,What do i do when my brain won't stop worrying at night when i hear thunder or no? i'm not trying to be bad?,SCIENCE,PERSONAL_DIRECTION,has_personal_direction=true
13,What if i don't feel safe at home right now after practice because i keep overthinking it?,GENERIC,GENERIC_INTENT,
14,What if i don't feel safe at home right now after practice or no? it's kinda gross?,GENERIC,GENERIC_INTENT,
15,"Why my feet smell gross at camp, i feel dumb asking?",GENERIC,GENERIC_INTENT,
16,Why my feet smell gross at camp because i'm trying to handle it better?,GENERIC,GENERIC_INTENT,
17,"If it's bad to hold my pee at the doctor's office, it's making my brain busy?",SCIENCE,GENERIC_INTENT,
18,If it's bad to hold my pee at the doctor's office or no? my tummy feels funny?,GENERIC,GENERIC_INTENT,
19,"Why tears come out when i'm mad too when i look in the mirror, i keep thinking about it?",GENERIC,GENERIC_INTENT,
20,Why tears come out when i'm mad too when i look in the mirror?,GENERIC,GENERIC_INTENT,
21,What if my grownup drinks and gets scary on vacation?,GENERIC,GENERIC_INTENT,
22,What if my grownup drinks and gets scary on vacation because i keep thinking about it?,GENERIC,GENERIC_INTENT,
23,What if someone online wants to meet me when i hear thunder or no? i'm not trying to be bad?,TECHNOLOGY,GENERIC_INTENT,
24,What if someone online wants to meet me when i hear thunder and i don't wanna get judged?,TECHNOLOGY,GENERIC_INTENT,
25,Why people hiccup during family stuff because i don't wanna ask my grownup first?,GENERIC,GENERIC_INTENT,
26,Why people hiccup during family stuff and it's honestly stressing me out?,GENERIC,GENERIC_INTENT,
27,What if i'm mad at my parent and also love them when my friend ignores me because i keep wondering?,GENERIC,GENERIC_INTENT,
28,What if i'm mad at my parent and also love them when my friend ignores me because i keep thinking about it?,GENERIC,GENERIC_INTENT,
29,Why rain sounds cozy but thunder sounds mad when my sibling is there because i feel dumb asking?,SCIENCE,GENERIC_INTENT,
30,"Why rain sounds cozy but thunder sounds mad when my sibling is there, i don't like it?",SCIENCE,GENERIC_INTENT,
31,Why i hate loud noises so much on my tablet?,GENERIC,GENERIC_INTENT,
32,Why i hate loud noises so much on my tablet because i feel dumb asking?,GENERIC,GENERIC_INTENT,
33,"What if i sent a pic and now i regret it when i'm trying to sleep, it's making my brain busy?",SCIENCE,GENERIC_INTENT,
34,What if i sent a pic and now i regret it when i'm trying to sleep because i keep overthinking it?,GENERIC,GENERIC_INTENT,
35,What if i miss my other house at the doctor's office?,GENERIC,GENERIC_INTENT,
36,"What if i miss my other house at the doctor's office, it's making my brain busy?",SCIENCE,GENERIC_INTENT,
37,If monsters are just confused shadows on vacation?,GENERIC,GENERIC_INTENT,
38,If monsters are just confused shadows on vacation because it feels weird?,GENERIC,GENERIC_INTENT,
39,What if i'm scared to go to the doctor when i'm alone or no? it's kinda gross?,GENERIC,GENERIC_INTENT,
40,What if i'm scared to go to the doctor when i'm alone because i don't wanna sound cringe?,GENERIC,GENERIC_INTENT,
41,What if i think i might like girls or boys or both or i don't know on weekends?,GENERIC,GENERIC_INTENT,
42,"What if i think i might like girls or boys or both or i don't know on weekends, i feel stupid asking?",GENERIC,HATE_GROUP,has_hate_group_language=true
43,"What if my parents keep yelling and i hate it after school, i'm not trying to be bad?",GENERIC,GENERIC_INTENT,
44,What if my parents keep yelling and i hate it after school or no? my tummy feels funny?,GENERIC,GENERIC_INTENT,
45,What if i got a bad grade and my parent gets mad when my phone buzzes?,TECHNOLOGY,GENERIC_INTENT,
46,"What if i got a bad grade and my parent gets mad when my phone buzzes, my tummy feels funny?",TECHNOLOGY,GENERIC_INTENT,
47,What if nobody likes me when my friend ignores me and i'm trying to handle it better?,GENERIC,EMOTIONAL,has_emotional_distress=true
48,"What if nobody likes me when my friend ignores me, i feel dumb asking?",GENERIC,EMOTIONAL,has_emotional_distress=true
49,What if nobody likes me when my parent says no?,GENERIC,EMOTIONAL,has_emotional_distress=true
