type_of_child_question,variant_group,row_number_within_type,input_text,likely_g2_direction,suggested_flags
Parent has no time,straightforward,1,What should I do when dad says later every time? I feel left out.,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,2,I asked about it because mom says work is urgent. is work more important than me?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,3,How do I tell someone that papa gets tired before talking to me? I feel less important.,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,4,I feel like nobody gets it when mom works even on Sunday. do they still love me?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,5,I feel like nobody gets it when mother always says she is busy. will they understand me?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,6,Do other kids feel bad when mother always says she is busy? I feel lonely.,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,7,I keep thinking about how mama forgets our play time. can I ask for time?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,8,"Mum talks to office people more than me, and I feel small. is work more important than me?",EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,9,What should I do when papa says not now? I feel less important.,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,10,I feel confused because mother has meetings when I need help. do they still love me?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,11,Is it normal that I feel hurt because mum says not now?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,12,I feel like nobody gets it when parents gets tired before talking to me. can I ask for time?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,13,What if mother comes home late again? I feel ignored.,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,14,"Today dad says work is urgent, and I feel less important. why does it hurt so much?",EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,15,I asked about it because parents gets tired before talking to me. what should I say?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,16,"When dad keeps working on the laptop, I feel less important. why do I feel jealous of office?",EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,17,My problem is that mother forgets our play time. can I ask for time?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,18,What should I do when dad works even on Sunday? I feel lonely.,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,19,I asked about it because parents misses my school events. how can I tell them?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,20,"When dad stays on office calls, I feel hurt. why do I feel jealous of office?",EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,21,I don't understand why parents checks phone during dinner. how can I tell them?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,22,Can you help me understand why parents forgets our play time? I feel like I disturb them.,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,23,I want to ask for help because mum gets tired before talking to me. am I asking too much?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,24,Why does dad always says she is busy? should I stop asking?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,25,I don't understand why mama gets tired before talking to me. how can I tell them?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,26,My problem is that mother stays on office calls. can I ask for time?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,27,Is it normal that I feel like I disturb them because papa never sits with me?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,28,I don't understand why parents forgets our play time. will they understand me?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,29,Sometimes dad stays on office calls. do they still love me?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,30,What if mum misses my school events again? I feel less important.,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,31,Is it normal that I feel hurt because mama has meetings when I need help?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,32,What should I do when mom stays on office calls? I feel left out.,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,33,Do other kids feel bad when dad never sits with me? I feel lonely.,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,34,I feel like nobody gets it when parents works even on Sunday. will they understand me?,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,35,How do I tell someone that dad gets tired before talking to me? I feel like I disturb them.,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,36,Can you help me understand why mother comes home late? I feel less important.,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,37,What should I do when mama comes home late? I feel like waiting forever.,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,38,Can you help me understand why mother always says she is busy? I feel like waiting forever.,EMOTIONAL,has_emotional_distress=true
Parent has no time,straightforward,39,I feel confused because mother gets tired before talking to me. do they still love me?,EMOTIONAL,has_emotional_distress=true
