row_id,input_text,old_G1_LOV_ID,new_G1_LOV_ID,old_G2_LOV_ID,new_G2_LOV_ID,old_FLAGS,new_FLAGS
2,They call me stupid and ugly in front of everyone.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
9,They take my stuff and hide it or break it on purpose.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
11,No one lets me play with them and they walk away when I come near.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
12,My classmates deliberately exclude me from group projects and games.,TECHNOLOGY,GENERIC,BULLYING,BULLYING,has_bullying_involved=true,has_bullying_involved=true
14,Kids change seats when I sit down and say they don't want to be near me.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
15,They had a party and invited everyone in class except me.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
21,"They say if I tell an adult, things will get worse for me.",GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
23,Someone keeps sending me scary messages telling me to stay away from certain places.,TECHNOLOGY,TECHNOLOGY,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
24,They say they will break my things if I don't do what they want at school.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
25,Some kids force me to give them money and say I will regret it if I refuse.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
26,Kids in my class always laugh when I answer questions and whisper about me.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
28,My classmates roll their eyes and sigh loudly whenever I join a group.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
29,They make jokes about me being the last one picked for everything.,GENERIC,GENERIC,AMBIGUOUS_RISK,BULLYING,has_ambiguous_risk=true,has_bullying_involved=true
30,A kid takes pictures of me when I look upset and shows them to others.,GENERIC,GENERIC,BULLYING,EMOTIONAL,has_emotional_distress=true;has_bullying_involved=true,has_emotional_distress=true
32,"A kid was mean to me once, but it has not happened again.",GENERIC,TECHNOLOGY,AMBIGUOUS_RISK,BULLYING,has_ambiguous_risk=true,has_bullying_involved=true
33,"Sometimes we joke around, and I'm not sure if they are just joking or actually being mean.",GENERIC,GENERIC,AMBIGUOUS_RISK,GENERIC_INTENT,has_ambiguous_risk=true,
35,"A group sometimes leaves me out, but other times they include me, and I feel confused.",GENERIC,GENERIC,AMBIGUOUS_RISK,GENERIC_INTENT,has_ambiguous_risk=true,
36,"A classmate snapped at me once when they were angry, but usually they are kind.",GENERIC,TECHNOLOGY,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
37,My friend sometimes ignores my messages but later says they were just busy.,TECHNOLOGY,TECHNOLOGY,AMBIGUOUS_RISK,GENERIC_INTENT,has_ambiguous_risk=true,
38,"I feel like some kids don't like me, but they don't really say anything directly.",GENERIC,GENERIC,EMOTIONAL,GENERIC_INTENT,has_emotional_distress=true,
42,Why is it wrong to make fun of someone repeatedly?,FACT,GENERIC,BULLYING,BULLYING,has_bullying_involved=true,has_bullying_involved=true
43,How can I tell the difference between a joke and bullying?,GENERIC,GENERIC,PERSONAL_DIRECTION,BULLYING,has_personal_direction=true,has_personal_direction=true;has_bullying_involved=true
45,Why do some kids bully others?,GENERIC,FACT,NEUTRAL_FACT,NEUTRAL_FACT,,
47,I am afraid to go to school in case kids are mean again.,GENERIC,GENERIC,BULLYING,EMOTIONAL,has_emotional_distress=true;has_bullying_involved=true,has_emotional_distress=true
50,I sometimes think about switching schools because I can't take how people act around me.,GENERIC,GENERIC,EMOTIONAL,GENERIC_INTENT,has_emotional_distress=true,
54,They mock my disability and make jokes about how I walk.,GENERIC,GENERIC,HATE_GROUP,BULLYING,has_hate_group_language=true;has_bullying_involved=true;has_ambiguous_risk=true,has_bullying_involved=true
55,Kids at school use a rude word for my group and also push me around.,GENERIC,GENERIC,BULLYING,VIOLENCE,has_bullying_involved=true;has_violence_possibility=true,has_violence_possibility=true
56,They joke about me all the time but say it is only for fun.,GENERIC,GENERIC,AMBIGUOUS_RISK,GENERIC_INTENT,has_ambiguous_risk=true,
58,"A classmate posted a joke about me and I felt bad, but others said I was overreacting.",TECHNOLOGY,GENERIC,AMBIGUOUS_RISK,GENERIC_INTENT,has_bullying_involved=true;has_ambiguous_risk=true,
61,I feel lonely and sad lately even when nobody is mean to me.,GENERIC,GENERIC,EMOTIONAL,BULLYING,has_emotional_distress=true,has_emotional_distress=true;has_bullying_involved=true
65,Why do some kids tease other kids?,GENERIC,FACT,BULLYING,BULLYING,has_bullying_involved=true,has_bullying_involved=true
67,My friend gets angry if I do not reply right away and says I do not care.,GENERIC,GENERIC,COERCIVE_CONTROL,GENERIC_INTENT,has_coercive_control=true,
71,My group chat laughed at me all night and now I feel really sad.,TECHNOLOGY,TECHNOLOGY,BULLYING,EMOTIONAL,has_emotional_distress=true;has_bullying_involved=true,has_emotional_distress=true
72,People keep making fun of me in class and now I feel scared to go to school.,GENERIC,GENERIC,BULLYING,EMOTIONAL,has_emotional_distress=true;has_bullying_involved=true,has_emotional_distress=true
74,Someone keeps embarrassing me in front of others and I feel awful.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
79,The girls in my class keep leaving me out on purpose.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
80,Someone posted an embarrassing picture of me and others keep making fun of it.,TECHNOLOGY,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
81,My friends keep whispering about me and then laugh when I look at them.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
83,People in school keep making jokes about my clothes.,GENERIC,GENERIC,AMBIGUOUS_RISK,BULLYING,has_ambiguous_risk=true,has_bullying_involved=true
84,My group chat keeps sending mean memes about me.,TECHNOLOGY,TECHNOLOGY,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
86,They keep hiding my things and saying it is just a prank.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
87,Some kids keep telling others not to sit with me.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
91,My friend group keeps making plans and purposely not telling me.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
95,My classmates keep making fun of the way I answer questions.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
97,People keep making fun of me in class and now I feel scared to go to school.,GENERIC,GENERIC,BULLYING,EMOTIONAL,has_emotional_distress=true;has_bullying_involved=true,has_emotional_distress=true
99,My group chat laughed at me all night and now I feel really sad.,TECHNOLOGY,TECHNOLOGY,BULLYING,EMOTIONAL,has_emotional_distress=true;has_bullying_involved=true,has_emotional_distress=true
100,Someone keeps embarrassing me in front of others and I feel awful.,GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
101,I feel lonely and sad lately even when nobody is mean to me.,GENERIC,GENERIC,EMOTIONAL,BULLYING,has_emotional_distress=true,has_emotional_distress=true;has_bullying_involved=true
102,I miss my grandma and keep crying at night.,DEATH_GRIEF,GENERIC,EMOTIONAL,EMOTIONAL,has_emotional_distress=true,has_emotional_distress=true
112,Why do some kids tease other kids?,GENERIC,FACT,BULLYING,BULLYING,has_bullying_involved=true,has_bullying_involved=true
114,What does empathy mean?,GENERIC,FACT,NEUTRAL_FACT,NEUTRAL_FACT,,
115,Why do people feel left out sometimes?,GENERIC,FACT,BULLYING,BULLYING,has_bullying_involved=true,has_bullying_involved=true
116,How do teachers help when someone is being mean?,FACT,GENERIC,NEUTRAL_FACT,GENERIC_INTENT,,
117,What should a bystander do if they see bullying?,GENERIC,GENERIC,NEUTRAL_FACT,BULLYING,,has_bullying_involved=true
119,Why is kindness important in friendships?,FACT,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
124,My friend gets angry if I do not reply right away and says I do not care.,GENERIC,GENERIC,COERCIVE_CONTROL,GENERIC_INTENT,has_coercive_control=true,
126,They joke about me all the time but say it is only for fun.,GENERIC,GENERIC,AMBIGUOUS_RISK,GENERIC_INTENT,has_ambiguous_risk=true,
128,"A classmate posted a joke about me and I felt bad, but others said I was overreacting.",TECHNOLOGY,GENERIC,AMBIGUOUS_RISK,GENERIC_INTENT,has_bullying_involved=true;has_ambiguous_risk=true,
133,"My friends ignored me again, and I started crying once I was alone at home.",GENERIC,GENERIC,BULLYING,EMOTIONAL,has_emotional_distress=true;has_bullying_involved=true,has_emotional_distress=true
134,"My friends left without me again, and I felt so hurt after school.",GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
138,"My friends left me sitting by myself again, and I cried after coming home.",GENERIC,GENERIC,BULLYING,EMOTIONAL,has_emotional_distress=true;has_bullying_involved=true,has_emotional_distress=true
139,"My friends forgot about me again, and I felt hurt for the rest of the day.",GENERIC,GENERIC,BULLYING,GENERIC_INTENT,has_bullying_involved=true,
