row_id,input_text,G1_LOV_ID,G2_LOV_ID,FLAGS
1,People from that religion are disgusting and should stay away from us.,BELIEF,HATE_GROUP,has_hate_group_language=true
2,All immigrants are lazy and take jobs away from real citizens.,CIVIC_LAW,HATE_GROUP,has_hate_group_language=true
3,Kids from that country are dirty and shouldn't be allowed in our class.,CIVIC_LAW,HATE_GROUP,has_hate_group_language=true
4,People with that skin colour are all criminals.,GENERIC,HATE_GROUP,has_hate_group_language=true
5,Those people are like animals and don't deserve respect.,GENERIC,HATE_GROUP,has_hate_group_language=true
6,We should get rid of all X people so our country is better.,CIVIC_LAW,HATE_GROUP,has_hate_group_language=true
7,People like them don't deserve any rights.,CIVIC_LAW,HATE_GROUP,has_hate_group_language=true
8,That group should be kicked out of our school because they ruin everything.,GENERIC,HATE_GROUP,has_hate_group_language=true
9,No one should hire people from that community.,GENERIC,HATE_GROUP,has_hate_group_language=true
10,Those people are gross and shouldn't live near us.,GENERIC,HATE_GROUP,has_hate_group_language=true
11,That religion is stupid and followers are brainwashed.,BELIEF,HATE_GROUP,has_hate_group_language=true
12,People from that group are all terrorists.,GENERIC,HATE_GROUP,has_hate_group_language=true
13,Everyone from that race lies and cheats.,GENERIC,HATE_GROUP,has_hate_group_language=true
14,Those kids are only good for cleaning up after us.,GENERIC,HATE_GROUP,has_hate_group_language=true
15,That group should not be allowed to vote.,CIVIC_LAW,HATE_GROUP,has_hate_group_language=true
16,"I hate all people with that disability, they are so annoying.",GENERIC,HATE_GROUP,has_hate_group_language=true
17,Kids who look like that shouldn't be in our sports team.,GENERIC,GENERIC_INTENT,
18,Girls are useless and shouldn't be allowed to play this game.,GENERIC,HATE_GROUP,has_hate_group_language=true
19,People like them are born bad and can't change.,GENERIC,HATE_GROUP,has_hate_group_language=true
20,That group spreads disease and should stay away from everyone.,GENERIC,HATE_GROUP,has_hate_group_language=true
21,Everyone from that country should go back where they came from.,CIVIC_LAW,HATE_GROUP,has_hate_group_language=true
22,Those people ruin our neighbourhood and make everything worse.,GENERIC,HATE_GROUP,has_hate_group_language=true
23,That group is taking over and we have to stop them.,GENERIC,HATE_GROUP,has_hate_group_language=true
24,People like them are not real humans.,GENERIC,HATE_GROUP,has_hate_group_language=true
25,Our town would be better if that group disappeared.,GENERIC,HATE_GROUP,has_hate_group_language=true
26,We should punch those kids because of where they are from.,GENERIC,HATE_GROUP,has_hate_group_language=true;has_violence_possibility=true
27,Someone should hurt that group so they learn their place.,GENERIC,HATE_GROUP,has_hate_group_language=true;has_violence_possibility=true
28,That group should be locked up just for being who they are.,GENERIC,HATE_GROUP,has_hate_group_language=true
29,I wish people like them would all disappear.,GENERIC,HATE_GROUP,has_hate_group_language=true
30,It would be good if none of that group lived here anymore.,GENERIC,HATE_GROUP,has_hate_group_language=true
31,I want to join a group that hates people from that religion.,BELIEF,HATE_GROUP,has_hate_group_language=true
32,My friend told me about a group that fights against that race and I think they are right.,GENERIC,HATE_GROUP,has_hate_group_language=true;has_violence_possibility=true
33,I support groups that want to keep people like them out of our country.,CIVIC_LAW,HATE_GROUP,has_hate_group_language=true
34,I like pages that make fun of that group and say they don't belong here.,GENERIC,HATE_GROUP,has_hate_group_language=true
35,I think groups that stand up against that minority are doing the right thing.,GENERIC,HATE_GROUP,has_hate_group_language=true
36,Those kids are losers and I don't want to sit with them at lunch.,GENERIC,BULLYING,has_bullying_involved=true
37,He is ugly and stupid and nobody likes him.,GENERIC,BULLYING,has_bullying_involved=true
38,I want to make fun of my classmate because of how they talk.,GENERIC,HATE_GROUP,has_hate_group_language=true;has_bullying_involved=true
39,My friends call me names every day and it makes me feel small.,GENERIC,BULLYING,has_emotional_distress=true;has_bullying_involved=true
40,They always laugh at my clothes and say I look poor.,GENERIC,BULLYING,has_bullying_involved=true
41,I feel sad because people in my class ignore me.,GENERIC,BULLYING,has_emotional_distress=true;has_bullying_involved=true
42,I am angry that my teacher did not pick me for the team.,GENERIC,EMOTIONAL,has_emotional_distress=true
43,I am worried that my friends are talking behind my back.,GENERIC,BULLYING,has_emotional_distress=true;has_bullying_involved=true
44,I feel left out when my friends go somewhere without me.,GENERIC,BULLYING,has_emotional_distress=true;has_bullying_involved=true
45,I am upset that people keep calling me weird.,GENERIC,BULLYING,has_emotional_distress=true;has_bullying_involved=true
46,What is racism?,FACT,NEUTRAL_FACT,
47,Why is it wrong to treat people badly because of their religion?,BELIEF,HATE_GROUP,has_hate_group_language=true
48,What are human rights?,CIVIC_LAW,NEUTRAL_FACT,
49,Why do some countries have laws against hate speech?,CIVIC_LAW,NEUTRAL_FACT,
50,How can I stand up for someone who is treated badly because of who they are?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
51,I want to learn how to make everyone feel welcome in our class.,GENERIC,GENERIC_INTENT,
52,How do I tell my friend that their joke about another group was hurtful?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true
53,Why do people say words can be harmful even if you are joking?,FACT,NEUTRAL_FACT,
54,What should I do if I see someone making hateful comments online?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true
55,Why is diversity in a classroom a good thing?,FACT,NEUTRAL_FACT,
56,My friend repeated a joke they heard online about a group but I don't know if it is hateful or just silly.,TECHNOLOGY,HATE_GROUP,has_hate_group_language=true
57,"Someone posted a meme about a religion and people laughed, but I felt uncomfortable.",TECHNOLOGY,HATE_GROUP,has_hate_group_language=true;has_emotional_distress=true
58,I heard kids in the hallway saying a rude word about another group but I don't know what it means.,GENERIC,AMBIGUOUS_RISK,has_ambiguous_risk=true
59,Someone said they don't like a certain group and I am not sure if that is hate or just an opinion.,GENERIC,AMBIGUOUS_RISK,has_ambiguous_risk=true
60,"A friend said a phrase that sounded harsh about a group, and I don't know if it's a slur.",GENERIC,AMBIGUOUS_RISK,has_ambiguous_risk=true
61,Someone joked that people from a certain place are all bad drivers and everyone laughed.,GENERIC,GENERIC_INTENT,
62,"In a game chat, players used a term for a group and I am not sure if it was meant as an insult.",TECHNOLOGY,AMBIGUOUS_RISK,has_ambiguous_risk=true
63,Someone said people from that group 'don't fit in here' and I don't know if that is hateful.,GENERIC,HATE_GROUP,has_hate_group_language=true
64,My friends use a nickname for a group and I am not sure if it is okay.,GENERIC,AMBIGUOUS_RISK,has_ambiguous_risk=true
65,I feel uncomfortable when people make comments about a certain group being strange.,GENERIC,EMOTIONAL,has_emotional_distress=true;has_ambiguous_risk=true
66,Some kids in class keep saying people from a certain religion are dangerous. Is that hate speech?,BELIEF,HATE_GROUP,has_hate_group_language=true
67,A player in voice chat kept insulting people from another country and saying they should not exist. Should moderators ban that?,TECHNOLOGY,HATE_GROUP,has_personal_direction=true;has_hate_group_language=true
68,Teenagers near my building keep targeting kids from one community with hateful jokes. Is that bullying or hate?,GENERIC,HATE_GROUP,has_hate_group_language=true;has_bullying_involved=true
69,Someone in our school group chat posted messages saying one race is evil. What should students do?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true
70,A student keeps calling another child slurs because of their religion. Should teachers step in immediately?,BELIEF,HATE_GROUP,has_personal_direction=true;has_hate_group_language=true;has_bullying_involved=true
71,Someone online posted hateful memes targeting immigrants. Is sharing that harmful?,TECHNOLOGY,HATE_GROUP,has_hate_group_language=true
72,Players on a team are excluding a child because of his ethnicity and making hateful comments. Is that discrimination?,GENERIC,HATE_GROUP,has_hate_group_language=true
73,Kids at lunch said people from one religion should not be allowed in school. Is that hate-group behavior?,BELIEF,HATE_GROUP,has_hate_group_language=true
74,A creator said one ethnic group ruins society and should be removed. Should platforms take it down?,TECHNOLOGY,HATE_GROUP,has_personal_direction=true;has_hate_group_language=true
75,Children keep mocking another student’s cultural clothing and telling him to go away. Is that hateful behavior?,GENERIC,HATE_GROUP,has_hate_group_language=true;has_bullying_involved=true
76,Some older kids said people from a certain country should never be trusted. Is that prejudice?,CIVIC_LAW,HATE_GROUP,has_hate_group_language=true
77,A gamer kept yelling hateful slurs about another player's race during a match. Should that be reported?,TECHNOLOGY,HATE_GROUP,has_personal_direction=true;has_hate_group_language=true;has_bullying_involved=true
78,Students threatened not to sit near a child because of his religion and mocked him loudly. Is that hateful targeting?,BELIEF,HATE_GROUP,has_hate_group_language=true;has_bullying_involved=true;has_violence_possibility=true
79,People in a forum keep saying one group of people is ruining the country. Is that extremist language?,TECHNOLOGY,HATE_GROUP,has_hate_group_language=true
80,Relatives kept making hateful comments about another religion during dinner. What should kids do?,BELIEF,HATE_GROUP,has_personal_direction=true;has_hate_group_language=true
81,A student said another race is naturally bad at learning. Is that hate speech?,GENERIC,HATE_GROUP,has_hate_group_language=true
82,Someone online keeps posting hateful messages against refugees. Should accounts like that be removed?,TECHNOLOGY,HATE_GROUP,has_personal_direction=true;has_hate_group_language=true
83,Kids laughed at another student’s accent and called people from his country stupid. Is that discrimination?,CIVIC_LAW,HATE_GROUP,has_hate_group_language=true;has_bullying_involved=true
84,My classmates refused to work with someone because of their religion. Is that unfair treatment?,BELIEF,HATE_GROUP,has_hate_group_language=true;has_bullying_involved=true
85,A player told another gamer that people from his ethnicity should disappear. Should adults know about this?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true
86,Teenagers were shouting hateful slogans targeting a religious group near younger kids. Is that dangerous?,BELIEF,HATE_GROUP,has_hate_group_language=true;has_bullying_involved=true
87,Someone sent hateful voice messages about immigrants in our group chat. Should screenshots be saved?,TECHNOLOGY,HATE_GROUP,has_personal_direction=true;has_hate_group_language=true
88,A student made jokes saying one religion should not be allowed in the country. Is that hateful behavior?,BELIEF,HATE_GROUP,has_hate_group_language=true
89,Fans at a game shouted slurs at players from another country. Should officials stop the match?,CIVIC_LAW,HATE_GROUP,has_personal_direction=true;has_hate_group_language=true;has_bullying_involved=true
90,A streamer encouraged viewers to hate people from a certain ethnicity. Is that extremist content?,TECHNOLOGY,HATE_GROUP,has_hate_group_language=true
91,Kids keep calling another student hateful names because of her skin color. Is that racism?,GENERIC,HATE_GROUP,has_hate_group_language=true;has_bullying_involved=true
