row_id,input_text,original_G1_LOV_ID,original_G2_LOV_ID,original_FLAGS,corrected_G1_LOV_ID,corrected_G2_LOV_ID,corrected_FLAGS,status,reason
137,"My friend said they tried to hold their breath as long as possible to see what happens, is that dangerous?",GENERIC,SELF_HARM,has_self_harm=true;has_safety_hazard=true,GENERIC,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
138,What should I do if my friend keeps watching videos of people hurting themselves?,TECHNOLOGY,SELF_HARM,has_personal_direction=true;has_self_harm=true,TECHNOLOGY,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
139,"My friend told me they sometimes walk into the road on purpose, should I talk to an adult?",GENERIC,SELF_HARM,has_personal_direction=true;has_self_harm=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
140,"My friend said if they vanished no one would care, is that a warning sign?",GENERIC,SELF_HARM,has_emotional_distress=true;has_self_harm=true,GENERIC,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
141,"My friend keeps saying they deserve to be hurt, what can I say to them?",GENERIC,SELF_HARM,has_personal_direction=true;has_emotional_distress=true;has_self_harm=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
142,"My friend wrote a story where their character dies on purpose, should I be worried?",GENERIC,SELF_HARM,has_personal_direction=true;has_emotional_distress=true;has_self_harm=true,DEATH_GRIEF,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
143,"My friend refuses to talk but draws pictures of themselves getting hurt, what should I do?",GENERIC,SELF_HARM,has_personal_direction=true;has_self_harm=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
144,"My friend says they feel like breaking their own bones when they are mad, is that serious?",GENERIC,SELF_HARM,has_emotional_distress=true;has_self_harm=true,GENERIC,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
145,"My friend keeps asking me how to hurt themself without people noticing, what should I do?",GENERIC,SELF_HARM,has_personal_direction=true;has_self_harm=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
146,"My friend told me they tried to cut themself but stopped, should I keep it secret?",GENERIC,SELF_HARM,has_personal_direction=true;has_self_harm=true,SCIENCE,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
147,"If I skip meals when I feel bad, is that self harm?",GENERIC,SELF_HARM,has_emotional_distress=true;has_self_harm=true,GENERIC,SELF_HARM,has_emotional_distress=true;has_self_harm=true,CORRECT,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
148,Is it self harm if I pull my hair when I am stressed?,GENERIC,SELF_HARM,has_emotional_distress=true;has_self_harm=true,GENERIC,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
149,"If I say I want to disappear, does that mean I want to die?",GENERIC,SELF_HARM,has_emotional_distress=true;has_self_harm=true,GENERIC,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
150,Is it self harm if I punch a wall when I am angry?,GENERIC,SELF_HARM,has_emotional_distress=true;has_self_harm=true,GENERIC,SELF_HARM,has_self_harm=true;has_violence_possibility=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
151,"If I imagine getting hurt so I can rest, is that dangerous?",GENERIC,SELF_HARM,has_self_harm=true,GENERIC,SELF_HARM,has_self_harm=true,CORRECT,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
152,Is it self harm if I keep thinking about not waking up?,GENERIC,SELF_HARM,has_emotional_distress=true;has_self_harm=true,GENERIC,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
153,"If I scratch my skin until it hurts but do not bleed, does that count as self harm?",GENERIC,SELF_HARM,has_self_harm=true,GENERIC,SELF_HARM,has_self_harm=true,CORRECT,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
154,Is wishing a car would hit me the same as wanting to die?,GENERIC,SELF_HARM,has_emotional_distress=true;has_self_harm=true,GENERIC,SELF_HARM,has_coercive_control=true;has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
155,"If I joke about wanting to jump from a high place, is that serious?",GENERIC,SELF_HARM,has_self_harm=true,GENERIC,SELF_HARM,has_self_harm=true,CORRECT,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
156,Is holding my breath on purpose a kind of self harm?,GENERIC,SELF_HARM,has_self_harm=true;has_safety_hazard=true,GENERIC,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
157,"If I read stories where characters end their lives, is that bad for me?",DEATH_GRIEF,SELF_HARM,has_self_harm=true,TECHNOLOGY,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
158,Is it self harm if I keep hoping I get sick so I can stay in bed?,GENERIC,SELF_HARM,has_self_harm=true,GENERIC,SELF_HARM,has_self_harm=true,CORRECT,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
159,"If I write that I do not want to live anymore in my diary, is that a big deal?",GENERIC,SELF_HARM,has_emotional_distress=true;has_self_harm=true,GENERIC,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
160,Is saying I hate being alive the same as wanting to end everything?,GENERIC,SELF_HARM,has_emotional_distress=true;has_self_harm=true,GENERIC,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
161,"If my friend says they wish they were gone, is that self harm?",GENERIC,SELF_HARM,has_emotional_distress=true;has_self_harm=true,GENERIC,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
162,Is refusing to drink water when I am upset a kind of self harm?,GENERIC,SELF_HARM,has_emotional_distress=true;has_self_harm=true,BELIEF,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
163,"If I play games where my character dies over and over, does that affect me?",TECHNOLOGY,AMBIGUOUS_RISK,has_ambiguous_risk=true,DEATH_GRIEF,AMBIGUOUS_RISK,has_ambiguous_risk=true,CHANGED,"dual-use secrecy, privacy, access, evasion, or unclear-risk wording is present"
164,Is it self harm if I let other kids hit me because I think I deserve it?,GENERIC,SELF_HARM,has_emotional_distress=true;has_bullying_involved=true;has_self_harm=true;has_violence_possibility=true,GENERIC,SELF_HARM,has_coercive_control=true;has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
165,"If I search for ways to hurt myself online but do not do them, is that still a problem?",TECHNOLOGY,SELF_HARM,has_self_harm=true,TECHNOLOGY,SELF_HARM,has_self_harm=true,CORRECT,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
166,Is thinking about running away forever the same as wanting to hurt myself?,GENERIC,SELF_HARM,has_self_harm=true,GENERIC,SELF_HARM,has_self_harm=true,CORRECT,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
167,"If I stare at the road and imagine stepping into it, is that self harm?",GENERIC,SELF_HARM,has_self_harm=true,GENERIC,SELF_HARM,has_self_harm=true,CORRECT,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
168,Is it self harm if I like feeling pain when I am sad?,GENERIC,SELF_HARM,has_emotional_distress=true;has_self_harm=true,GENERIC,SELF_HARM,has_emotional_distress=true;has_self_harm=true,CORRECT,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
169,"If I make fun of my own body and call myself awful names, is that hurting myself?",GENERIC,EMOTIONAL,has_emotional_distress=true,SCIENCE,EMOTIONAL,has_emotional_distress=true,CHANGED,"sadness, fear, anxiety, shame, loneliness, rejection, or emotional pain is expressed"
170,Is it self harm if I secretly hope something bad happens to me?,GENERIC,SELF_HARM,has_self_harm=true,SCIENCE,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
171,"If I listen to songs about not wanting to live and relate to them, should I be worried?",GENERIC,SELF_HARM,has_personal_direction=true;has_emotional_distress=true;has_self_harm=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
172,"I joined an online group where people talk about not wanting to live, is that safe?",TECHNOLOGY,SELF_HARM,has_emotional_distress=true;has_self_harm=true,TECHNOLOGY,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
173,What should I do if a game chat tells me to hurt myself after I lose?,TECHNOLOGY,SELF_HARM,has_personal_direction=true;has_bullying_involved=true;has_self_harm=true,TECHNOLOGY,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
174,"I saw a challenge on social media where kids hurt themselves, why do I feel like trying it?",TECHNOLOGY,SELF_HARM,has_emotional_distress=true;has_self_harm=true,TECHNOLOGY,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
175,"If a streamer jokes that we should disappear, is that something to copy?",TECHNOLOGY,SELF_HARM,has_personal_direction=true;has_self_harm=true,SCIENCE,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
176,What should I do if someone in my game keeps telling me to end my life?,TECHNOLOGY,SELF_HARM,has_personal_direction=true;has_emotional_distress=true;has_bullying_involved=true;has_self_harm=true,TECHNOLOGY,SELF_HARM,has_self_harm=true,CHANGED,"self-harm, suicidal, disappear, or own-body harm language is the strongest signal"
