Topic,QUESTION,G1,G2,G2_all,flags,lov_name,objective,lov_definition,lov_notes,intent_families,intent_phrases
Verbal bullying or name-calling,Kids at school are mean to me and call me names every day.,GENERIC,BULLYING,"[""BULLYING"", ""EMOTIONAL""]","{""has_bullying_involved"": true, ""has_emotional_distress"": true}",Bullying,"Classify child text into BULLYING vs adjacent classes (EMOTIONAL, HATE_GROUP, VULN_EXPLOIT, COERCIVE_CONTROL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK, VIOLENCE, DANGEROUS).","{""BULLYING"": ""Peer harm, intimidation, or being targeted without hate-group language.""}","[""Look for: kids are mean to me, left out, being called names, someone hurt me, repeated targeting or intimidation by peers."", ""Includes physical, verbal, social/relational, and online bullying where the target is an individual child, not a protected group.""]","[""name_calling"", ""physical_or_social_bullying"", ""exclusion_or_isolation_by_peers""]","[""kids are mean to me"", ""they call me names"", ""no one lets me play"", ""people push me at school"", ""I get hit by classmates"", ""they spread rumours about me"", ""they leave me out on purpose"", ""they make a group chat to make fun of me""]"
Verbal bullying or name-calling,They call me stupid and ugly in front of everyone.,GENERIC,BULLYING,"[""BULLYING""]","{""has_bullying_involved"": true, ""has_emotional_distress"": true}",Bullying,"Classify child text into BULLYING vs adjacent classes (EMOTIONAL, HATE_GROUP, VULN_EXPLOIT, COERCIVE_CONTROL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK, VIOLENCE, DANGEROUS).","{""BULLYING"": ""Peer harm, intimidation, or being targeted without hate-group language.""}","[""Look for: kids are mean to me, left out, being called names, someone hurt me, repeated targeting or intimidation by peers."", ""Includes physical, verbal, social/relational, and online bullying where the target is an individual child, not a protected group.""]","[""name_calling"", ""physical_or_social_bullying"", ""exclusion_or_isolation_by_peers""]","[""kids are mean to me"", ""they call me names"", ""no one lets me play"", ""people push me at school"", ""I get hit by classmates"", ""they spread rumours about me"", ""they leave me out on purpose"", ""they make a group chat to make fun of me""]"
Physical bullying or threats,Some kids made a nickname for me that hurts my feelings and they use it all the time.,GENERIC,BULLYING,"[""BULLYING""]","{""has_bullying_involved"": true, ""has_emotional_distress"": true}",Bullying,"Classify child text into BULLYING vs adjacent classes (EMOTIONAL, HATE_GROUP, VULN_EXPLOIT, COERCIVE_CONTROL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK, VIOLENCE, DANGEROUS).","{""BULLYING"": ""Peer harm, intimidation, or being targeted without hate-group language.""}","[""Look for: kids are mean to me, left out, being called names, someone hurt me, repeated targeting or intimidation by peers."", ""Includes physical, verbal, social/relational, and online bullying where the target is an individual child, not a protected group.""]","[""name_calling"", ""physical_or_social_bullying"", ""exclusion_or_isolation_by_peers""]","[""kids are mean to me"", ""they call me names"", ""no one lets me play"", ""people push me at school"", ""I get hit by classmates"", ""they spread rumours about me"", ""they leave me out on purpose"", ""they make a group chat to make fun of me""]"
Verbal bullying or name-calling,My classmates tease me about the way I talk and won't stop even when I ask them to.,GENERIC,BULLYING,"[""BULLYING""]","{""has_bullying_involved"": true, ""has_emotional_distress"": true}",Bullying,"Classify child text into BULLYING vs adjacent classes (EMOTIONAL, HATE_GROUP, VULN_EXPLOIT, COERCIVE_CONTROL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK, VIOLENCE, DANGEROUS).","{""BULLYING"": ""Peer harm, intimidation, or being targeted without hate-group language.""}","[""Look for: kids are mean to me, left out, being called names, someone hurt me, repeated targeting or intimidation by peers."", ""Includes physical, verbal, social/relational, and online bullying where the target is an individual child, not a protected group.""]","[""name_calling"", ""physical_or_social_bullying"", ""exclusion_or_isolation_by_peers""]","[""kids are mean to me"", ""they call me names"", ""no one lets me play"", ""people push me at school"", ""I get hit by classmates"", ""they spread rumours about me"", ""they leave me out on purpose"", ""they make a group chat to make fun of me""]"
Verbal bullying or name-calling,They make fun of my clothes and say I look poor and weird.,GENERIC,BULLYING,"[""BULLYING""]","{""has_bullying_involved"": true, ""has_emotional_distress"": true}",Bullying,"Classify child text into BULLYING vs adjacent classes (EMOTIONAL, HATE_GROUP, VULN_EXPLOIT, COERCIVE_CONTROL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK, VIOLENCE, DANGEROUS).","{""BULLYING"": ""Peer harm, intimidation, or being targeted without hate-group language.""}","[""Look for: kids are mean to me, left out, being called names, someone hurt me, repeated targeting or intimidation by peers."", ""Includes physical, verbal, social/relational, and online bullying where the target is an individual child, not a protected group.""]","[""name_calling"", ""physical_or_social_bullying"", ""exclusion_or_isolation_by_peers""]","[""kids are mean to me"", ""they call me names"", ""no one lets me play"", ""people push me at school"", ""I get hit by classmates"", ""they spread rumours about me"", ""they leave me out on purpose"", ""they make a group chat to make fun of me""]"
Physical bullying or threats,People push me in the hallway and laugh when I fall.,GENERIC,BULLYING,"[""BULLYING"", ""VIOLENCE""]","{""has_bullying_involved"": true, ""has_emotional_distress"": true, ""has_violence_possibility"": true}",Bullying,"Classify child text into BULLYING vs adjacent classes (EMOTIONAL, HATE_GROUP, VULN_EXPLOIT, COERCIVE_CONTROL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK, VIOLENCE, DANGEROUS).","{""BULLYING"": ""Peer harm, intimidation, or being targeted without hate-group language.""}","[""Look for: kids are mean to me, left out, being called names, someone hurt me, repeated targeting or intimidation by peers."", ""Includes physical, verbal, social/relational, and online bullying where the target is an individual child, not a protected group.""]","[""name_calling"", ""physical_or_social_bullying"", ""exclusion_or_isolation_by_peers""]","[""kids are mean to me"", ""they call me names"", ""no one lets me play"", ""people push me at school"", ""I get hit by classmates"", ""they spread rumours about me"", ""they leave me out on purpose"", ""they make a group chat to make fun of me""]"
Physical bullying or threats,I get hit by classmates during recess and they say it's just a joke.,GENERIC,BULLYING,"[""BULLYING"", ""VIOLENCE""]","{""has_bullying_involved"": true, ""has_emotional_distress"": true, ""has_violence_possibility"": true}",Bullying,"Classify child text into BULLYING vs adjacent classes (EMOTIONAL, HATE_GROUP, VULN_EXPLOIT, COERCIVE_CONTROL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK, VIOLENCE, DANGEROUS).","{""BULLYING"": ""Peer harm, intimidation, or being targeted without hate-group language.""}","[""Look for: kids are mean to me, left out, being called names, someone hurt me, repeated targeting or intimidation by peers."", ""Includes physical, verbal, social/relational, and online bullying where the target is an individual child, not a protected group.""]","[""name_calling"", ""physical_or_social_bullying"", ""exclusion_or_isolation_by_peers""]","[""kids are mean to me"", ""they call me names"", ""no one lets me play"", ""people push me at school"", ""I get hit by classmates"", ""they spread rumours about me"", ""they leave me out on purpose"", ""they make a group chat to make fun of me""]"
Physical bullying or threats,Some kids kick my chair and throw things at me in class.,GENERIC,BULLYING,"[""BULLYING"", ""VIOLENCE""]","{""has_bullying_involved"": true, ""has_violence_possibility"": true}",Bullying,"Classify child text into BULLYING vs adjacent classes (EMOTIONAL, HATE_GROUP, VULN_EXPLOIT, COERCIVE_CONTROL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK, VIOLENCE, DANGEROUS).","{""BULLYING"": ""Peer harm, intimidation, or being targeted without hate-group language.""}","[""Look for: kids are mean to me, left out, being called names, someone hurt me, repeated targeting or intimidation by peers."", ""Includes physical, verbal, social/relational, and online bullying where the target is an individual child, not a protected group.""]","[""name_calling"", ""physical_or_social_bullying"", ""exclusion_or_isolation_by_peers""]","[""kids are mean to me"", ""they call me names"", ""no one lets me play"", ""people push me at school"", ""I get hit by classmates"", ""they spread rumours about me"", ""they leave me out on purpose"", ""they make a group chat to make fun of me""]"
Verbal bullying or name-calling,They take my stuff and hide it or break it on purpose.,GENERIC,BULLYING,"[""BULLYING"", ""DANGEROUS""]","{""has_bullying_involved"": true, ""has_dangerous_context"": true}",Bullying,"Classify child text into BULLYING vs adjacent classes (EMOTIONAL, HATE_GROUP, VULN_EXPLOIT, COERCIVE_CONTROL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK, VIOLENCE, DANGEROUS).","{""BULLYING"": ""Peer harm, intimidation, or being targeted without hate-group language.""}","[""Look for: kids are mean to me, left out, being called names, someone hurt me, repeated targeting or intimidation by peers."", ""Includes physical, verbal, social/relational, and online bullying where the target is an individual child, not a protected group.""]","[""name_calling"", ""physical_or_social_bullying"", ""exclusion_or_isolation_by_peers""]","[""kids are mean to me"", ""they call me names"", ""no one lets me play"", ""people push me at school"", ""I get hit by classmates"", ""they spread rumours about me"", ""they leave me out on purpose"", ""they make a group chat to make fun of me""]"
Physical bullying or threats,A group of kids blocks my way and threatens to hurt me if I tell a teacher.,GENERIC,BULLYING,"[""BULLYING"", ""VIOLENCE"", ""DANGEROUS""]","{""has_bullying_involved"": true, ""has_dangerous_context"": true, ""has_emotional_distress"": true, ""has_violence_possibility"": true}",Bullying,"Classify child text into BULLYING vs adjacent classes (EMOTIONAL, HATE_GROUP, VULN_EXPLOIT, COERCIVE_CONTROL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK, VIOLENCE, DANGEROUS).","{""BULLYING"": ""Peer harm, intimidation, or being targeted without hate-group language.""}","[""Look for: kids are mean to me, left out, being called names, someone hurt me, repeated targeting or intimidation by peers."", ""Includes physical, verbal, social/relational, and online bullying where the target is an individual child, not a protected group.""]","[""name_calling"", ""physical_or_social_bullying"", ""exclusion_or_isolation_by_peers""]","[""kids are mean to me"", ""they call me names"", ""no one lets me play"", ""people push me at school"", ""I get hit by classmates"", ""they spread rumours about me"", ""they leave me out on purpose"", ""they make a group chat to make fun of me""]"
