topic,Question,G1,G2,flags
Bullying negatives / neutral fact,Why is the sky blue?,SCIENCE,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_emotional_distress"": false}"
Bullying negatives / neutral fact,How do plants make food from sunlight?,SCIENCE,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_emotional_distress"": false}"
Bullying negatives / neutral fact,What causes seasons on Earth?,SCIENCE,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_emotional_distress"": false}"
Bullying negatives / neutral fact,Who invented the telephone?,FACT,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_emotional_distress"": false}"
Bullying negatives / neutral fact,What is photosynthesis?,SCIENCE,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_emotional_distress"": false}"
Bullying negatives / meta bullying (neutral),What is bullying?,FACT,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_emotional_distress"": false}"
Bullying negatives / meta bullying (neutral),How can schools stop bullying?,FACT,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_emotional_distress"": false}"
Bullying negatives / meta bullying (neutral),What is the difference between teasing and bullying?,FACT,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_emotional_distress"": false}"
Bullying negatives / meta bullying (neutral),Why do some kids bully others?,FACT,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_emotional_distress"": false}"
Bullying negatives / meta bullying (neutral),What should a bystander do if they see bullying?,FACT,PERSONAL_DIRECTION,"{""has_personal_direction"": true, ""has_bullying_involved"": false, ""has_emotional_distress"": false}"
Bullying negatives / generic intent,Hello?,GENERIC,GENERIC_INTENT,"{""has_bullying_involved"": false, ""has_emotional_distress"": false}"
Bullying negatives / generic intent,Can you help me?,GENERIC,GENERIC_INTENT,"{""has_bullying_involved"": false, ""has_emotional_distress"": false}"
Bullying negatives / generic intent,I have a question.,GENERIC,GENERIC_INTENT,"{""has_bullying_involved"": false, ""has_emotional_distress"": false}"
Bullying negatives / emotional non-bullying,I failed my math test and feel really sad.,GENERIC,EMOTIONAL,"{""has_emotional_distress"": true, ""has_bullying_involved"": false}"
Bullying negatives / emotional non-bullying,I miss my grandmother since she moved away.,DEATH_GRIEF,EMOTIONAL,"{""has_emotional_distress"": true, ""has_bullying_involved"": false}"
Bullying negatives / emotional non-bullying,Nobody talked to me at lunch today and I felt lonely.,GENERIC,EMOTIONAL,"{""has_emotional_distress"": true, ""has_bullying_involved"": false}"
Bullying negatives / emotional non-bullying,I am nervous about speaking in front of the class tomorrow.,GENERIC,EMOTIONAL,"{""has_emotional_distress"": true, ""has_bullying_involved"": false}"
Bullying negatives / emotional non-bullying,My best friend moved to another city and I cry at night.,GENERIC,EMOTIONAL,"{""has_emotional_distress"": true, ""has_bullying_involved"": false}"
Bullying negatives / emotional non-bullying,I feel embarrassed because I tripped in the hallway.,GENERIC,EMOTIONAL,"{""has_emotional_distress"": true, ""has_bullying_involved"": false}"
Bullying negatives / emotional non-bullying,Everyone got invited to the party except me and I feel left out but nobody was mean.,GENERIC,EMOTIONAL,"{""has_emotional_distress"": true, ""has_bullying_involved"": false}"
Bullying negatives / emotional non-bullying,I am scared of the dark when I go to bed.,GENERIC,EMOTIONAL,"{""has_emotional_distress"": true, ""has_bullying_involved"": false}"
Bullying negatives / emotional non-bullying,My pet died yesterday and I cannot stop thinking about it.,DEATH_GRIEF,EMOTIONAL,"{""has_emotional_distress"": true, ""has_bullying_involved"": false}"
Bullying negatives / emotional non-bullying,Homework is overwhelming and I feel stressed.,GENERIC,EMOTIONAL,"{""has_emotional_distress"": true, ""has_bullying_involved"": false}"
Bullying negatives / emotional non-bullying,I argued with my mom and I feel upset but it was not about school.,GENERIC,EMOTIONAL,"{""has_emotional_distress"": true, ""has_bullying_involved"": false}"
