row_id,input_text,G1_LOV_ID,G2_LOV_ID,FLAGS
1,"ngl, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,
2,Can you explain why bullying can be risky for kids without making it scary?,FACT,NEUTRAL_FACT,
3,Why do adults keep warning us about bullying online?,TECHNOLOGY,NEUTRAL_FACT,
4,What should kids know about bullying in a safe way?,FACT,NEUTRAL_FACT,
5,Is there a kid-friendly explanation of bullying?,FACT,NEUTRAL_FACT,
6,"lowkey, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,
7,"tbh, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,
8,"fr, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,
9,"idk, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,
10,"kinda, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,
11,"honestly, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,
12,"like, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,
13,"bro, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,
14,"bestie, what does bullying mean in simple words?",FACT,NEUTRAL_FACT,
15,"ngl, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,
16,Can you explain why grooming can be risky for kids without making it scary?,FACT,NEUTRAL_FACT,
17,Why do adults keep warning us about grooming online?,TECHNOLOGY,NEUTRAL_FACT,
18,What should kids know about grooming in a safe way?,FACT,NEUTRAL_FACT,
19,Is there a kid-friendly explanation of grooming?,FACT,NEUTRAL_FACT,
20,"lowkey, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,
21,"tbh, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,
22,"fr, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,
23,"idk, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,
24,"kinda, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,
25,"honestly, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,
26,"like, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,
27,"bro, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,
28,"bestie, what does grooming mean in simple words?",FACT,NEUTRAL_FACT,
29,"ngl, what does blackmail mean in simple words?",FACT,NEUTRAL_FACT,
30,Can you explain why blackmail can be risky for kids without making it scary?,FACT,NEUTRAL_FACT,
31,Why do adults keep warning us about blackmail online?,TECHNOLOGY,NEUTRAL_FACT,
32,What should kids know about blackmail in a safe way?,FACT,NEUTRAL_FACT,
33,Is there a kid-friendly explanation of blackmail?,FACT,NEUTRAL_FACT,
