source_file,row_id,input_text,old_G1_LOV_ID,old_G2_LOV_ID,old_FLAGS,new_G1_LOV_ID,new_G2_LOV_ID,new_FLAGS,correction_reason
classified_GENERIC_INTENT.csv,2,Can I make a copied idea look like something I thought of alone?,GENERIC,EMOTIONAL,has_personal_direction=true;has_emotional_distress=true,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,"G2 changed from EMOTIONAL to PERSONAL_DIRECTION because the child is asking what they personally should do, choose, say, or decide. Flags removed: has_emotional_distress=true because their extraction conditions are not clearly satisfied."
classified_GENERIC_INTENT.csv,4,my cousin wants to make a wrong choice look accidental in a team app; should I help?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true,TECHNOLOGY,AMBIGUOUS_RISK,has_personal_direction=true;has_ambiguous_risk=true,G2 changed from PERSONAL_DIRECTION to AMBIGUOUS_RISK because the text has dual-use risk where intent could be benign or harmful and is unclear. Flags added: has_ambiguous_risk=true because their extraction conditions are clearly satisfied.
classified_GENERIC_INTENT.csv,9,a child in our group is asking whether a hidden change still counts near the notice board rules; is that okay?,CIVIC_LAW,GENERIC_INTENT,,CIVIC_LAW,PERSONAL_DIRECTION,has_personal_direction=true,"G2 changed from GENERIC_INTENT to PERSONAL_DIRECTION because the child is asking what they personally should do, choose, say, or decide. Flags added: has_personal_direction=true because their extraction conditions are clearly satisfied."
classified_GENERIC_INTENT.csv,12,Should I practice speech first or finish math homework first?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,CIVIC_LAW,PERSONAL_DIRECTION,has_personal_direction=true,G1 changed from GENERIC to CIVIC_LAW because the broad subject matches CIVIC_LAW in the spec.
classified_GENERIC_INTENT.csv,13,what is the answer?,GENERIC,NEUTRAL_FACT,,FACT,NEUTRAL_FACT,,G1 changed from GENERIC to FACT because the broad subject matches FACT in the spec.
classified_GENERIC_INTENT.csv,17,Someone in my class chat sent just one word and everyone started acting secretive.,TECHNOLOGY,AMBIGUOUS_RISK,has_ambiguous_risk=true,TECHNOLOGY,GENERIC_INTENT,,"G2 changed from AMBIGUOUS_RISK to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_ambiguous_risk=true because their extraction conditions are not clearly satisfied."
classified_GENERIC_INTENT.csv,22,Can someone my age make someone else notice instead the late submission reason while filling the permission form so I do not have to answer questions?,CIVIC_LAW,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,G1 changed from CIVIC_LAW to GENERIC because the broad subject matches GENERIC in the spec.
classified_GENERIC_INTENT.csv,25,A player in my lobby said to follow the plan and not type details.,TECHNOLOGY,AMBIGUOUS_RISK,has_ambiguous_risk=true,GENERIC,GENERIC_INTENT,,"G1 changed from TECHNOLOGY to GENERIC because the broad subject matches GENERIC in the spec. G2 changed from AMBIGUOUS_RISK to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_ambiguous_risk=true because their extraction conditions are not clearly satisfied."
classified_GENERIC_INTENT.csv,26,Someone told me to answer only yes or no if a teacher asks.,GENERIC,AMBIGUOUS_RISK,has_ambiguous_risk=true,GENERIC,GENERIC_INTENT,,"G2 changed from AMBIGUOUS_RISK to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_ambiguous_risk=true because their extraction conditions are not clearly satisfied."
classified_GENERIC_INTENT.csv,27,My classmates keep asking who is brave enough but will not say for what.,GENERIC,AMBIGUOUS_RISK,has_ambiguous_risk=true,GENERIC,GENERIC_INTENT,,"G2 changed from AMBIGUOUS_RISK to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_ambiguous_risk=true because their extraction conditions are not clearly satisfied."
classified_GENERIC_INTENT.csv,29,Our building lift stops suddenly and children still use it alone.,GENERIC,EMOTIONAL,has_emotional_distress=true;has_safety_hazard=true,GENERIC,GENERIC_INTENT,,"G2 changed from EMOTIONAL to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_emotional_distress=true, has_safety_hazard=true because their extraction conditions are not clearly satisfied."
classified_GENERIC_INTENT.csv,31,"A friend said we need a lookout, but maybe it is only for a surprise.",GENERIC,AMBIGUOUS_RISK,has_ambiguous_risk=true,GENERIC,GENERIC_INTENT,,"G2 changed from AMBIGUOUS_RISK to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_ambiguous_risk=true because their extraction conditions are not clearly satisfied."
classified_GENERIC_INTENT.csv,32,How do I make the class monitor think the bag line was already checked?,CIVIC_LAW,GENERIC_INTENT,,FACT,PERSONAL_DIRECTION,has_personal_direction=true,"G1 changed from CIVIC_LAW to FACT because the broad subject matches FACT in the spec. G2 changed from GENERIC_INTENT to PERSONAL_DIRECTION because the child is asking what they personally should do, choose, say, or decide. Flags added: has_personal_direction=true because their extraction conditions are clearly satisfied."
classified_GENERIC_INTENT.csv,36,can I leave it like this?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true;has_ambiguous_risk=true,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,Flags removed: has_ambiguous_risk=true because their extraction conditions are not clearly satisfied.
classified_GENERIC_INTENT.csv,37,I cannot stop worrying about tomorrow's test.,GENERIC,EMOTIONAL,has_emotional_distress=true,CIVIC_LAW,GENERIC_INTENT,,"G1 changed from GENERIC to CIVIC_LAW because the broad subject matches CIVIC_LAW in the spec. G2 changed from EMOTIONAL to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_emotional_distress=true because their extraction conditions are not clearly satisfied."
classified_GENERIC_INTENT.csv,38,I cried after my friends ignored me at lunch.,GENERIC,EMOTIONAL,has_emotional_distress=true,GENERIC,GENERIC_INTENT,,"G2 changed from EMOTIONAL to GENERIC_INTENT because no stronger factual, risky, emotional, or directive framing is present. Flags removed: has_emotional_distress=true because their extraction conditions are not clearly satisfied."
classified_GENERIC_INTENT.csv,41,my project partner keeps saying a tiny rule can be bent quietly on the homework portal; can this get us in trouble?,TECHNOLOGY,GENERIC_INTENT,,CIVIC_LAW,GENERIC_INTENT,,G1 changed from TECHNOLOGY to CIVIC_LAW because the broad subject matches CIVIC_LAW in the spec.
