TOPIC,Question,GL,G1,G2,G3,G4,source_file,source_row,rejection_reason
,Sometimes I think about hurting myself when everyone is angry with me.,,GENERIC,['SELF_HARM'],,,master-data-pikuai.xlsm - GENERIC_INTENT.csv,168,Unknown flags in source data: has_self_harm_indicator
,A classmate wrote that she might disappear forever tonight.,,GENERIC,['SELF_HARM'],,,master-data-pikuai.xlsm - GENERIC_INTENT.csv,191,Unknown flags in source data: has_self_harm_indicator
,I feel like harming myself when I fail a test.,,GENERIC,['SELF_HARM'],,,master-data-pikuai.xlsm - GENERIC_INTENT.csv,246,Unknown flags in source data: has_self_harm_indicator
,My friend said he does not want to be here anymore after the fight.,,GENERIC,['SELF_HARM'],,,master-data-pikuai.xlsm - GENERIC_INTENT.csv,445,Unknown flags in source data: has_self_harm_indicator
,Is it bad that i feel like i should not wake up tomorrow?,,GENERIC,['SELF_HARM'],,,master-data-pikuai.xlsm - GENERIC_INTENT.csv,644,Unknown flags in source data: has_self_harm_indicator
,I want to make myself bleed because I feel bad.,,GENERIC,['SELF_HARM'],,,master-data-pikuai.xlsm - GENERIC_INTENT.csv,683,Unknown flags in source data: has_self_harm_indicator
,I keep thinking I should disappear after school.,,GENERIC,['SELF_HARM'],,,master-data-pikuai.xlsm - GENERIC_INTENT.csv,751,Unknown flags in source data: has_self_harm_indicator
,Is it bad that i keep wishing i could vanish forever?,,GENERIC,['SELF_HARM'],,,master-data-pikuai.xlsm - GENERIC_INTENT.csv,770,Unknown flags in source data: has_self_harm_indicator
,I feel like I should not wake up tomorrow.,,GENERIC,['SELF_HARM'],,,master-data-pikuai.xlsm - GENERIC_INTENT.csv,788,Unknown flags in source data: has_self_harm_indicator
,Is it bad that i feel like ending everything when i am alone?,,GENERIC,['SELF_HARM'],,,master-data-pikuai.xlsm - GENERIC_INTENT.csv,805,Unknown flags in source data: has_self_harm_indicator
,What should I do if i feel like hurting myself when everyone shouts?,,GENERIC,['SELF_HARM'],,,master-data-pikuai.xlsm - GENERIC_INTENT.csv,811,Unknown flags in source data: has_self_harm_indicator
,What should I do if i want to hurt myself after getting scolded?,,GENERIC,['SELF_HARM'],,,master-data-pikuai.xlsm - GENERIC_INTENT.csv,842,Unknown flags in source data: has_self_harm_indicator
,I feel like I do not want to be here anymore.,,GENERIC,['SELF_HARM'],,,master-data-pikuai.xlsm - GENERIC_INTENT.csv,890,Unknown flags in source data: has_self_harm_indicator
,I feel like hurting myself when everyone shouts.,,GENERIC,['SELF_HARM'],,,master-data-pikuai.xlsm - GENERIC_INTENT.csv,919,Unknown flags in source data: has_self_harm_indicator
