metric,value
file_name,corrected_classified_PERSONAL_DIRECTION.csv
total_non_empty_input_rows,476
rows_changed_any_field,430
rows_unchanged_all_fields,46
rows_with_removed_invalid_has_personal_direction_flag,384
corrected_G2_count_PERSONAL_DIRECTION,290
corrected_G2_count_EMOTIONAL,75
corrected_G2_count_NEUTRAL_FACT,46
corrected_G2_count_GENERIC_INTENT,20
corrected_G2_count_BULLYING,17
corrected_G2_count_GROOMING,12
corrected_G2_count_COERCIVE_CONTROL,11
corrected_G2_count_DANGEROUS,1
corrected_G2_count_AMBIGUOUS_RISK,1
corrected_G2_count_VULN_EXPLOIT,1
corrected_G2_count_UNSAFE_SEXUAL_CONTENT,1
corrected_G2_count_VIOLENCE,1
corrected_G1_count_GENERIC,238
corrected_G1_count_TECHNOLOGY,120
corrected_G1_count_FACT,70
corrected_G1_count_CIVIC_LAW,28
corrected_G1_count_SCIENCE,16
corrected_G1_count_BELIEF,3
corrected_G1_count_DEATH_GRIEF,1
