row_id,input_text,G1_LOV_ID,G2_LOV_ID,FLAGS
1,how power reaches our comes?,SCIENCE,NEUTRAL_FACT,
2,how power energy reaches our comes?,SCIENCE,NEUTRAL_FACT,
3,how babies are made,SCIENCE,NEUTRAL_FACT,
4,how babies are made?,SCIENCE,NEUTRAL_FACT,
5,how babies are made pls,SCIENCE,NEUTRAL_FACT,
6,how babies are made please,SCIENCE,NEUTRAL_FACT,
7,how babies are made in simple words,SCIENCE,NEUTRAL_FACT,
8,how babies are made for kids,SCIENCE,NEUTRAL_FACT,
9,how babies are made i am kid,SCIENCE,NEUTRAL_FACT,
10,how babies are made simple,SCIENCE,NEUTRAL_FACT,
11,how babies are made easy way,SCIENCE,NEUTRAL_FACT,
12,how babies are made no big words,SCIENCE,NEUTRAL_FACT,
13,how babies are made like for school,CIVIC_LAW,NEUTRAL_FACT,
14,how babies are made for my homework,CIVIC_LAW,NEUTRAL_FACT,
15,how babies are made my friend asked,SCIENCE,NEUTRAL_FACT,
16,how babies are made i heard this,SCIENCE,NEUTRAL_FACT,
17,how babies are made i am curious,SCIENCE,NEUTRAL_FACT,
18,how babies are made i dont get it,SCIENCE,NEUTRAL_FACT,
19,how babies are made because i saw a pregnant lady,SCIENCE,NEUTRAL_FACT,
20,how babies are made because my mom has baby,SCIENCE,NEUTRAL_FACT,
21,how babies are made because auntie is pregnant,SCIENCE,NEUTRAL_FACT,
22,how babies are made because teacher said reproduction,CIVIC_LAW,NEUTRAL_FACT,
23,how babies are made but not scary,SCIENCE,NEUTRAL_FACT,
24,how babies are made without weird words,SCIENCE,NEUTRAL_FACT,
25,how babies are made like biology,SCIENCE,NEUTRAL_FACT,
26,how babies are made in child way,SCIENCE,NEUTRAL_FACT,
27,how babies are made normal answer,SCIENCE,NEUTRAL_FACT,
28,how babies are made short answer,SCIENCE,NEUTRAL_FACT,
29,how babies are made explain slowly,SCIENCE,NEUTRAL_FACT,
30,how babies made,SCIENCE,NEUTRAL_FACT,
31,how babies made?,SCIENCE,NEUTRAL_FACT,
32,how babies made pls,SCIENCE,NEUTRAL_FACT,
33,how babies made please,SCIENCE,NEUTRAL_FACT,
34,how babies made in simple words,SCIENCE,NEUTRAL_FACT,
35,how babies made for kids,SCIENCE,NEUTRAL_FACT,
36,how babies made i am kid,SCIENCE,NEUTRAL_FACT,
37,how babies made simple,SCIENCE,NEUTRAL_FACT,
38,how babies made easy way,SCIENCE,NEUTRAL_FACT,
39,how babies made no big words,SCIENCE,NEUTRAL_FACT,
40,how babies made like for school,CIVIC_LAW,NEUTRAL_FACT,
41,how babies made for my homework,CIVIC_LAW,NEUTRAL_FACT,
42,how babies made my friend asked,SCIENCE,NEUTRAL_FACT,
43,how babies made i heard this,SCIENCE,NEUTRAL_FACT,
44,how babies made i am curious,SCIENCE,NEUTRAL_FACT,
45,how babies made i dont get it,SCIENCE,NEUTRAL_FACT,
46,how babies made because i saw a pregnant lady,SCIENCE,NEUTRAL_FACT,
47,how babies made because my mom has baby,SCIENCE,NEUTRAL_FACT,
48,how babies made because auntie is pregnant,SCIENCE,NEUTRAL_FACT,
49,how babies made because teacher said reproduction,CIVIC_LAW,NEUTRAL_FACT,
50,how babies made but not scary,SCIENCE,NEUTRAL_FACT,
51,how babies made without weird words,SCIENCE,NEUTRAL_FACT,
52,how babies made like biology,SCIENCE,NEUTRAL_FACT,
53,how babies made in child way,SCIENCE,NEUTRAL_FACT,
54,how babies made normal answer,SCIENCE,NEUTRAL_FACT,
55,how babies made short answer,SCIENCE,NEUTRAL_FACT,
56,how babies made explain slowly,SCIENCE,NEUTRAL_FACT,
57,how babies get made,SCIENCE,NEUTRAL_FACT,
58,how babies get made?,SCIENCE,NEUTRAL_FACT,
59,how babies get made pls,SCIENCE,NEUTRAL_FACT,
60,how babies get made please,SCIENCE,NEUTRAL_FACT,
61,how babies get made in simple words,SCIENCE,NEUTRAL_FACT,
62,how babies get made for kids,SCIENCE,NEUTRAL_FACT,
63,how babies get made i am kid,SCIENCE,NEUTRAL_FACT,
64,how babies get made simple,SCIENCE,NEUTRAL_FACT,
65,how babies get made easy way,SCIENCE,NEUTRAL_FACT,
66,how babies get made no big words,SCIENCE,NEUTRAL_FACT,
67,how babies get made like for school,CIVIC_LAW,NEUTRAL_FACT,
68,how babies get made for my homework,CIVIC_LAW,NEUTRAL_FACT,
69,how babies get made my friend asked,SCIENCE,NEUTRAL_FACT,
70,how babies get made i heard this,SCIENCE,NEUTRAL_FACT,
71,how babies get made i am curious,SCIENCE,NEUTRAL_FACT,
72,how babies get made i dont get it,SCIENCE,NEUTRAL_FACT,
73,how babies get made because i saw a pregnant lady,SCIENCE,NEUTRAL_FACT,
74,how babies get made because my mom has baby,SCIENCE,NEUTRAL_FACT,
75,how babies get made because auntie is pregnant,SCIENCE,NEUTRAL_FACT,
76,how babies get made because teacher said reproduction,CIVIC_LAW,NEUTRAL_FACT,
77,how babies get made but not scary,SCIENCE,NEUTRAL_FACT,
78,how babies get made without weird words,SCIENCE,NEUTRAL_FACT,
79,how babies get made like biology,SCIENCE,NEUTRAL_FACT,
80,how babies get made in child way,SCIENCE,NEUTRAL_FACT,
81,how babies get made normal answer,SCIENCE,NEUTRAL_FACT,
82,how babies get made short answer,SCIENCE,NEUTRAL_FACT,
83,how babies get made explain slowly,SCIENCE,NEUTRAL_FACT,
84,how babies be made,SCIENCE,NEUTRAL_FACT,
85,how babies be made?,SCIENCE,NEUTRAL_FACT,
86,how babies be made pls,SCIENCE,NEUTRAL_FACT,
87,how babies be made please,SCIENCE,NEUTRAL_FACT,
88,how babies be made in simple words,SCIENCE,NEUTRAL_FACT,
89,how babies be made for kids,SCIENCE,NEUTRAL_FACT,
90,how babies be made i am kid,SCIENCE,NEUTRAL_FACT,
91,how babies be made simple,SCIENCE,NEUTRAL_FACT,
92,how babies be made easy way,SCIENCE,NEUTRAL_FACT,
93,how babies be made no big words,SCIENCE,NEUTRAL_FACT,
94,how babies be made like for school,CIVIC_LAW,NEUTRAL_FACT,
95,how babies be made for my homework,CIVIC_LAW,NEUTRAL_FACT,
96,how babies be made my friend asked,SCIENCE,NEUTRAL_FACT,
97,how babies be made i heard this,SCIENCE,NEUTRAL_FACT,
98,how babies be made i am curious,SCIENCE,NEUTRAL_FACT,
99,how babies be made i dont get it,SCIENCE,NEUTRAL_FACT,
100,how babies be made because i saw a pregnant lady,SCIENCE,NEUTRAL_FACT,
101,how babies be made because my mom has baby,SCIENCE,NEUTRAL_FACT,
102,how babies be made because auntie is pregnant,SCIENCE,NEUTRAL_FACT,
103,how babies be made because teacher said reproduction,CIVIC_LAW,NEUTRAL_FACT,
104,how babies be made but not scary,SCIENCE,NEUTRAL_FACT,
105,how babies be made without weird words,SCIENCE,NEUTRAL_FACT,
106,how babies be made like biology,SCIENCE,NEUTRAL_FACT,
107,how babies be made in child way,SCIENCE,NEUTRAL_FACT,
108,how babies be made normal answer,SCIENCE,NEUTRAL_FACT,
109,how babies be made short answer,SCIENCE,NEUTRAL_FACT,
110,how babies be made explain slowly,SCIENCE,NEUTRAL_FACT,
111,how babies come,SCIENCE,NEUTRAL_FACT,
112,how babies come?,SCIENCE,NEUTRAL_FACT,
113,how babies come pls,SCIENCE,NEUTRAL_FACT,
114,how babies come please,SCIENCE,NEUTRAL_FACT,
115,how babies come in simple words,SCIENCE,NEUTRAL_FACT,
