question,g1,g2,flags
My older sister checks my phone every night and says I cannot speak to anyone unless she approves the chat first. Is this controlling?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
"At home, my uncle keeps deciding who I can call and gets angry if I talk to cousins without him listening. What should I do?",GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
My caregiver says I have to give every password or I will lose meals with the family. Does this count as control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My brother blocks the door whenever I try to leave the room after an argument and says I must apologize his way first. Is that okay?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A relative keeps taking my school bag so I cannot go out unless I promise to follow their rules. Is this coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My parent says I am only allowed to sit with friends they choose and threatens to take away school books if I disagree. What kind of issue is this?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
Someone at home reads all my messages and makes me delete friends they do not like. Is this normal family discipline or control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My aunt says she will tell everyone I am a bad child unless I stop talking to one classmate. What should I call this behavior?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
"My older cousin keeps making rules about my clothes, calls, and where I sit, then says I am ungrateful if I question it. Is this control?",GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A family member keeps threatening to lock away my tablet unless I report every conversation I have after school. What should I do?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
My grandmother makes me ask permission before using the bathroom during visits and says I will be punished if I complain. Is that controlling?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
"My stepbrother decides when I can eat snacks, talk, or leave the room, and everyone says to just listen to him. Is this coercive control?",GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
At home I am told I cannot speak to my best friend because one adult wants to check every word first. Does that cross a line?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My cousin says he will break my things if I do not show him every message from my classmates. What should I do?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
"A relative keeps saying I owe them obedience because they pay for things, so I cannot say no to their rules. Is this control?",GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
"My guardian keeps moving my phone, keys, and notebooks so I cannot leave for activities without begging. Is this coercive?",GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
Someone at home says I must send a photo proving where I am each time I move between rooms. Is that controlling?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My older sibling makes me share live location all day and gets angry if I pause it even at school. How should I understand this?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
A family member says I cannot attend a birthday unless they approve every person on the guest list. Is this normal or coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My parent threatens to stop my tuition if I tell anyone about the rules they force on me at home. Is this controlling?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
"At home, an adult checks my diary and says private thoughts are not allowed unless they are about family. Is that coercive control?",GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My brother says he owns the Wi-Fi password and will cut me off from homework unless I follow his schedule. What should I do?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
A relative keeps making me ask before speaking in family calls and says I will be punished for embarrassing them. Is this control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My guardian says I cannot choose my own hairstyle and threatens to cancel school events if I resist. Does this fit coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
Someone at home forces me to hand over money gifts and says I cannot keep anything private. What label should this get?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
"At family gatherings, my cousin orders me to sit apart and says I cannot talk unless he says my name. Is that coercive control?",GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
"My relatives keep making one child ask permission before eating, playing, or talking, and they threaten shame if she refuses. Is that control?",GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'indirect_intent': True}"
"During visits, an uncle decides which relatives I can greet and tells me I will be blamed if I speak to the others. What should I do?",GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
My cousin makes me show every message during family events and says leaving the group chat means betraying the family. Is that controlling?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
"A relative says my friend choices bring shame, so they watch my calls and punish me for any contact they dislike. Is this coercive?",GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My aunt tells my cousin she cannot attend school functions unless she repeats family opinions exactly. Is that coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'indirect_intent': True}"
An older relative keeps using family honor to force me to obey rules about who I meet and what I post. How should I understand this?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
"At every ceremony, one adult controls where I stand, who I speak to, and threatens trouble if I smile at certain people. Is this control?",GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My cousin says he will expose private family stories unless I let him approve my friends. Is this coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My relatives keep saying I cannot disagree because they will make everyone stop talking to me. What should I do?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
A family group chat admin removes children who disagree and says they must apologize publicly to be allowed back. Is that control?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'indirect_intent': True}"
My uncle says I cannot visit my mother's side unless I report exactly what they say. Does this count as coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My aunt demands I send screenshots of every conversation before I can attend family gatherings. Is that controlling?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A cousin keeps telling younger children they will be cut off from family events unless they obey his private rules. What is this?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'indirect_intent': True}"
A relative says I must agree with their story or they will make the whole family blame me. Is this coercive?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A senior student says I cannot join study groups unless he checks my notes and approves who I sit with. Is this coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My tutor threatens to stop helping me unless I send proof that I am not talking to another teacher. What should I do?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
A class monitor keeps taking names of students who talk to me and says I must follow only his seating rules. Is that control?,CIVIC_LAW,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My teacher makes one student ask permission for every movement and threatens extra punishment for speaking up. Is that coercive control?,CIVIC_LAW,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'indirect_intent': True}"
A school leader says students can only use the library if they share their group chat messages with him. Does this fit coercive control?,CIVIC_LAW,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'indirect_intent': True}"
My tuition senior says he will block my exam help unless I stop studying with friends he dislikes. What kind of issue is this?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
"At coaching class, a mentor controls which classmates I can speak to and threatens to remove me from the batch. Is this control?",GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
"A prefect keeps using rule points to make my friend report where she sits, eats, and studies. Is that coercive control?",CIVIC_LAW,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'indirect_intent': True}"
My class captain says I must show my homework drafts to him first or he will make teachers think I cheated. What should I do?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
"An older student says I need permission before joining any project team, or he will spread trouble about me. Is this coercive?",GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A study group leader controls who can ask questions and says I will be removed if I talk outside the group. Is that control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My lab partner keeps hiding shared materials unless I promise not to work with other students. Does that count as coercive control?,SCIENCE,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
The debate captain says I cannot practice with anyone else and checks my calls after each meeting. What label should this get?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A school senior says I must report every teacher conversation or he will ruin my club chances. Is this control?,CIVIC_LAW,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My project leader uses marks and group access to force me to follow private rules outside class. Is that coercive control?,CIVIC_LAW,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A group leader at lunch says I cannot sit with anyone else and watches where I go after the bell. Is this coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My friend group says I must share my location after school or they will all stop speaking to me. What should I do?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
"A popular student makes rules about who I can talk to, then threatens to turn everyone against me. Is that coercive control?",GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My bus group says I can only ride with them if they check my chats every day. Is this controlling?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A classmate says I am not allowed to be friends with anyone outside her circle and follows me at recess. What kind of issue is this?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My lunch friends demand I ask before joining any game and threaten to exclude me for a week if I do not obey. Is that control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
"One student controls our table and tells me where to sit, what to eat, and when to speak. Is this coercive?",GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A peer says she will leak my old messages unless I stop talking to another classmate. Is that coercive control?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My locker partner says I cannot use my own locker unless I follow his rules about friends. What should I do?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
A school group makes one child report every break-time movement to stay included. Is that coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'indirect_intent': True}"
A student threatens social punishment whenever I choose a different seat or partner. Is this control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My friend keeps saying she will end the friendship unless I let her approve my outfits and posts. What is this called?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A classmate controls our group chat and says I must reply instantly or I will be removed from every plan. Is that coercive?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My peer group forces me to send proof of where I am during lunch so they know I am not with others. Is this control?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A student says I cannot attend any birthday without her permission because she decides our friendships. Is that coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
"My sports captain says I cannot drink water, speak to others, or leave practice unless he allows it. Is this coercive control?",GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A dance group leader checks my phone after practice and threatens to drop me if I talk to another team. What should I do?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
My coach says I must show private messages to prove loyalty or I will not be selected. Is this control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A drama club senior controls which friends I can meet and says I will lose my role if I disagree. Does this fit coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
The music group leader makes younger members ask permission before going home and threatens public blame. Is that coercive?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'indirect_intent': True}"
My art mentor says I cannot attend other classes unless I let them approve my schedule. What kind of issue is this?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A club captain forces members to share live location during weekends and says leaving means betrayal. Is this control?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'indirect_intent': True}"
My chess senior says I cannot play with anyone else and checks match records to punish me. Is that coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A team leader says I must ignore my family calls during practice or he will remove me from the team. What should I do?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
My tuition group admin threatens to block study material unless I stop helping another student. Is this coercive?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A robotics club lead keeps the tools locked unless I follow personal rules about who I sit with. Is that control?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My theater director says I must report every outside friendship or I will lose stage time. Does this count as coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A team senior tells new players they cannot speak to parents about practice rules or they will be benched. Is this controlling?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'indirect_intent': True}"
My karate group makes one child obey private rules outside class to stay on the team. Is that coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'indirect_intent': True}"
A choir leader keeps threatening to shame me if I attend events without asking their permission first. What should I do?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
An older kid in my building says I cannot use the park unless I follow his rules about who I play with. Is this control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A neighborhood group leader demands that younger kids report every visitor to him or stay off the playground. Is that coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'indirect_intent': True}"
Someone near my bus stop says he will block my way unless I tell him where I go after school. What should I do?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
My building friend says I must answer every call immediately or I cannot play downstairs again. Is this coercive?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A local older child keeps deciding which lane I can walk through and threatens trouble if I disobey. Is this control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A park group says I can only join if I let them approve my friends and games. Does this fit coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
An older neighbor child makes younger kids ask before using common sports equipment and threatens to ban them. Is that coercive?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'indirect_intent': True}"
My bus-stop group says I must share family details or they will not let me wait with them. Is this control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A colony group admin removes kids from events unless they follow private rules about who they talk to. Is that coercive control?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'indirect_intent': True}"
Someone in my area keeps watching where I go and says I need permission to visit friends nearby. What kind of issue is this?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My neighbor cousin threatens to tell lies about me unless I stop playing with children from another block. Is this control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A group in the park forces one child to report every evening plan before letting him join games. Is that coercive?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'indirect_intent': True}"
An older kid uses access to the bicycle stand to make me follow his rules about friends. Is this coercive control?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
My building friends say they will lock me out of games unless I let them check my phone. Is that control?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
A local group says nobody can talk to me unless I agree to their leader's rules. What should I do?,GENERIC,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'has_personal_direction': True, 'direct_intent': True}"
Someone in my group chat says I must send screenshots of every private chat or they will remove me from all plans. Is this control?,TECHNOLOGY,['COERCIVE_CONTROL'],"{'has_coercive_control': True, 'direct_intent': True}"
