source_file,rows,changed_rows,unchanged_rows,corrected_csv,summary_csv
classified_GROOMING.csv,55,33,22,corrected_classified_GROOMING.csv,correction_summary_classified_GROOMING.csv
classified_VULN_EXPLOIT.csv,65,50,15,corrected_classified_VULN_EXPLOIT.csv,correction_summary_classified_VULN_EXPLOIT.csv
classified_PERSONAL_DIRECTION.csv,476,298,178,corrected_classified_PERSONAL_DIRECTION.csv,correction_summary_classified_PERSONAL_DIRECTION.csv
classified_mental_health.csv,1430,921,509,corrected_classified_mental_health.csv,correction_summary_classified_mental_health.csv
classified_chemical_biological.csv,800,590,210,corrected_classified_chemical_biological.csv,correction_summary_classified_chemical_biological.csv
classified_mix_from_golden_sheet.csv,14449,12277,2172,corrected_classified_mix_from_golden_sheet.csv,correction_summary_classified_mix_from_golden_sheet.csv
classified_Religious_Data.csv,3972,3845,127,corrected_classified_Religious_Data.csv,correction_summary_classified_Religious_Data.csv
classified_genz_profinity.csv,2970,2936,34,corrected_classified_genz_profinity.csv,correction_summary_classified_genz_profinity.csv
classified_genz.csv,3000,2537,463,corrected_classified_genz.csv,correction_summary_classified_genz.csv
classified_COERCIVE_CONTROL.csv,11188,10883,305,corrected_classified_COERCIVE_CONTROL.csv,correction_summary_classified_COERCIVE_CONTROL.csv
classified_AMBIGUOUS_RISK.csv,65,60,5,corrected_classified_AMBIGUOUS_RISK.csv,correction_summary_classified_AMBIGUOUS_RISK.csv
classified_GENERIC_INTENT.csv,2490,1495,995,corrected_classified_GENERIC_INTENT.csv,correction_summary_classified_GENERIC_INTENT.csv
classified_VIOLENCE.csv,509,441,68,corrected_classified_VIOLENCE.csv,correction_summary_classified_VIOLENCE.csv
classified_UNSAFE_SEXUAL_CONTENT.csv,755,665,90,corrected_classified_UNSAFE_SEXUAL_CONTENT.csv,correction_summary_classified_UNSAFE_SEXUAL_CONTENT.csv
classified_en_hindi_profinity.csv,15464,5064,10400,corrected_classified_en_hindi_profinity.csv,correction_summary_classified_en_hindi_profinity.csv
fixed_classified_pikuai_questions.csv,6259,5878,381,corrected_fixed_classified_pikuai_questions.csv,correction_summary_fixed_classified_pikuai_questions.csv
pikuai_pasted_questions_fixed.csv,1000,943,57,corrected_pikuai_pasted_questions_fixed.csv,correction_summary_pikuai_pasted_questions_fixed.csv
pikuai_pasted_text_classified1000.csv,1000,945,55,corrected_pikuai_pasted_text_classified1000.csv,correction_summary_pikuai_pasted_text_classified1000.csv
