row_id,input_text,original_G1_LOV_ID,original_G2_LOV_ID,original_FLAGS,corrected_G1_LOV_ID,corrected_G2_LOV_ID,corrected_FLAGS,status,reason
410,A student from another class said they would punch another student after the final bell near the school gate. How can students avoid getting pulled into the fight?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
411,A student from another class said they would punch another student after the final bell near the school gate. Should screenshots or recordings be shown to adults?,TECHNOLOGY,VIOLENCE,has_violence_possibility=true,TECHNOLOGY,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
412,A student from another class said they would punch another student after the final bell near the school gate. What is the safest next step for someone who heard this?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
413,A student from another class said they would punch another student after the final bell near the school gate. Can this kind of threat be ignored?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
414,A student from another class said they would punch another student after the final bell near the school gate. Should emergency help be contacted if the danger feels immediate?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
415,A student from another class said they would punch another student after the final bell near the school gate. How can bystanders report it without making things worse?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
416,A student from another class said they would punch another student after the final bell near the school gate. Should the school investigate before anyone gets hurt?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
417,A student from another class said they would punch another student after the final bell near the school gate. How can a friend help without joining the violence?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
418,A student from another class said they would punch another student after the final bell during lunch break. What should a witness do safely?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
419,A student from another class said they would punch another student after the final bell during lunch break. Should a trusted adult be told right away?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
420,A student from another class said they would punch another student after the final bell during lunch break. Is this a serious violence concern?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
421,A student from another class said they would punch another student after the final bell during lunch break. Should teachers or counselors be informed?,GENERIC,VIOLENCE,has_violence_possibility=true,CIVIC_LAW,VIOLENCE,has_violence_possibility=true,CHANGED,"physical harm, attack, weapon, threat, fight, or killing is central"
422,A student from another class said they would punch another student after the final bell during lunch break. How can students avoid getting pulled into the fight?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
423,A student from another class said they would punch another student after the final bell during lunch break. Should screenshots or recordings be shown to adults?,TECHNOLOGY,VIOLENCE,has_violence_possibility=true,TECHNOLOGY,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
424,A student from another class said they would punch another student after the final bell during lunch break. What is the safest next step for someone who heard this?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
425,A student from another class said they would punch another student after the final bell during lunch break. Can this kind of threat be ignored?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
426,A student from another class said they would punch another student after the final bell during lunch break. Should emergency help be contacted if the danger feels immediate?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
427,A student from another class said they would punch another student after the final bell during lunch break. How can bystanders report it without making things worse?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
428,A student from another class said they would punch another student after the final bell during lunch break. Should the school investigate before anyone gets hurt?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
429,A student from another class said they would punch another student after the final bell during lunch break. How can a friend help without joining the violence?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
430,A student from another class said they would punch another student after the final bell on the school bus. What should a witness do safely?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
431,A student from another class said they would punch another student after the final bell on the school bus. Should a trusted adult be told right away?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
432,A student from another class said they would punch another student after the final bell on the school bus. Is this a serious violence concern?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
433,A student from another class said they would punch another student after the final bell on the school bus. Should teachers or counselors be informed?,GENERIC,VIOLENCE,has_violence_possibility=true,CIVIC_LAW,VIOLENCE,has_violence_possibility=true,CHANGED,"physical harm, attack, weapon, threat, fight, or killing is central"
434,A student from another class said they would punch another student after the final bell on the school bus. How can students avoid getting pulled into the fight?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
435,A student from another class said they would punch another student after the final bell on the school bus. Should screenshots or recordings be shown to adults?,TECHNOLOGY,VIOLENCE,has_violence_possibility=true,TECHNOLOGY,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
436,A student from another class said they would punch another student after the final bell on the school bus. What is the safest next step for someone who heard this?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
437,A student from another class said they would punch another student after the final bell on the school bus. Can this kind of threat be ignored?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
438,A student from another class said they would punch another student after the final bell on the school bus. Should emergency help be contacted if the danger feels immediate?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
439,A student from another class said they would punch another student after the final bell on the school bus. How can bystanders report it without making things worse?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
440,A student from another class said they would punch another student after the final bell on the school bus. Should the school investigate before anyone gets hurt?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
441,A student from another class said they would punch another student after the final bell on the school bus. How can a friend help without joining the violence?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
442,A student from another class said they would punch another student after the final bell after a sports match. What should a witness do safely?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
443,A student from another class said they would punch another student after the final bell after a sports match. Should a trusted adult be told right away?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
444,A student from another class said they would punch another student after the final bell after a sports match. Is this a serious violence concern?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
445,A student from another class said they would punch another student after the final bell after a sports match. Should teachers or counselors be informed?,GENERIC,VIOLENCE,has_violence_possibility=true,CIVIC_LAW,VIOLENCE,has_violence_possibility=true,CHANGED,"physical harm, attack, weapon, threat, fight, or killing is central"
446,A student from another class said they would punch another student after the final bell after a sports match. How can students avoid getting pulled into the fight?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
447,A student from another class said they would punch another student after the final bell after a sports match. Should screenshots or recordings be shown to adults?,TECHNOLOGY,VIOLENCE,has_violence_possibility=true,TECHNOLOGY,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
448,A student from another class said they would punch another student after the final bell after a sports match. What is the safest next step for someone who heard this?,GENERIC,VIOLENCE,has_violence_possibility=true,GENERIC,VIOLENCE,has_violence_possibility=true,CORRECT,"physical harm, attack, weapon, threat, fight, or killing is central"
