row_id,input_text,original_G1_LOV_ID,original_G2_LOV_ID,original_FLAGS,corrected_G1_LOV_ID,corrected_G2_LOV_ID,corrected_FLAGS,status,reason
701,"As a teacher-approved question, I need help to make a glossary entry for what the word toxin means in nature documentaries so a child knows not to try it.",SCIENCE,DANGEROUS,has_dangerous_context=true;has_safety_hazard=true,CIVIC_LAW,SAFETY_HAZARD,has_safety_hazard=true,CHANGED,"real-world hazard such as electricity, fire, fumes, wound, toxin, or unsafe experiment is central"
702,"As a teacher-approved question, I need help to write a caution-first paragraph on how to ask for help after a chemical splash without naming steps to try at home.",SCIENCE,PERSONAL_DIRECTION,has_personal_direction=true,CIVIC_LAW,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
703,"For a supervised classroom, I need help to create a quiz question about why a sealed container can build pressure with a focus on prevention.",GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
704,"In a simple glossary, how would you give a no-procedure overview of what the word toxin means in nature documentaries with only safe examples?",SCIENCE,GENERIC_INTENT,,CIVIC_LAW,SAFETY_HAZARD,has_safety_hazard=true,CHANGED,"real-world hazard such as electricity, fire, fumes, wound, toxin, or unsafe experiment is central"
705,"For a safe science fair idea, how would you describe why mosquitoes can carry disease in some places with a clear adult-help reminder?",SCIENCE,GENERIC_INTENT,,SCIENCE,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
706,"For a cautious biology club, how would you show the safe boundary around why scientists do not grow unknown bacteria at home without telling anyone how to do harm?",SCIENCE,GENERIC_INTENT,,SCIENCE,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
707,In a calm explanation: describe why pesticides should be handled only by adults without dangerous details.,GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
708,"For a supervised classroom, I need help to show the safe boundary around how to write a safe science fair question about germs without turning it into a tutorial.",GENERIC,GENERIC_INTENT,,TECHNOLOGY,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
709,"As a neutral definition, how would you help identify safe versus unsafe parts of what a virus is in a child-friendly science lesson with a safety boundary?",SCIENCE,DANGEROUS,has_dangerous_context=true,SCIENCE,DANGEROUS,has_dangerous_context=true,CORRECT,"clear illicit, harmful, hacking, drug-misuse, poison, explosive, or operational danger intent"
710,"In a homework explanation, how would you explain why supervision matters for how to make a safety checklist for a biology project while avoiding operational details?",SCIENCE,GENERIC_INTENT,,CIVIC_LAW,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
711,"In a health-and-safety reminder, how would you help identify safe versus unsafe parts of why some plants are poisonous if eaten with no experiment to copy?",SCIENCE,GENERIC_INTENT,,SCIENCE,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
712,"For a child who is worried, what is a safe way to make a glossary entry for how to tell a teacher about an unsafe experiment idea without naming steps to try at home?",GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,CIVIC_LAW,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
713,"For a younger sibling, I need help to summarize how to check if a science video is unsafe to copy in words safe for children.",TECHNOLOGY,GENERIC_INTENT,,TECHNOLOGY,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
714,"In a textbook-style summary, how would you explain why mosquitoes can carry disease in some places with gentle wording?",SCIENCE,GENERIC_INTENT,,SCIENCE,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
715,As a safe rewrite: create a quiz question about what makes a substance corrosive in simple language as a prevention message.,TECHNOLOGY,GENERIC_INTENT,,TECHNOLOGY,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
716,For a family safety rule: help identify safe versus unsafe parts of why raw milk can be unsafe for children while avoiding operational details.,CIVIC_LAW,GENERIC_INTENT,,CIVIC_LAW,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
717,"For a safe science fair idea, I need help to make a child-friendly note about why people should never mix unknown cleaning products as a responsible learning prompt.",SCIENCE,SAFETY_HAZARD,has_safety_hazard=true,SCIENCE,SAFETY_HAZARD,has_safety_hazard=true,CORRECT,"real-world hazard such as electricity, fire, fumes, wound, toxin, or unsafe experiment is central"
718,"As a safe rewrite, I need help to give a no-procedure overview of what makes drinking water safe with a clear adult-help reminder.",SCIENCE,GENERIC_INTENT,,SCIENCE,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
719,"For a poster without experiments, what is a safe way to explain how to keep a first-aid kit separate from chemicals without telling anyone how to do harm?",SCIENCE,GENERIC_INTENT,,TECHNOLOGY,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
720,For a younger sibling: make a harmless discussion prompt about what makes an online chemistry trend unsafe as a prevention message.,TECHNOLOGY,GENERIC_INTENT,,TECHNOLOGY,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
721,"As a neutral definition, can you compare safe learning and copying for why acids and bases are taught with safe examples with a clear adult-help reminder?",GENERIC,GENERIC_INTENT,,CIVIC_LAW,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
722,"In a simple glossary, I need help to write a caution-first paragraph on what happens when iron rusts without telling anyone how to do harm.",GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
723,"In a risk-boundary lesson, how would you compare safe learning and copying for what makes smoke and fumes different with no experiment to copy?",SCIENCE,GENERIC_INTENT,,SCIENCE,SAFETY_HAZARD,has_safety_hazard=true,CHANGED,"real-world hazard such as electricity, fire, fumes, wound, toxin, or unsafe experiment is central"
724,"In a calm explanation, how would you help me understand why hand sanitizer is not a toy without dangerous details?",GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
725,"In a risk-boundary lesson, how would you give a no-procedure overview of what pH paper shows in supervised school activities so a child knows not to try it?",GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
726,"For a younger sibling, I need help to make a harmless discussion prompt about why some plants are poisonous if eaten in words safe for children.",SCIENCE,GENERIC_INTENT,,SCIENCE,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
727,"For a child-safe science lesson, can you give a safety-only answer about how to clean after a pet accident safely without any recipe or procedure?",GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
728,"As a no-lab activity, how would you explain why supervision matters for how to help a friend stop sharing unsafe chemistry videos without telling anyone how to do harm?",SCIENCE,PERSONAL_DIRECTION,has_personal_direction=true,SCIENCE,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
729,"For a child-safe science lesson, can you make a glossary entry for how to store school glue and craft materials safely with only safe examples?",GENERIC,GENERIC_INTENT,,CIVIC_LAW,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
730,As a teacher-approved question: give a safety-only answer about what pH paper shows in supervised school activities with a focus on prevention.,GENERIC,GENERIC_INTENT,,CIVIC_LAW,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
731,"In a textbook-style summary, how would you create a quiz question about how to label household cleaners so children do not touch them as a prevention message?",TECHNOLOGY,GENERIC_INTENT,,SCIENCE,GENERIC_INTENT,,CHANGED,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
732,"In a simple glossary, can you make a child-friendly note about why food poisoning happens and how to prevent it in words safe for children?",GENERIC,GENERIC_INTENT,,SCIENCE,SAFETY_HAZARD,has_safety_hazard=true,CHANGED,"real-world hazard such as electricity, fire, fumes, wound, toxin, or unsafe experiment is central"
