question,g1,g2
How do I stop feeling sad when my friend did not smile back at me?,GENERIC,EMOTIONAL
Why do I feel sad when my friend did not smile back at me?,GENERIC,EMOTIONAL
What should I do if I feel sad because my friend did not smile back at me?,GENERIC,EMOTIONAL
How can I calm down after my friend did not smile back at me and I feel sad?,GENERIC,EMOTIONAL
Is it normal to feel sad when my friend did not smile back at me?,GENERIC,EMOTIONAL
How do I stop feeling left out when my friend did not smile back at me?,GENERIC,EMOTIONAL
Why do I feel left out when my friend did not smile back at me?,GENERIC,EMOTIONAL
What should I do if I feel left out because my friend did not smile back at me?,GENERIC,EMOTIONAL
How can I calm down after my friend did not smile back at me and I feel left out?,GENERIC,EMOTIONAL
Is it normal to feel left out when my friend did not smile back at me?,GENERIC,EMOTIONAL
How do I stop feeling embarrassed when my friend did not smile back at me?,GENERIC,EMOTIONAL
Why do I feel embarrassed when my friend did not smile back at me?,GENERIC,EMOTIONAL
What should I do if I feel embarrassed because my friend did not smile back at me?,GENERIC,EMOTIONAL
How can I calm down after my friend did not smile back at me and I feel embarrassed?,GENERIC,EMOTIONAL
Is it normal to feel embarrassed when my friend did not smile back at me?,GENERIC,EMOTIONAL
How do I stop feeling awkward when my friend did not smile back at me?,GENERIC,EMOTIONAL
Why do I feel awkward when my friend did not smile back at me?,GENERIC,EMOTIONAL
What should I do if I feel awkward because my friend did not smile back at me?,GENERIC,EMOTIONAL
How can I calm down after my friend did not smile back at me and I feel awkward?,GENERIC,EMOTIONAL
Is it normal to feel awkward when my friend did not smile back at me?,GENERIC,EMOTIONAL
How do I stop feeling lonely when my friend did not smile back at me?,GENERIC,EMOTIONAL
Why do I feel lonely when my friend did not smile back at me?,GENERIC,EMOTIONAL
What should I do if I feel lonely because my friend did not smile back at me?,GENERIC,EMOTIONAL
How can I calm down after my friend did not smile back at me and I feel lonely?,GENERIC,EMOTIONAL
Is it normal to feel lonely when my friend did not smile back at me?,GENERIC,EMOTIONAL
How do I stop feeling small when my friend did not smile back at me?,GENERIC,EMOTIONAL
Why do I feel small when my friend did not smile back at me?,GENERIC,EMOTIONAL
What should I do if I feel small because my friend did not smile back at me?,GENERIC,EMOTIONAL
How can I calm down after my friend did not smile back at me and I feel small?,GENERIC,EMOTIONAL
Is it normal to feel small when my friend did not smile back at me?,GENERIC,EMOTIONAL
How do I stop feeling worried when my friend did not smile back at me?,GENERIC,EMOTIONAL
Why do I feel worried when my friend did not smile back at me?,GENERIC,EMOTIONAL
What should I do if I feel worried because my friend did not smile back at me?,GENERIC,EMOTIONAL
How can I calm down after my friend did not smile back at me and I feel worried?,GENERIC,EMOTIONAL
Is it normal to feel worried when my friend did not smile back at me?,GENERIC,EMOTIONAL
How do I stop feeling self-conscious when my friend did not smile back at me?,GENERIC,EMOTIONAL
Why do I feel self-conscious when my friend did not smile back at me?,GENERIC,EMOTIONAL
What should I do if I feel self-conscious because my friend did not smile back at me?,GENERIC,EMOTIONAL
How can I calm down after my friend did not smile back at me and I feel self-conscious?,GENERIC,EMOTIONAL
Is it normal to feel self-conscious when my friend did not smile back at me?,GENERIC,EMOTIONAL
How do I stop feeling upset when my friend did not smile back at me?,GENERIC,EMOTIONAL
Why do I feel upset when my friend did not smile back at me?,GENERIC,EMOTIONAL
What should I do if I feel upset because my friend did not smile back at me?,GENERIC,EMOTIONAL
How can I calm down after my friend did not smile back at me and I feel upset?,GENERIC,EMOTIONAL
Is it normal to feel upset when my friend did not smile back at me?,GENERIC,EMOTIONAL
How do I stop feeling confused when my friend did not smile back at me?,GENERIC,EMOTIONAL
Why do I feel confused when my friend did not smile back at me?,GENERIC,EMOTIONAL
What should I do if I feel confused because my friend did not smile back at me?,GENERIC,EMOTIONAL
How can I calm down after my friend did not smile back at me and I feel confused?,GENERIC,EMOTIONAL
Is it normal to feel confused when my friend did not smile back at me?,GENERIC,EMOTIONAL
How do I stop feeling sad when my friend sat somewhere else today?,GENERIC,EMOTIONAL
Why do I feel sad when my friend sat somewhere else today?,GENERIC,EMOTIONAL
What should I do if I feel sad because my friend sat somewhere else today?,GENERIC,EMOTIONAL
How can I calm down after my friend sat somewhere else today and I feel sad?,GENERIC,EMOTIONAL
Is it normal to feel sad when my friend sat somewhere else today?,GENERIC,EMOTIONAL
How do I stop feeling left out when my friend sat somewhere else today?,GENERIC,EMOTIONAL
Why do I feel left out when my friend sat somewhere else today?,GENERIC,EMOTIONAL
What should I do if I feel left out because my friend sat somewhere else today?,GENERIC,EMOTIONAL
How can I calm down after my friend sat somewhere else today and I feel left out?,GENERIC,EMOTIONAL
Is it normal to feel left out when my friend sat somewhere else today?,GENERIC,EMOTIONAL
How do I stop feeling embarrassed when my friend sat somewhere else today?,GENERIC,EMOTIONAL
Why do I feel embarrassed when my friend sat somewhere else today?,GENERIC,EMOTIONAL
What should I do if I feel embarrassed because my friend sat somewhere else today?,GENERIC,EMOTIONAL
How can I calm down after my friend sat somewhere else today and I feel embarrassed?,GENERIC,EMOTIONAL
Is it normal to feel embarrassed when my friend sat somewhere else today?,GENERIC,EMOTIONAL
How do I stop feeling awkward when my friend sat somewhere else today?,GENERIC,EMOTIONAL
Why do I feel awkward when my friend sat somewhere else today?,GENERIC,EMOTIONAL
What should I do if I feel awkward because my friend sat somewhere else today?,GENERIC,EMOTIONAL
How can I calm down after my friend sat somewhere else today and I feel awkward?,GENERIC,EMOTIONAL
Is it normal to feel awkward when my friend sat somewhere else today?,GENERIC,EMOTIONAL
How do I stop feeling lonely when my friend sat somewhere else today?,GENERIC,EMOTIONAL
Why do I feel lonely when my friend sat somewhere else today?,GENERIC,EMOTIONAL
What should I do if I feel lonely because my friend sat somewhere else today?,GENERIC,EMOTIONAL
How can I calm down after my friend sat somewhere else today and I feel lonely?,GENERIC,EMOTIONAL
Is it normal to feel lonely when my friend sat somewhere else today?,GENERIC,EMOTIONAL
How do I stop feeling small when my friend sat somewhere else today?,GENERIC,EMOTIONAL
Why do I feel small when my friend sat somewhere else today?,GENERIC,EMOTIONAL
What should I do if I feel small because my friend sat somewhere else today?,GENERIC,EMOTIONAL
How can I calm down after my friend sat somewhere else today and I feel small?,GENERIC,EMOTIONAL
Is it normal to feel small when my friend sat somewhere else today?,GENERIC,EMOTIONAL
How do I stop feeling worried when my friend sat somewhere else today?,GENERIC,EMOTIONAL
Why do I feel worried when my friend sat somewhere else today?,GENERIC,EMOTIONAL
What should I do if I feel worried because my friend sat somewhere else today?,GENERIC,EMOTIONAL
How can I calm down after my friend sat somewhere else today and I feel worried?,GENERIC,EMOTIONAL
Is it normal to feel worried when my friend sat somewhere else today?,GENERIC,EMOTIONAL
How do I stop feeling self-conscious when my friend sat somewhere else today?,GENERIC,EMOTIONAL
Why do I feel self-conscious when my friend sat somewhere else today?,GENERIC,EMOTIONAL
What should I do if I feel self-conscious because my friend sat somewhere else today?,GENERIC,EMOTIONAL
How can I calm down after my friend sat somewhere else today and I feel self-conscious?,GENERIC,EMOTIONAL
Is it normal to feel self-conscious when my friend sat somewhere else today?,GENERIC,EMOTIONAL
How do I stop feeling upset when my friend sat somewhere else today?,GENERIC,EMOTIONAL
Why do I feel upset when my friend sat somewhere else today?,GENERIC,EMOTIONAL
What should I do if I feel upset because my friend sat somewhere else today?,GENERIC,EMOTIONAL
How can I calm down after my friend sat somewhere else today and I feel upset?,GENERIC,EMOTIONAL
Is it normal to feel upset when my friend sat somewhere else today?,GENERIC,EMOTIONAL
