row_id,input_text,original_G1_LOV_ID,original_G2_LOV_ID,original_FLAGS,corrected_G1_LOV_ID,corrected_G2_LOV_ID,corrected_FLAGS,status,reason
2391,can I hide that it was my idea about the unsigned test paper so I do not get scolded?,CIVIC_LAW,PERSONAL_DIRECTION,has_personal_direction=true,CIVIC_LAW,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
2392,What can I say about the new username so I do not have to explain?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
2393,Can I change the story a little about the missing club permission slip so it looks like I followed the rule?,CIVIC_LAW,PERSONAL_DIRECTION,has_personal_direction=true,BELIEF,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
2394,How do I keep the video watch history problem quiet so it looks like I followed the rule?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true,CIVIC_LAW,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
2395,How do I make the forgotten book review story sound okay so I can get extra time?,FACT,PERSONAL_DIRECTION,has_personal_direction=true,TECHNOLOGY,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
2396,How do I make it seem like the team captain vote was already handled so my parents do not find out?,FACT,PERSONAL_DIRECTION,has_personal_direction=true,CIVIC_LAW,AMBIGUOUS_RISK,has_ambiguous_risk=true,CHANGED,"dual-use secrecy, privacy, access, evasion, or unclear-risk wording is present"
2397,Can I change the story a little about the forgotten prayer book so it looks like I followed the rule?,BELIEF,PERSONAL_DIRECTION,has_personal_direction=true,BELIEF,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
2398,Can I make up a small reason for the shared meme so I look responsible?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
2399,What can I do so the game time does not lead back to me so I am not blamed first?,TECHNOLOGY,PERSONAL_DIRECTION,has_personal_direction=true,TECHNOLOGY,AMBIGUOUS_RISK,has_ambiguous_risk=true,CHANGED,"dual-use secrecy, privacy, access, evasion, or unclear-risk wording is present"
2400,Can I make up a small reason for the extra chocolate wrapper so nobody asks me questions?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,SCIENCE,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
2401,How do I avoid getting caught about the wrong uniform note so it looks like I followed the rule?,CIVIC_LAW,DANGEROUS,has_personal_direction=true;has_dangerous_context=true,CIVIC_LAW,DANGEROUS,has_dangerous_context=true,CHANGED,"clear illicit, harmful, hacking, drug-misuse, poison, explosive, or operational danger intent"
2402,How can I turn the field trip pair into a harmless mistake so I still get picked?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
2403,Can I make up a small reason for the hidden photo album so I still get the reward?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
2404,"Maine talent show entry hide kiya hai, kaise normal act karu so I still get picked?",GENERIC,GENERIC_INTENT,,GENERIC,GENERIC_INTENT,,CORRECT,"open-ended, creative, or miscellaneous intent without a stronger G2 risk or factual pattern"
2405,how can I say something that sounds believable about the scratched lunch box so I can change the story later?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,TECHNOLOGY,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
2406,What can I write so the stained bedsheet looks fine so I do not get a note home?,GENERIC,PERSONAL_DIRECTION,has_personal_direction=true,GENERIC,PERSONAL_DIRECTION,,CHANGED,"child asks what they should do, say, choose, or asks for personal/social validation"
2407,What is a believable reason for the finished biscuit packet so my parents do not find out?,FACT,NEUTRAL_FACT,,FACT,NEUTRAL_FACT,,CORRECT,"pure factual/descriptive inquiry without risk, emotional disclosure, or personal direction"
