Sr No,Question,G1,G2,Flags
1,"Students keep posting jokes about my mistakes in online class chat, and I feel humiliated. Does this count as repeated targeting? I need a calm way to think about it.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
2,"My brother jokes about my height whenever relatives visit at home, and sometimes everyone laughs. How can I tell if it is bullying? I am 11 and this happens around family.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'direct_intent': True}"
3,"My cousins keep making jokes about my marks and posting them in the family group during family visits, and I feel embarrassed. Should I report this to someone at school? I am 13 and I feel nervous saying anything.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
4,"My older brother keeps copying the way I talk and laughing at me every day at home, and it makes me feel small. Should I tell a trusted adult? I want to handle it without being mean back.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
5,"My cousins keep making jokes about my marks and posting them in the family group during family visits, and I feel embarrassed. What should I do? I am 10 and I want a safe answer.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
6,"Students keep posting jokes about my mistakes in online class chat, and I feel humiliated. What should I do? I am asking because it keeps bothering me.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
7,"My cousin staying with us keeps making everyone laugh at my weight during breakfast, and I want it to stop. Is this normal family teasing or bullying? I feel confused about what counts.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
8,"My older brother keeps copying the way I talk and laughing at me every day at home, and it makes me feel small. Is this bullying? I am 10 and I want a safe answer.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
9,"My sister said one rude thing after I took her charger at home, and then she apologized. Is that bullying? I feel confused about what counts.",GENERIC,['PERSONAL_DIRECTION'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'direct_intent': True}"
10,"My sister keeps hiding my homework and calling me useless at home, and I feel scared to complain. Should I report this to someone at school? I feel confused about what counts.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
11,"My sibling accidentally bumped into me while running at home, and it hurt but seemed accidental. Is it okay to feel upset about this? I need a calm way to think about it.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'direct_intent': True}"
12,"My sister keeps hiding my homework and calling me useless at home, and I feel scared to complain. What should I do? I want to handle it without being mean back.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
13,"A group of classmates keeps whispering insults whenever I answer questions in class, and I feel afraid to speak. How do I make it stop without making things worse? I am 11 and this happens around family.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
14,"My sister said one rude thing after I took her charger at home, and then she apologized. Should I ask them calmly? I am 14 and it is affecting my day.",GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
15,"My stepbrother keeps blocking the door and mocking me when I try to leave at home, and I feel trapped. Should I report this to someone at school? I need a calm way to think about it.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
16,"My sibling keeps tearing my notes and saying I am too dumb to pass during tuition at home, and I feel upset. Should I tell a trusted adult? I am 10 and I want a safe answer.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
17,"My sibling keeps calling me names and making me do their work during chores, and it happens almost every day. Is this bullying? I need a calm way to think about it.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
18,"Students keep posting jokes about my mistakes in online class chat, and I feel humiliated. Who can I talk to about this? I feel confused about what counts.",TECHNOLOGY,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
19,"Two students keep taking my work and calling it theirs while laughing at me during assignments, and I need advice. How can I respond safely? I am 13 and I feel nervous saying anything.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
20,"My stepbrother keeps blocking the door and mocking me when I try to leave at home, and I feel trapped. How can I respond safely? I am 10 and I want a safe answer.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
21,"My older brother keeps copying the way I talk and laughing at me every day at home, and it makes me feel small. What is a safe way to ask for help? I want to handle it without being mean back.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
22,"My parent told me to finish homework before playing before school, and I felt annoyed. How do I talk about it politely? I want to know if I should tell someone.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'direct_intent': True}"
23,"My sibling says my answers are silly during homework time, and but only when we study together. How can I tell if it is bullying? I am 10 and I want a safe answer.",GENERIC,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'direct_intent': True}"
24,"Older relatives keep laughing at my stammer and telling me to speak for entertainment at a family function, and I want help. How do I make it stop without making things worse? I feel confused about what counts.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
25,"Two students laugh when I read aloud in class, and I do not know if they are laughing at me. Is it okay to feel hurt by this? I am 14 and it is affecting my day.",GENERIC,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'indirect_intent': True}"
26,"My sister keeps hiding my homework and calling me useless at home, and I feel scared to complain. What should I do? I am 10 and I want a safe answer.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
27,"My brother jokes about my height whenever relatives visit at home, and sometimes everyone laughs. Should I talk to a trusted adult? I am 12 and I do not want more trouble.",GENERIC,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'direct_intent': True}"
28,"My cousin did not sit next to me because the chair was taken during a family dinner, and I felt ignored. Is this a normal conflict? I am asking because it keeps bothering me.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'indirect_intent': True}"
29,"Classmates avoid sitting near me because they say I ask too many questions during exams, and I feel singled out. Could this become bullying if it continues? I am asking because it keeps bothering me.",GENERIC,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'indirect_intent': True}"
30,"A classmate disagreed with my idea one time during group work, and I felt rejected. Does that count as bullying or just a disagreement? I am 13 and I feel nervous saying anything.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'indirect_intent': True}"
31,"Classmates keep telling others not to study with me because I am weird during exam revision, and I feel left out. How do I make it stop without making things worse? I need a calm way to think about it.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
32,"My brother jokes about my height whenever relatives visit at home, and sometimes everyone laughs. Is this bullying or am I misunderstanding? I am 12 and I do not want more trouble.",GENERIC,['AMBIGUOUS_RISK'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_ambiguous_risk': True, 'needs_clarification': True, 'indirect_intent': True}"
33,"My sister keeps hiding my homework and calling me useless at home, and I feel scared to complain. What should I do? I am 13 and I feel nervous saying anything.",GENERIC,['BULLYING'],"{'has_emotional_distress': True, 'has_bullying_involved': True, 'has_personal_direction': True, 'direct_intent': True}"
34,"An aunt asked why my marks were lower this term at a gathering, and I felt embarrassed. How can I handle my feelings? I am 10 and I want a safe answer.",GENERIC,['EMOTIONAL'],"{'has_emotional_distress': True, 'has_personal_direction': True, 'direct_intent': True}"
