row_id,input_text,G1_LOV_ID,G2_LOV_ID,FLAGS
1,How does malaria infect dogs?,SCIENCE,NEUTRAL_FACT,
2,What is the reason for the 4 seasons?,FACT,NEUTRAL_FACT,
3,What is the Gaelic name for Edinburgh?,FACT,NEUTRAL_FACT,
4,What is Bootstrap? How do I use Bootstrap?,TECHNOLOGY,NEUTRAL_FACT,
5,"Do all UK people say they speak ""English"" and not ""British English""?",FACT,NEUTRAL_FACT,
6,Can stress damage your brain?,SCIENCE,NEUTRAL_FACT,
7,What do teenagers wish adults understood?,FACT,NEUTRAL_FACT,
8,Why are scientists more concerned about the impact of CO2 in the atmosphere than water vapor?,SCIENCE,NEUTRAL_FACT,
9,What are best app for photo editing?,TECHNOLOGY,NEUTRAL_FACT,
10,"How do you say ""I am happy"" in Sanskrit?",BELIEF,NEUTRAL_FACT,
11,What program do photographers use to edit photos?,TECHNOLOGY,NEUTRAL_FACT,
12,Why is my dog making me sick?,SCIENCE,SAFETY_HAZARD,has_safety_hazard=true
13,Is Hindi language meant to unite Indians or to trigger Indians?,FACT,NEUTRAL_FACT,
14,Is NASA making the wheels on the Mars 2020 rover significantly stronger since there has been constant anxiety over damage to the wheels on the Curiosity rover?,SCIENCE,NEUTRAL_FACT,
15,What are the must-have iPhone apps? Why?,TECHNOLOGY,NEUTRAL_FACT,
16,Is there a difference between Danish spoken in Greenland and Danish spoken in Denmark?,FACT,NEUTRAL_FACT,
17,What are some less known facts about Mars?,FACT,NEUTRAL_FACT,
18,What is the difference between granite and marble?,FACT,NEUTRAL_FACT,
19,What wind speed cancel flights? What is the highest wind speed in which a plane can land?,SCIENCE,NEUTRAL_FACT,
20,Why do we need website usability?,TECHNOLOGY,NEUTRAL_FACT,
21,Does a scooter battery charge itself?,FACT,NEUTRAL_FACT,
22,Can we really get a free WhatsApp number?,TECHNOLOGY,AMBIGUOUS_RISK,has_ambiguous_risk=true
23,Why don't humans land in an asteroid or meteor and use it to travel further into space?,SCIENCE,NEUTRAL_FACT,
24,How many cubic feet are in a dump truck?,FACT,NEUTRAL_FACT,
25,Does 'nick' mean 'idiot' in British English?,FACT,NEUTRAL_FACT,
26,How do you open a zip file on a Mac?,FACT,NEUTRAL_FACT,
27,How do I combine Word documents into a PDF?,TECHNOLOGY,NEUTRAL_FACT,
28,Which countries were Portuguese colonies?,FACT,NEUTRAL_FACT,
29,How many times can I refill a plastic bottle of water before it becomes unusable?,SCIENCE,NEUTRAL_FACT,
30,Can I let my pet rat go into the wild?,FACT,NEUTRAL_FACT,
31,Is there is any chance to grow? I am 16 and am almost 5.4. Can I still I have a growth spurt?,FACT,NEUTRAL_FACT,
32,What does the word 'lingam' mean in Sanskrit?,BELIEF,NEUTRAL_FACT,
33,What is the best way to start learning PHP?,TECHNOLOGY,NEUTRAL_FACT,
34,What are easy recipes to learn if I don't know how to cook or even prepare basic dishes?,FACT,NEUTRAL_FACT,
35,How woefully unprepared are we for dangerous asteroids hitting the Earth?,FACT,NEUTRAL_FACT,
36,How is HTTPS any more secure than HTTP if literally anyone can implement it?,TECHNOLOGY,NEUTRAL_FACT,
37,What is the real meaning of friendship?,FACT,NEUTRAL_FACT,
38,Can you tame an older feral cat?,SCIENCE,NEUTRAL_FACT,
39,Why do planes fly above the clouds?,FACT,NEUTRAL_FACT,
40,How do I transfer a Word document to a PDF?,TECHNOLOGY,NEUTRAL_FACT,
41,Can I see a picture of your dog?,SCIENCE,NEUTRAL_FACT,
42,What enables mountain goats to scale nearly vertical inclines?,SCIENCE,NEUTRAL_FACT,
43,What is the color code for 52M ohm?,TECHNOLOGY,NEUTRAL_FACT,
44,Is PHP difficult to learn?,TECHNOLOGY,NEUTRAL_FACT,
45,"How much table salt, in weight, do you have to dissolve in water to make soup just right?",SCIENCE,NEUTRAL_FACT,
46,"How can matter be completely destroyed from existence? Someone told me that if we hit the proton with its antimatter, it would go away? Does it expire or turn into energy? Which one is real?",SCIENCE,NEUTRAL_FACT,
47,Do you have any advice for middle schoolers who want to become doctors?,FACT,PERSONAL_DIRECTION,has_personal_direction=true
48,Is Costco dog food good?,SCIENCE,NEUTRAL_FACT,
49,"When I was a child, Smokey Bear said ""Only YOU can prevent forest fires."" I thought he meant ME. Do you remember this fire prevention campaign?",SCIENCE,NEUTRAL_FACT,
50,Do dogs and cats love snow?,SCIENCE,NEUTRAL_FACT,
51,Why do cats abandon their owners?,SCIENCE,NEUTRAL_FACT,
