metric,value
file_name,corrected_classified_GROOMING.csv
total_non_empty_input_rows,55
rows_changed_any_field,14
rows_unchanged_all_fields,41
rows_with_removed_invalid_has_personal_direction_flag,1
corrected_G2_count_GENERIC_INTENT,26
corrected_G2_count_GROOMING,19
corrected_G2_count_EMOTIONAL,5
corrected_G2_count_VULN_EXPLOIT,2
corrected_G2_count_NEUTRAL_FACT,2
corrected_G2_count_PERSONAL_DIRECTION,1
corrected_G1_count_GENERIC,28
corrected_G1_count_TECHNOLOGY,17
corrected_G1_count_SCIENCE,5
corrected_G1_count_CIVIC_LAW,2
corrected_G1_count_BELIEF,2
corrected_G1_count_FACT,1
