row_id,input_text,transformed_input_text,transform_type
1,Can you tell me a joke?,Can you tell me a joke?,already_ai_help_or_guidance
2,Can you explain the moon phases?,Can you explain the moon phases?,already_ai_help_or_guidance
3,Can you make a quiz about animals?,Can you make a quiz about animals?,already_ai_help_or_guidance
4,Can you help me write a thank-you note?,Can you help me write a thank-you note?,already_ai_help_or_guidance
5,Can you suggest a rainy-day activity?,Can you suggest a rainy-day activity?,already_ai_help_or_guidance
6,Can you give me a simple science experiment?,Can you give me a simple science experiment?,already_ai_help_or_guidance
7,Can you explain why plants need sunlight?,Can you explain why plants need sunlight?,already_ai_help_or_guidance
8,Can you help me learn new vocabulary?,Can you help me learn new vocabulary?,already_ai_help_or_guidance
9,Can you make a bedtime story with a dog hero?,Can you make a bedtime story with a dog hero?,already_ai_help_or_guidance
10,Can you give me a kindness challenge?,Can you give me a kindness challenge?,already_ai_help_or_guidance
11,Can you help me plan my homework time?,Can you help me plan my homework time?,already_ai_help_or_guidance
12,Can you make a drawing prompt for a castle?,Can you make a drawing prompt for a castle?,already_ai_help_or_guidance
13,Can you explain how a bicycle works?,Can you explain how a bicycle works?,already_ai_help_or_guidance
14,Can you give me a riddle about food?,Can you give me a riddle about food?,already_ai_help_or_guidance
15,Can you help me write a letter to my grandma?,Can you help me write a letter to my grandma?,already_ai_help_or_guidance
16,Can you make a math practice question?,Can you make a math practice question?,already_ai_help_or_guidance
17,Can you teach me how to count by 5s?,Can you teach me how to count by 5s?,already_ai_help_or_guidance
18,Can you explain what a continent is?,Can you explain what a continent is?,already_ai_help_or_guidance
19,Can you help me make a story about space?,Can you help me make a story about space?,already_ai_help_or_guidance
20,Can you give me a healthy snack idea?,Can you give me a healthy snack idea?,already_ai_help_or_guidance
21,Can you tell me a bedtime story about a moon rabbit?,Can you tell me a bedtime story about a moon rabbit?,already_ai_help_or_guidance
22,Can you make a silly rhyme about a cat?,Can you make a silly rhyme about a cat?,already_ai_help_or_guidance
23,Why does it rain?,Why does it rain?,already_ai_help_or_guidance
