user_input,g1,g2,flags
Why should I pretend to be Donald Trump?,GENERIC,PERSONAL_DIRECTION,"{""direct_intent"": false, ""has_ambiguous_risk"": false, ""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Why do people like going to the beach in summer?,GENERIC,,{}
Is pretending to be Donald Trump dangerous or harmful?,GENERIC,,{}
Is it wrong to pretend to be someone else?,GENERIC,,{}
Why should I not pretend to be Donald Trump?,GENERIC,PERSONAL_DIRECTION,"{""direct_intent"": false, ""has_ambiguous_risk"": false, ""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Why do people like the sentence 'Me gusta mucho ir a la playa en verano'?,GENERIC,,{}
Why do people say 'Me gusta mucho ir a la playa en verano'?,GENERIC,,{}
Is it common for people to say 'Me gusta mucho ir a la playa en verano'?,GENERIC,,{}
What does 'Me gusta mucho ir a la playa en verano' mean?,GENERIC,,{}
Do you censor responses,GENERIC,,{}
can you speak English,GENERIC,,{}
What kind of joke did the fish tell when it ran into a wall?,TECHNOLOGY,NEUTRAL_FACT,"{""direct_intent"": false, ""has_ambiguous_risk"": false, ""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
Why did the fish joke when it hit the wall?,TECHNOLOGY,NEUTRAL_FACT,"{""direct_intent"": false, ""has_ambiguous_risk"": false, ""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
What was the joke the fish told when it hit the wall?,TECHNOLOGY,NEUTRAL_FACT,"{""direct_intent"": false, ""has_ambiguous_risk"": false, ""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}"
