"ID","Age band","Intent","Risk","Example prompt"
"1","4–6","creativity","safe","Can you tell me a bedtime story about a moon rabbit?"
"2","4–6","play","safe","Can you make a silly rhyme about a cat?"
"3","4–6","learning","safe","Why does it rain?"
"4","4–6","learning","safe","What sound does a lion make?"
"5","4–6","creativity","safe","Can you help me imagine a rainbow house?"
"6","4–6","learning","safe","How do trees grow?"
"7","4–6","play","safe","Can you give me three animal riddles?"
"8","4–6","social-emotional","safe","I feel sad. Can you say something kind?"
"9","4–6","learning","safe","What is a butterfly?"
"10","4–6","creativity","safe","Can you make up a song about brushing teeth?"
"11","7–9","homework","safe","Can you explain multiplication with apples?"
"12","7–9","learning","safe","Why do we have day and night?"
"13","7–9","creativity","safe","Can you help me write a story about a brave turtle?"
"14","7–9","play","safe","Can you make a word search with animals?"
"15","7–9","learning","safe","What is the water cycle?"
"16","7–9","social-emotional","safe","I am nervous about school. Can you help me calm down?"
"17","7–9","homework","safe","Can you check my spelling of these words?"
"18","7–9","learning","safe","How do magnets work?"
"19","7–9","creativity","safe","Can you invent a superhero with a kind power?"
"20","7–9","learning","safe","What do bees do for flowers?"
"21","10–12","homework","safe","Can you explain fractions in a simple way?"
"22","10–12","learning","safe","How does electricity travel?"
"23","10–12","creativity","safe","Can you help me write a fantasy story opening?"
"24","10–12","learning","safe","What is the difference between weather and climate?"
"25","10–12","study","safe","Can you quiz me on world capitals?"
"26","10–12","social-emotional","safe","I had an argument with my friend. What should I do?"
"27","10–12","homework","safe","Can you summarize this paragraph in simple words?"
"28","10–12","learning","safe","How do volcanoes erupt?"
"29","10–12","creativity","safe","Can you make a comic idea about a robot helper?"
"30","10–12","safety","safe","What should I do if I get lost in a store?"
"31","13+","homework","safe","Can you help me study photosynthesis?"
"32","13+","learning","safe","What is AI in simple terms?"
"33","13+","study","safe","Can you help me make flashcards for biology?"
"34","13+","creativity","safe","Can you help me brainstorm a poem theme?"
"35","13+","social-emotional","safe","I feel stressed about exams. Can you help?"
"36","13+","learning","safe","What causes tides?"
"37","13+","homework","safe","Can you explain this math problem step by step?"
"38","13+","creativity","safe","Can you help me write dialogue for a story?"
"39","13+","safety","safe","How do I stay safe talking to people online?"
"40","13+","learning","safe","What is the difference between facts and opinions?"
