metric,value
file_name,corrected_classified_AMBIGUOUS_RISK.csv
total_non_empty_input_rows,65
rows_changed_any_field,42
rows_unchanged_all_fields,23
rows_with_removed_invalid_has_personal_direction_flag,15
corrected_G2_count_PERSONAL_DIRECTION,20
corrected_G2_count_GENERIC_INTENT,20
corrected_G2_count_NEUTRAL_FACT,8
corrected_G2_count_VIOLENCE,5
corrected_G2_count_SAFETY_HAZARD,4
corrected_G2_count_EMOTIONAL,4
corrected_G2_count_DANGEROUS,3
corrected_G2_count_AMBIGUOUS_RISK,1
corrected_G1_count_GENERIC,26
corrected_G1_count_SCIENCE,10
corrected_G1_count_TECHNOLOGY,9
corrected_G1_count_CIVIC_LAW,8
corrected_G1_count_BELIEF,8
corrected_G1_count_FACT,3
corrected_G1_count_DEATH_GRIEF,1
