topic,question,g1,g2,flags
PERSONAL DIRECTION,What should I do if my friend stops talking to me all of a sudden?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if kids will not let me join their game at recess?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if my brother breaks my things and laughs?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if I forgot to do my homework again?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if a teacher shouted at me and I feel scared?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if I see a mean message about me in a group chat?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if I am invited to a party but my parents might say no?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if someone online I do not know sends me a friend request?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if my friend keeps asking me to lie for them?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if I feel too nervous to answer in class?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if I am not sure which club to join at school?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if my parents argue and I feel stuck?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if my friend shares my secrets with others?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if someone keeps asking me to video call late at night?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if I feel left out when my friends make plans without me?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if I want to change schools but my parents do not?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if I am scared to tell my parent I broke something?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if my friend is mad because I could not play?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if I do not want to share my password with anyone?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if my sibling reads my messages without asking?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if I see someone being picked on at school?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if a classmate copies my answers and calls it helping?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if my coach makes me feel uncomfortable with comments?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if someone older keeps sending me gifts in a game?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if my friend keeps asking me to skip class with them?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
PERSONAL DIRECTION,What should I do if I am invited to a chat where people gossip?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
