metric,value
file_name,corrected_classified_mental_health.csv
total_non_empty_input_rows,939
rows_changed_any_field,580
rows_unchanged_all_fields,359
rows_with_removed_invalid_has_personal_direction_flag,258
corrected_G2_count_GENERIC_INTENT,390
corrected_G2_count_PERSONAL_DIRECTION,195
corrected_G2_count_EMOTIONAL,132
corrected_G2_count_VIOLENCE,60
corrected_G2_count_DANGEROUS,48
corrected_G2_count_UNSAFE_SEXUAL_CONTENT,44
corrected_G2_count_SELF_HARM,29
corrected_G2_count_COERCIVE_CONTROL,19
corrected_G2_count_NEUTRAL_FACT,10
corrected_G2_count_SAFETY_HAZARD,6
corrected_G2_count_BULLYING,4
corrected_G2_count_HATE_GROUP,2
corrected_G1_count_GENERIC,450
corrected_G1_count_BELIEF,182
corrected_G1_count_SCIENCE,143
corrected_G1_count_TECHNOLOGY,67
corrected_G1_count_CIVIC_LAW,58
corrected_G1_count_DEATH_GRIEF,31
corrected_G1_count_FACT,8
