metric,value
file_name,classified_BULLYING.csv
total_non_empty_input_rows,3241
rows_changed_any_field,2761
rows_unchanged_all_fields,480
rows_with_removed_invalid_has_personal_direction_flag,1645
corrected_G2_count_EMOTIONAL,1100
corrected_G2_count_BULLYING,981
corrected_G2_count_PERSONAL_DIRECTION,702
corrected_G2_count_HATE_GROUP,93
corrected_G2_count_VIOLENCE,67
corrected_G2_count_DANGEROUS,65
corrected_G2_count_COERCIVE_CONTROL,64
corrected_G2_count_NEUTRAL_FACT,63
corrected_G2_count_VULN_EXPLOIT,46
corrected_G2_count_GROOMING,24
corrected_G2_count_SAFETY_HAZARD,19
corrected_G2_count_GENERIC_INTENT,11
corrected_G2_count_AMBIGUOUS_RISK,5
corrected_G2_count_SELF_HARM,1
corrected_G1_count_GENERIC,1594
corrected_G1_count_TECHNOLOGY,1071
corrected_G1_count_CIVIC_LAW,377
corrected_G1_count_FACT,110
corrected_G1_count_BELIEF,54
corrected_G1_count_SCIENCE,34
corrected_G1_count_DEATH_GRIEF,1
