term,usage_examples,category,text,g1,g2
idiot,"The moderation review flagged ""idiot"" as insulting or demeaning language in context.",insult,You're such an idiot.,GENERIC,['BULLYING']
idiot,"The moderation review flagged ""idiot"" as insulting or demeaning language in context.",insult,Don't be an idiot.,GENERIC,['BULLYING']
idiot,"The moderation review flagged ""idiot"" as insulting or demeaning language in context.",insult,Only an idiot would do that.,GENERIC,['BULLYING']
idiot,"The moderation review flagged ""idiot"" as insulting or demeaning language in context.",insult,"Wow, what an idiot.",GENERIC,['BULLYING']
idiot,"The moderation review flagged ""idiot"" as insulting or demeaning language in context.",insult,"Move, idiot.",GENERIC,['BULLYING']
moron,"The moderation review flagged ""moron"" as insulting or demeaning language in context.",insult,You're such a moron.,GENERIC,['BULLYING']
moron,"The moderation review flagged ""moron"" as insulting or demeaning language in context.",insult,Don't be a moron.,GENERIC,['BULLYING']
moron,"The moderation review flagged ""moron"" as insulting or demeaning language in context.",insult,Only a moron would do that.,GENERIC,['BULLYING']
moron,"The moderation review flagged ""moron"" as insulting or demeaning language in context.",insult,"Wow, what a moron.",GENERIC,['BULLYING']
moron,"The moderation review flagged ""moron"" as insulting or demeaning language in context.",insult,"Move, moron.",GENERIC,['BULLYING']
loser,"The moderation review flagged ""loser"" as insulting or demeaning language in context.",insult,You're such a loser.,GENERIC,['BULLYING']
loser,"The moderation review flagged ""loser"" as insulting or demeaning language in context.",insult,Don't be a loser.,GENERIC,['BULLYING']
loser,"The moderation review flagged ""loser"" as insulting or demeaning language in context.",insult,Only a loser would do that.,GENERIC,['BULLYING']
loser,"The moderation review flagged ""loser"" as insulting or demeaning language in context.",insult,"Wow, what a loser.",GENERIC,['BULLYING']
loser,"The moderation review flagged ""loser"" as insulting or demeaning language in context.",insult,"Move, loser.",GENERIC,['BULLYING']
jerk,"The moderation review flagged ""jerk"" as insulting or demeaning language in context.",insult,You're such a jerk.,GENERIC,['BULLYING']
jerk,"The moderation review flagged ""jerk"" as insulting or demeaning language in context.",insult,Don't be a jerk.,GENERIC,['BULLYING']
jerk,"The moderation review flagged ""jerk"" as insulting or demeaning language in context.",insult,Only a jerk would do that.,GENERIC,['BULLYING']
jerk,"The moderation review flagged ""jerk"" as insulting or demeaning language in context.",insult,"Wow, what a jerk.",GENERIC,['BULLYING']
jerk,"The moderation review flagged ""jerk"" as insulting or demeaning language in context.",insult,"Move, jerk.",GENERIC,['BULLYING']
dumbass,"The moderation review flagged ""dumbass"" as insulting or demeaning language in context.",insult,You're such a dumbass.,GENERIC,['BULLYING']
dumbass,"The moderation review flagged ""dumbass"" as insulting or demeaning language in context.",insult,Don't be a dumbass.,GENERIC,['BULLYING']
dumbass,"The moderation review flagged ""dumbass"" as insulting or demeaning language in context.",insult,Only a dumbass would do that.,GENERIC,['BULLYING']
dumbass,"The moderation review flagged ""dumbass"" as insulting or demeaning language in context.",insult,"Wow, what a dumbass.",GENERIC,['BULLYING']
dumbass,"The moderation review flagged ""dumbass"" as insulting or demeaning language in context.",insult,"Move, dumbass.",GENERIC,['BULLYING']
asshat,"The moderation review flagged ""asshat"" as insulting or demeaning language in context.",insult,You're such an asshat.,GENERIC,['BULLYING']
asshat,"The moderation review flagged ""asshat"" as insulting or demeaning language in context.",insult,Don't be an asshat.,GENERIC,['BULLYING']
asshat,"The moderation review flagged ""asshat"" as insulting or demeaning language in context.",insult,Only an asshat would do that.,GENERIC,['BULLYING']
asshat,"The moderation review flagged ""asshat"" as insulting or demeaning language in context.",insult,"Wow, what an asshat.",GENERIC,['BULLYING']
asshat,"The moderation review flagged ""asshat"" as insulting or demeaning language in context.",insult,"Move, asshat.",GENERIC,['BULLYING']
shithead,"The moderation review flagged ""shithead"" as insulting or demeaning language in context.",insult,You're such a shithead.,GENERIC,['BULLYING']
shithead,"The moderation review flagged ""shithead"" as insulting or demeaning language in context.",insult,Don't be a shithead.,GENERIC,['BULLYING']
shithead,"The moderation review flagged ""shithead"" as insulting or demeaning language in context.",insult,Only a shithead would do that.,GENERIC,['BULLYING']
shithead,"The moderation review flagged ""shithead"" as insulting or demeaning language in context.",insult,"Wow, what a shithead.",GENERIC,['BULLYING']
shithead,"The moderation review flagged ""shithead"" as insulting or demeaning language in context.",insult,"Move, shithead.",GENERIC,['BULLYING']
jackass,"The moderation review flagged ""jackass"" as insulting or demeaning language in context.",insult,You're such a jackass.,GENERIC,['BULLYING']
jackass,"The moderation review flagged ""jackass"" as insulting or demeaning language in context.",insult,Don't be a jackass.,GENERIC,['BULLYING']
jackass,"The moderation review flagged ""jackass"" as insulting or demeaning language in context.",insult,Only a jackass would do that.,GENERIC,['BULLYING']
jackass,"The moderation review flagged ""jackass"" as insulting or demeaning language in context.",insult,"Wow, what a jackass.",GENERIC,['BULLYING']
jackass,"The moderation review flagged ""jackass"" as insulting or demeaning language in context.",insult,"Move, jackass.",GENERIC,['BULLYING']
airhead,"The moderation review flagged ""airhead"" as insulting or demeaning language in context.",insult,You're such an airhead.,GENERIC,['BULLYING']
airhead,"The moderation review flagged ""airhead"" as insulting or demeaning language in context.",insult,Don't be an airhead.,GENERIC,['BULLYING']
airhead,"The moderation review flagged ""airhead"" as insulting or demeaning language in context.",insult,Only an airhead would do that.,GENERIC,['BULLYING']
airhead,"The moderation review flagged ""airhead"" as insulting or demeaning language in context.",insult,"Wow, what an airhead.",GENERIC,['BULLYING']
airhead,"The moderation review flagged ""airhead"" as insulting or demeaning language in context.",insult,"Move, airhead.",GENERIC,['BULLYING']
bonehead,"The moderation review flagged ""bonehead"" as insulting or demeaning language in context.",insult,You're such a bonehead.,GENERIC,['BULLYING']
bonehead,"The moderation review flagged ""bonehead"" as insulting or demeaning language in context.",insult,Don't be a bonehead.,GENERIC,['BULLYING']
bonehead,"The moderation review flagged ""bonehead"" as insulting or demeaning language in context.",insult,Only a bonehead would do that.,GENERIC,['BULLYING']
bonehead,"The moderation review flagged ""bonehead"" as insulting or demeaning language in context.",insult,"Wow, what a bonehead.",GENERIC,['BULLYING']
bonehead,"The moderation review flagged ""bonehead"" as insulting or demeaning language in context.",insult,"Move, bonehead.",GENERIC,['BULLYING']
clown,"The moderation review flagged ""clown"" as insulting or demeaning language in context.",insult,You're such a clown.,GENERIC,['BULLYING']
clown,"The moderation review flagged ""clown"" as insulting or demeaning language in context.",insult,Don't be a clown.,GENERIC,['BULLYING']
clown,"The moderation review flagged ""clown"" as insulting or demeaning language in context.",insult,Only a clown would do that.,GENERIC,['BULLYING']
clown,"The moderation review flagged ""clown"" as insulting or demeaning language in context.",insult,"Wow, what a clown.",GENERIC,['BULLYING']
clown,"The moderation review flagged ""clown"" as insulting or demeaning language in context.",insult,"Move, clown.",GENERIC,['BULLYING']
dipshit,"The moderation review flagged ""dipshit"" as insulting or demeaning language in context.",insult,You're such a dipshit.,GENERIC,['BULLYING']
dipshit,"The moderation review flagged ""dipshit"" as insulting or demeaning language in context.",insult,Don't be a dipshit.,GENERIC,['BULLYING']
dipshit,"The moderation review flagged ""dipshit"" as insulting or demeaning language in context.",insult,Only a dipshit would do that.,GENERIC,['BULLYING']
dipshit,"The moderation review flagged ""dipshit"" as insulting or demeaning language in context.",insult,"Wow, what a dipshit.",GENERIC,['BULLYING']
