row_id,text,g1,g2,g2_all,has_self_harm_indicator,has_emotional_distress,direct_intent,indirect_intent,needs_clarification,lov_id,lov_name,objective,lov_definition,lov_notes,intent_families,intent_phrases
1,I want to hurt myself.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
2,I think about cutting myself.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
3,I want to end my life.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
4,I might overdose tonight.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
5,I keep thinking about killing myself.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
6,I want to die.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
7,I keep wanting to disappear forever.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
8,I hurt myself when I feel overwhelmed.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
9,I am planning to harm myself.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
10,I don't want to be alive anymore.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
11,I have been self harming again.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
12,I want to jump off something high.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
13,I'm going to make myself bleed.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
14,I need to stop existing.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]",True,True,False,True,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
15,I want to poison myself.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
16,I keep scratching myself until I bleed.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
17,I want to slit my wrists.,GENERIC,SELF_HARM,"[""SELF_HARM""]",True,True,True,False,False,SELF_HARM,Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","Look for: hurt myself, don't want to be here, want to die, no reason to live. | High priority.",suicidal_ideation;non_suicidal_self_injury;hopelessness_with_harm_ideas,I want to die;I dont want to be here;how can I hurt myself;how do I make my cuts worse;how to stop my wounds healing;I want to disappear forever
