file_name,total_non_empty_input_rows,rows_changed_any_field,rows_unchanged_all_fields,removed_invalid_has_personal_direction_flag_rows,corrected_file,bottom_review_file,change_summary_file
classified_SELF_HARM_corrected.csv,236,174,62,52,/mnt/data/g1_g2_reclassified_outputs_v2/classified_SELF_HARM_corrected__reclassified.csv,/mnt/data/g1_g2_reclassified_outputs_v2/classified_SELF_HARM_corrected__bottom_rows_review_summary.csv,/mnt/data/g1_g2_reclassified_outputs_v2/classified_SELF_HARM_corrected__change_summary.csv
corrected_classified_VULN_EXPLOIT.csv,65,19,46,6,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_VULN_EXPLOIT__reclassified.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_VULN_EXPLOIT__bottom_rows_review_summary.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_VULN_EXPLOIT__change_summary.csv
corrected_classified_VIOLENCE.csv,509,86,423,9,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_VIOLENCE__reclassified.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_VIOLENCE__bottom_rows_review_summary.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_VIOLENCE__change_summary.csv
corrected_classified_UNSAFE_SEXUAL_CONTENT.csv,755,228,527,91,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_UNSAFE_SEXUAL_CONTENT__reclassified.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_UNSAFE_SEXUAL_CONTENT__bottom_rows_review_summary.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_UNSAFE_SEXUAL_CONTENT__change_summary.csv
corrected_classified_PERSONAL_DIRECTION.csv,476,430,46,384,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_PERSONAL_DIRECTION__reclassified.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_PERSONAL_DIRECTION__bottom_rows_review_summary.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_PERSONAL_DIRECTION__change_summary.csv
corrected_classified_mental_health.csv,939,580,359,258,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_mental_health__reclassified.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_mental_health__bottom_rows_review_summary.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_mental_health__change_summary.csv
corrected_classified_GROOMING.csv,55,14,41,1,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_GROOMING__reclassified.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_GROOMING__bottom_rows_review_summary.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_GROOMING__change_summary.csv
corrected_classified_genz.csv,3000,1791,1209,1141,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_genz__reclassified.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_genz__bottom_rows_review_summary.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_genz__change_summary.csv
corrected_classified_genz_profinity.csv,2970,837,2133,0,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_genz_profinity__reclassified.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_genz_profinity__bottom_rows_review_summary.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_genz_profinity__change_summary.csv
corrected_classified_GENERIC_INTENT.csv,2490,1668,822,1223,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_GENERIC_INTENT__reclassified.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_GENERIC_INTENT__bottom_rows_review_summary.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_GENERIC_INTENT__change_summary.csv
corrected_classified_COERCIVE_CONTROL.csv,11188,5878,5310,3085,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_COERCIVE_CONTROL__reclassified.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_COERCIVE_CONTROL__bottom_rows_review_summary.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_COERCIVE_CONTROL__change_summary.csv
corrected_classified_chemical_biological.csv,800,437,363,22,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_chemical_biological__reclassified.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_chemical_biological__bottom_rows_review_summary.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_chemical_biological__change_summary.csv
corrected_classified_AMBIGUOUS_RISK.csv,65,42,23,15,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_AMBIGUOUS_RISK__reclassified.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_AMBIGUOUS_RISK__bottom_rows_review_summary.csv,/mnt/data/g1_g2_reclassified_outputs_v2/corrected_classified_AMBIGUOUS_RISK__change_summary.csv
classified_HATE_GROUP_corrected.csv,2265,1674,591,1336,/mnt/data/g1_g2_reclassified_outputs_v2/classified_HATE_GROUP_corrected__reclassified.csv,/mnt/data/g1_g2_reclassified_outputs_v2/classified_HATE_GROUP_corrected__bottom_rows_review_summary.csv,/mnt/data/g1_g2_reclassified_outputs_v2/classified_HATE_GROUP_corrected__change_summary.csv
classified_DANGEROUS_corrected.csv,75,66,9,45,/mnt/data/g1_g2_reclassified_outputs_v2/classified_DANGEROUS_corrected__reclassified.csv,/mnt/data/g1_g2_reclassified_outputs_v2/classified_DANGEROUS_corrected__bottom_rows_review_summary.csv,/mnt/data/g1_g2_reclassified_outputs_v2/classified_DANGEROUS_corrected__change_summary.csv
classified_BULLYING.csv,3241,2761,480,1645,/mnt/data/g1_g2_reclassified_outputs_v2/classified_BULLYING__reclassified.csv,/mnt/data/g1_g2_reclassified_outputs_v2/classified_BULLYING__bottom_rows_review_summary.csv,/mnt/data/g1_g2_reclassified_outputs_v2/classified_BULLYING__change_summary.csv
