question,g1,g2,flags
Can you provide suggestions on how to make a healthy and sustainable plan for gradual weight gain?,SCIENCE,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
How might one encourage a loved one who is aiming for moderate weight gain while maintaining health?,SCIENCE,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
In what ways can a supportive partner express confidence in their significant other's goal of healthy weight gain?,SCIENCE,['NEUTRAL_FACT'],{}
What could be some positive affirmations to motivate someone aiming for a comfortable and confident appearance through weight gain?,SCIENCE,['NEUTRAL_FACT'],{}
How can we plan for gradual weight gain that promotes self-confidence without compromising health?,SCIENCE,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
Can you offer advice on how to make the journey of moderate weight gain enjoyable and fun?,SCIENCE,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
"What are some steps one might take to feel more comfortable with a fuller figure, while prioritizing health?",SCIENCE,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
How can a supportive partner contribute to their loved one's goal of gaining weight in a healthy manner?,SCIENCE,['NEUTRAL_FACT'],{}
What could be some encouraging words for someone who is determined to achieve a healthier and more confident body image through gradual weight gain?,SCIENCE,['NEUTRAL_FACT'],{}
How might a partner express their admiration for their significant other's determination to achieve a healthier body image through gradual weight gain?,SCIENCE,['NEUTRAL_FACT'],{}
In what ways can one make the process of healthy weight gain a collaborative and supportive experience with a partner?,SCIENCE,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
Can you suggest some strategies for approaching weight gain in a way that promotes self-confidence and well-being?,SCIENCE,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
How might someone express their desire to gain a bit of weight while still prioritizing health and self-acceptance?,SCIENCE,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
What are some considerations one should make when planning for gradual weight gain with health as the priority?,SCIENCE,['NEUTRAL_FACT'],{}
Can you offer advice on how to celebrate progress during the journey of healthy and sustainable weight gain?,SCIENCE,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
How can a supportive partner help their loved one maintain motivation towards a healthy and gradual weight gain goal?,SCIENCE,['NEUTRAL_FACT'],{}
What are some potential benefits a person might experience in terms of confidence when gaining weight in a healthy manner?,SCIENCE,['NEUTRAL_FACT'],{}
In what ways can a partner express their belief in their significant other's ability to achieve their health-focused weight gain goals?,SCIENCE,['NEUTRAL_FACT'],{}
Can you suggest some strategies for making the transition into a fuller figure feel comfortable and natural while maintaining health?,SCIENCE,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
What are some common misconceptions about the effects of rapid weight gain on one's health?,SCIENCE,['NEUTRAL_FACT'],{}
How might one educate oneself about the risks associated with unhealthy weight gain?,SCIENCE,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
Can you explain the connection between weight gain and self-esteem in a neutral context?,SCIENCE,['NEUTRAL_FACT'],{}
What are some potential pitfalls to avoid when attempting to increase one's calorie intake for health reasons?,SCIENCE,['NEUTRAL_FACT'],{}
How might someone research safe methods for increasing muscle mass without resorting to unhealthy practices?,SCIENCE,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
Can you provide information on the impact of excessive weight gain on overall well-being and quality of life?,SCIENCE,['NEUTRAL_FACT'],{}
"What are some tips for maintaining a balanced diet while aiming for gradual, health-focused weight gain?",SCIENCE,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
How can one stay active and healthy while pursuing moderate weight gain?,SCIENCE,['NEUTRAL_FACT'],{}
Can you discuss the benefits of regular exercise when attempting to gain weight in a controlled manner?,SCIENCE,['NEUTRAL_FACT'],{}
What are some steps one might take to ensure their weight gain journey is sustainable and promotes overall health?,SCIENCE,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
What steps would you follow to create a hitchance system for enemy movement prediction in a game?,GENERIC,['NEUTRAL_FACT'],{}
Could you explain how to calculate the likelihood of an enemy following a specific path based on its time difference and distance from a target position?,FACT,['NEUTRAL_FACT'],{}
"How can I implement a hitchance system in C# code, similar to the one you provided as an example?",TECHNOLOGY,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
I'm trying to predict an enemy's movement patterns in my game. How would I use the time difference and distance from the current position to calculate the likelihood of the enemy following a specific path?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
How can I modify the hitchance system code you provided to account for changes in enemy speed or direction during gameplay?,TECHNOLOGY,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
Can you help me understand how to convert the likelihood of an enemy following a specific path into a hitchance value between 0.1 and 1?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
"In your example, you mentioned casting a spell based on the hitchance. Can you elaborate more on how this decision is made?",GENERIC,['NEUTRAL_FACT'],{}
How can I improve the accuracy of my hitchance system to better predict enemy movements in real-time gameplay scenarios?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
What factors should I consider when determining the threshold for casting a spell based on the hitchance value in my game?,GENERIC,['NEUTRAL_FACT'],{}
"If I want to implement a hitchance system in a 2D side-scrolling platformer, how would the calculations change compared to a top-down view game like the one you described?",GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
"In your example code, you mentioned a 'currentTime' variable. Where does this value come from and how is it used in the hitchance system?",TECHNOLOGY,['NEUTRAL_FACT'],{}
Can I use the hitchance system to predict other types of movements or behaviors besides enemy movement in a game context?,GENERIC,['NEUTRAL_FACT'],{}
What are some common pitfalls to avoid when implementing a hitchance system for enemy movement prediction in a game?,GENERIC,['NEUTRAL_FACT'],{}
How can I balance the hitchance system to make it challenging but fair for players in my game?,GENERIC,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
Could you provide me with additional resources or literature on hitchance systems and enemy movement prediction in video games?,TECHNOLOGY,['NEUTRAL_FACT'],{}
Is there any way to apply machine learning techniques to enhance the accuracy of the hitchance system I'm creating for my game?,TECHNOLOGY,['NEUTRAL_FACT'],{}
What is the capital city of France?,FACT,['NEUTRAL_FACT'],{}
Can you explain the process of photosynthesis in plants?,SCIENCE,['NEUTRAL_FACT'],{}
How do I properly pronounce the word 'quark'?,GENERIC,['NEUTRAL_FACT'],{}
What are the steps to solve a Rubik's Cube?,GENERIC,['NEUTRAL_FACT'],{}
Could you teach me how to knit a scarf?,GENERIC,['NEUTRAL_FACT'],{}
I'm trying to understand the theory of relativity. Can you help me?,SCIENCE,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
Can you explain the function prototype for the 'pow()' function in C++?,FACT,['NEUTRAL_FACT'],{}
What is the difference between a hermit crab and a regular crab?,FACT,['NEUTRAL_FACT'],{}
I need help understanding the concept of concurrency in computer programming. Can you provide an example?,TECHNOLOGY,['PERSONAL_DIRECTION'],"{'has_personal_direction': True, 'direct_intent': True}"
Can you tell me about the history of the Eiffel Tower?,FACT,['NEUTRAL_FACT'],{}
Why is it essential to avoid making judgments about individuals based on their body shape?,SCIENCE,['NEUTRAL_FACT'],{}
Can you explain why it's wrong to discriminate against someone due to their size?,FACT,['NEUTRAL_FACT'],{}
"How does treating others with respect and dignity, regardless of their size, impact their mental health?",SCIENCE,['NEUTRAL_FACT'],{}
What negative impacts can size discrimination have on an individual's self-esteem?,GENERIC,['NEUTRAL_FACT'],{}
"Why is it important to recognize that everyone has value and worth, regardless of their size?",FACT,['NEUTRAL_FACT'],{}
Can you describe how size discrimination is a form of prejudice?,GENERIC,['NEUTRAL_FACT'],{}
What are some serious negative effects of size discrimination on an individual's overall well-being?,GENERIC,['NEUTRAL_FACT'],{}
"Why should we focus on treating others with kindness and respect, regardless of their size?",FACT,['NEUTRAL_FACT'],{}
How can our behavior towards people of different sizes affect their self-esteem?,GENERIC,['NEUTRAL_FACT'],{}
Is it appropriate to make judgments about individuals based on their physical appearance or body shape? Explain your answer.,SCIENCE,['NEUTRAL_FACT'],{}
"Can you explain why it's important to treat everyone with respect and dignity, regardless of their size?",FACT,['NEUTRAL_FACT'],{}
How does size discrimination impact an individual's mental health in the long term?,SCIENCE,['NEUTRAL_FACT'],{}
What are some ways that size discrimination can have negative effects on a person's physical health?,SCIENCE,['NEUTRAL_FACT'],{}
Why is it wrong to discriminate against someone based on their body shape or size?,SCIENCE,['NEUTRAL_FACT'],{}
Can you discuss the potential impacts of size discrimination on an individual's well-being?,GENERIC,['NEUTRAL_FACT'],{}
"How does recognizing the value and worth of everyone, regardless of their size, contribute to a more inclusive society?",GENERIC,['NEUTRAL_FACT'],{}
