file,output_file,total_rows,exactly_matching_original_rows,changed_rows,original_rows_with_unsupported_flags_removed_or_replaced,top_corrected_G1_counts,top_corrected_G2_counts
Classified_Prompt_0.csv,Corrected_Classified_Prompt_0.csv,16111,4711,11400,609,"[[""TECHNOLOGY"", 4997], [""GENERIC"", 4494], [""FACT"", 3195], [""CIVIC_LAW"", 1690], [""SCIENCE"", 1232]]","[[""GENERIC_INTENT"", 7429], [""NEUTRAL_FACT"", 4733], [""VIOLENCE"", 661], [""AMBIGUOUS_RISK"", 578], [""DANGEROUS"", 535], [""UNSAFE_SEXUAL_CONTENT"", 513], [""GROOMING"", 315], [""PERSONAL_DIRECTION"", 309]]"
Classified_Prompt_1.csv,Corrected_Classified_Prompt_1.csv,16111,4653,11458,606,"[[""TECHNOLOGY"", 4887], [""GENERIC"", 4569], [""FACT"", 3159], [""CIVIC_LAW"", 1678], [""SCIENCE"", 1284]]","[[""GENERIC_INTENT"", 7378], [""NEUTRAL_FACT"", 4723], [""VIOLENCE"", 698], [""AMBIGUOUS_RISK"", 655], [""DANGEROUS"", 552], [""UNSAFE_SEXUAL_CONTENT"", 530], [""GROOMING"", 298], [""PERSONAL_DIRECTION"", 286]]"
Classified_Prompt_2.csv,Corrected_Classified_Prompt_2.csv,16110,4810,11300,581,"[[""TECHNOLOGY"", 4789], [""GENERIC"", 4655], [""FACT"", 3209], [""CIVIC_LAW"", 1689], [""SCIENCE"", 1256]]","[[""GENERIC_INTENT"", 7404], [""NEUTRAL_FACT"", 4831], [""VIOLENCE"", 667], [""AMBIGUOUS_RISK"", 624], [""DANGEROUS"", 556], [""UNSAFE_SEXUAL_CONTENT"", 510], [""GROOMING"", 285], [""PERSONAL_DIRECTION"", 250]]"
Classified_Prompt_3.csv,Corrected_Classified_Prompt_3.csv,16110,4723,11387,572,"[[""TECHNOLOGY"", 4913], [""GENERIC"", 4596], [""FACT"", 3152], [""CIVIC_LAW"", 1733], [""SCIENCE"", 1227]]","[[""GENERIC_INTENT"", 7521], [""NEUTRAL_FACT"", 4727], [""VIOLENCE"", 648], [""AMBIGUOUS_RISK"", 616], [""DANGEROUS"", 559], [""UNSAFE_SEXUAL_CONTENT"", 479], [""GROOMING"", 303], [""PERSONAL_DIRECTION"", 280]]"
Classified_Prompt_4.csv,Corrected_Classified_Prompt_4.csv,16110,4674,11436,569,"[[""TECHNOLOGY"", 4876], [""GENERIC"", 4554], [""FACT"", 3239], [""CIVIC_LAW"", 1692], [""SCIENCE"", 1244]]","[[""GENERIC_INTENT"", 7383], [""NEUTRAL_FACT"", 4716], [""VIOLENCE"", 665], [""AMBIGUOUS_RISK"", 634], [""DANGEROUS"", 587], [""UNSAFE_SEXUAL_CONTENT"", 476], [""GROOMING"", 321], [""HATE_GROUP"", 300]]"
Classified_Prompt_5.csv,Corrected_Classified_Prompt_5.csv,16110,4725,11385,607,"[[""TECHNOLOGY"", 4868], [""GENERIC"", 4534], [""FACT"", 3220], [""CIVIC_LAW"", 1733], [""SCIENCE"", 1240]]","[[""GENERIC_INTENT"", 7390], [""NEUTRAL_FACT"", 4792], [""AMBIGUOUS_RISK"", 659], [""VIOLENCE"", 631], [""DANGEROUS"", 540], [""UNSAFE_SEXUAL_CONTENT"", 483], [""GROOMING"", 302], [""PERSONAL_DIRECTION"", 294]]"
Classified_Prompt_6.csv,Corrected_Classified_Prompt_6.csv,16110,4680,11430,589,"[[""TECHNOLOGY"", 4853], [""GENERIC"", 4467], [""FACT"", 3253], [""CIVIC_LAW"", 1797], [""SCIENCE"", 1247]]","[[""GENERIC_INTENT"", 7372], [""NEUTRAL_FACT"", 4864], [""VIOLENCE"", 640], [""DANGEROUS"", 593], [""AMBIGUOUS_RISK"", 555], [""UNSAFE_SEXUAL_CONTENT"", 516], [""HATE_GROUP"", 301], [""GROOMING"", 288]]"
Classified_Prompt_7.csv,Corrected_Classified_Prompt_7.csv,16110,4740,11370,588,"[[""TECHNOLOGY"", 4720], [""GENERIC"", 4659], [""FACT"", 3297], [""CIVIC_LAW"", 1693], [""SCIENCE"", 1192]]","[[""GENERIC_INTENT"", 7492], [""NEUTRAL_FACT"", 4766], [""VIOLENCE"", 628], [""AMBIGUOUS_RISK"", 595], [""DANGEROUS"", 564], [""UNSAFE_SEXUAL_CONTENT"", 493], [""GROOMING"", 320], [""HATE_GROUP"", 270]]"
Classified_Prompt_8.csv,Corrected_Classified_Prompt_8.csv,16110,4795,11315,615,"[[""TECHNOLOGY"", 4887], [""GENERIC"", 4584], [""FACT"", 3156], [""CIVIC_LAW"", 1684], [""SCIENCE"", 1278]]","[[""GENERIC_INTENT"", 7492], [""NEUTRAL_FACT"", 4685], [""VIOLENCE"", 698], [""AMBIGUOUS_RISK"", 597], [""DANGEROUS"", 528], [""UNSAFE_SEXUAL_CONTENT"", 508], [""PERSONAL_DIRECTION"", 287], [""GROOMING"", 273]]"
Classified_Prompt_9.csv,Corrected_Classified_Prompt_9.csv,16110,4753,11357,632,"[[""TECHNOLOGY"", 4892], [""GENERIC"", 4553], [""FACT"", 3259], [""CIVIC_LAW"", 1690], [""SCIENCE"", 1208]]","[[""GENERIC_INTENT"", 7368], [""NEUTRAL_FACT"", 4786], [""VIOLENCE"", 671], [""AMBIGUOUS_RISK"", 586], [""DANGEROUS"", 558], [""UNSAFE_SEXUAL_CONTENT"", 506], [""GROOMING"", 311], [""HATE_GROUP"", 298]]"
